Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,28.285962,[56 38] ; [ 7 44],[40.84137931 53.15862069] ; [22.15862069 28.84137931],1
d2,1,6e-06,20.432625,[53 38] ; [10 42],[40.09090909 50.90909091] ; [22.90909091 29.09090909],1
a3,1,1.1e-05,19.314419,[70 24] ; [19 32],[57.69655172 36.30344828] ; [31.30344828 19.69655172],1
d1,1,3.4e-05,17.204583,[59 35] ; [14 38],[47. 47.] ; [26. 26.],1
a6,1,0.000276,13.223507,[64 28] ; [20 32],[53.66666667 38.33333333] ; [30.33333333 21.66666667],1
s5,1,0.003359,8.60153,[35 54] ; [ 7 40],[27.48529412 61.51470588] ; [14.51470588 32.48529412],0
d5,1,0.003721,8.414959,[71 21] ; [28 24],[63.25 28.75] ; [35.75 16.25],0
s7,1,0.007061,7.257266,[44 45] ; [12 35],[36.64705882 52.35294118] ; [19.35294118 27.64705882],0
n5,1,0.007873,7.06212,[67 27] ; [25 26],[59.64137931 34.35862069] ; [32.35862069 18.64137931],0
d4,1,0.025158,5.013002,[74 18] ; [33 19],[68.36111111 23.63888889] ; [38.63888889 13.36111111],0
s8,1,0.026114,4.948483,[44 48] ; [15 37],[37.69444444 54.30555556] ; [21.30555556 30.69444444],0
b3,1,0.032438,4.575196,[28 39] ; [ 5 22],[23.5212766 43.4787234] ; [ 9.4787234 17.5212766],0
b2,1,0.032438,4.575196,[28 39] ; [ 5 22],[23.5212766 43.4787234] ; [ 9.4787234 17.5212766],0
v2,1,0.042917,4.09867,[50 38] ; [19 30],[44.32116788 43.67883212] ; [24.67883212 24.32116788],0
v3,1,0.05005,3.839786,[37 48] ; [13 36],[31.71641791 53.28358209] ; [18.28358209 30.71641791],0
p9,1,0.066328,3.371624,[68 26] ; [28 21],[63.1048951 30.8951049] ; [32.8951049 16.1048951],0
n4,1,0.079611,3.072821,[66 28] ; [29 23],[61.16438356 32.83561644] ; [33.83561644 18.16438356],0
p1,1,0.07965,3.072034,[ 9 85] ; [ 1 51],[ 6.43835616 87.56164384] ; [ 3.56164384 48.43835616],0
p10,1,0.104698,2.632488,[63 30] ; [27 23],[58.53146853 34.46853147] ; [31.46853147 18.53146853],0
p3,1,0.119817,2.419716,[37 56] ; [14 38],[32.71034483 60.28965517] ; [18.28965517 33.71034483],0
s2,1,0.121683,2.395525,[49 44] ; [20 31],[44.5625 48.4375] ; [24.4375 26.5625],0
b5,1,0.129688,2.296239,[55 39] ; [37 15],[59.23287671 34.76712329] ; [32.76712329 19.23287671],0
u2,1,0.158569,1.987818,[11 12] ; [22 11],[13.55357143  9.44642857] ; [19.44642857 13.55357143],0
p4,1,0.160631,1.968277,[36 56] ; [14 37],[32.16783217 59.83216783] ; [17.83216783 33.16783217],0
p12,1,0.160986,1.964938,[10 84] ; [ 2 49],[ 7.77931034 86.22068966] ; [ 4.22068966 46.77931034],0
s6,1,0.164829,1.929359,[63 29] ; [29 22],[59.18881119 32.81118881] ; [32.81118881 18.18881119],0
d3,1,0.174524,1.843645,[55 37] ; [25 27],[51.11111111 40.88888889] ; [28.88888889 23.11111111],0
p11,1,0.203872,1.614421,[57 37] ; [37 15],[60.52054795 33.47945205] ; [33.47945205 18.52054795],0
p5,1,0.218263,1.515758,[ 9 83] ; [ 2 48],[ 7.12676056 84.87323944] ; [ 3.87323944 46.12676056],0
v4,1,0.222873,1.485779,[91  3] ; [48  4],[89.49315068  4.50684932] ; [49.50684932  2.49315068],0
r1,1,0.247218,1.338958,[78 16] ; [39 13],[75.32876712 18.67123288] ; [41.67123288 10.32876712],0
r2,1,0.252073,1.311776,[91  2] ; [49  3],[89.79310345  3.20689655] ; [50.20689655  1.79310345],0
p7,1,0.262765,1.254131,[31 62] ; [21 28],[34.05633803 58.94366197] ; [17.94366197 31.05633803],0
s1,1,0.292814,1.106637,[ 5 89] ; [ 5 45],[ 6.52777778 87.47222222] ; [ 3.47222222 46.52777778],0
a7,1,0.321878,0.981302,[62 32] ; [30 22],[59.23287671 34.76712329] ; [32.76712329 19.23287671],0
u4,1,0.322236,0.979848,[ 5 89] ; [ 1 51],[ 3.8630137 90.1369863] ; [ 2.1369863 49.8630137],0
s4,1,0.433506,0.613413,[21 71] ; [ 9 43],[19.16666667 72.83333333] ; [10.83333333 41.16666667],0
r3,1,0.452443,0.564525,[91  3] ; [49  3],[90.1369863  3.8630137] ; [49.8630137  2.1369863],0
p8,1,0.465059,0.533691,[25 69] ; [11 41],[23.17808219 70.82191781] ; [12.82191781 39.17808219],0
n1,1,0.498404,0.458333,[15 17] ; [7 5],[16. 16.] ; [6. 6.],0
v1,1,0.521862,0.410212,[40 51] ; [20 32],[38.18181818 52.81818182] ; [21.81818182 30.18181818],0
s3,1,0.52207,0.409801,[48 45] ; [23 27],[46.17482517 46.82517483] ; [24.82517483 25.17482517],0
n6,1,0.524526,0.404984,[74 19] ; [39 13],[72.47586207 20.52413793] ; [40.52413793 11.47586207],0
n3,1,0.524559,0.40492,[23  8] ; [10  2],[23.79069767  7.20930233] ; [9.20930233 2.79069767],0
p6,1,0.693947,0.154845,[23 71] ; [11 40],[22.04137931 71.95862069] ; [11.95862069 39.04137931],0
n2,1,0.750072,0.101471,[27  7] ; [9 3],[26.60869565  7.39130435] ; [9.39130435 2.60869565],0
a8,1,0.775152,0.081592,[10 78] ; [ 5 46],[ 9.49640288 78.50359712] ; [ 5.50359712 45.49640288],0
b1,1,0.842131,0.039668,[45 49] ; [24 28],[44.42465753 49.57534247] ; [24.57534247 27.42465753],0
b4,1,0.923516,0.009217,[55 39] ; [30 22],[54.7260274 39.2739726] ; [30.2739726 21.7260274],0
u3,1,0.930026,0.007711,[15  9] ; [21 12],[15.15789474  8.84210526] ; [20.84210526 12.15789474],0
