Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.157299,2.0,[3 1] ; [1 3],[2. 2.] ; [2. 2.],0
a2,1,0.157299,2.0,[1 3] ; [3 1],[2. 2.] ; [2. 2.],0
p6,1,0.157299,2.0,[3 1] ; [1 3],[2. 2.] ; [2. 2.],0
s6,1,0.270289,1.215278,[2 1] ; [1 3],[1.28571429 1.71428571] ; [1.71428571 2.28571429],0
b4,1,0.465209,0.533333,[1 3] ; [2 2],[1.5 2.5] ; [1.5 2.5],0
p8,1,0.465209,0.533333,[2 2] ; [3 1],[2.5 1.5] ; [2.5 1.5],0
p7,1,0.465209,0.533333,[2 2] ; [3 1],[2.5 1.5] ; [2.5 1.5],0
v2,1,0.465209,0.533333,[2 2] ; [1 3],[1.5 2.5] ; [1.5 2.5],0
p1,1,0.465209,0.533333,[1 3] ; [2 2],[1.5 2.5] ; [1.5 2.5],0
b2,1,0.540291,0.375,[1 3] ; [1 1],[1.33333333 2.66666667] ; [0.66666667 1.33333333],0
b3,1,0.540291,0.375,[1 3] ; [1 1],[1.33333333 2.66666667] ; [0.66666667 1.33333333],0
p3,1,0.659243,0.194444,[2 1] ; [2 2],[1.71428571 1.28571429] ; [2.28571429 1.71428571],0
s5,1,0.80915,0.058333,[1 2] ; [1 3],[0.85714286 2.14285714] ; [1.14285714 2.85714286],0
r1,1,1.0,0.0,[3 1] ; [3 1],[3. 1.] ; [3. 1.],0
v4,1,1.0,0.0,[3 1] ; [3 1],[3. 1.] ; [3. 1.],0
v3,1,1.0,0.0,[1 3] ; [1 3],[1. 3.] ; [1. 3.],0
a1,1,1.0,0.0,[1 3] ; [1 3],[1. 3.] ; [1. 3.],0
b5,1,1.0,0.0,[3 1] ; [3 1],[3. 1.] ; [3. 1.],0
p9,1,1.0,0.0,[3 1] ; [3 1],[3. 1.] ; [3. 1.],0
p11,1,1.0,0.0,[3 1] ; [3 1],[3. 1.] ; [3. 1.],0
