Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,54.783122,[34 58] ; [200  53],[62.4 29.6] ; [171.6  81.4],1
d3,1,0.0,42.42045,[47 45] ; [215  38],[69.86666667 22.13333333] ; [192.13333333  60.86666667],1
a2,1,2.8e-05,17.564189,[ 6 86] ; [ 70 183],[20.26666667 71.73333333] ; [ 55.73333333 197.26666667],1
b5,1,0.000102,15.097004,[41 51] ; [171  82],[56.53333333 35.46666667] ; [155.46666667  97.53333333],1
u1,1,0.000189,13.935207,[ 4 88] ; [ 54 199],[15.46666667 76.53333333] ; [ 42.53333333 210.46666667],1
s1,1,0.001856,9.686362,[ 6 86] ; [  2 249],[ 2.14577259 89.85422741] ; [  5.85422741 245.14577259],0
r3,1,0.003583,8.484012,[78 14] ; [239  14],[84.53333333  7.46666667] ; [232.46666667  20.53333333],0
v4,1,0.003583,8.484012,[78 14] ; [239  14],[84.53333333  7.46666667] ; [232.46666667  20.53333333],0
r4,1,0.005647,7.659759,[70 22] ; [223  30],[78.13333333 13.86666667] ; [214.86666667  38.13333333],0
a8,1,0.017279,5.667846,[ 4 83] ; [ 31 187],[ 9.98360656 77.01639344] ; [ 25.01639344 192.98360656],0
b1,1,0.019033,5.498455,[44 48] ; [ 86 167],[34.66666667 57.33333333] ; [ 95.33333333 157.66666667],0
r2,1,0.032856,4.553273,[74 14] ; [231  20],[79.1740413  8.8259587] ; [225.8259587  25.1740413],0
u3,1,0.036735,4.362667,[ 8 16] ; [45 33],[12.47058824 11.52941176] ; [40.52941176 37.47058824],0
r1,1,0.052793,3.750448,[63 29] ; [198  54],[69.80232558 22.19767442] ; [191.19767442  60.80232558],0
s5,1,0.081738,3.029998,[26 62] ; [ 51 198],[20.10682493 67.89317507] ; [ 56.89317507 192.10682493],0
p2,1,0.115782,2.473475,[63 26] ; [199  53],[68.38123167 20.61876833] ; [193.61876833  58.38123167],0
d5,1,0.157111,2.001816,[77 15] ; [226  27],[80.8 11.2] ; [222.2  30.8],0
n5,1,0.168621,1.895161,[67 25] ; [163  88],[61.6909621 30.3090379] ; [168.3090379  82.6909621],0
b4,1,0.18111,1.788493,[49 43] ; [155  98],[54.4 37.6] ; [149.6 103.4],0
