Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.000118,14.830539,[ 4 22] ; [16  7],[10.6122449 15.3877551] ; [ 9.3877551 13.6122449],1
s6,1,0.000225,13.607085,[ 7 20] ; [18  5],[13.5 13.5] ; [11.5 11.5],1
s8,1,0.007838,7.070216,[ 5 22] ; [13 11],[ 9.52941176 17.47058824] ; [ 8.47058824 15.52941176],0
s5,1,0.035099,4.440336,[ 3 24] ; [ 8 14],[ 6.06122449 20.93877551] ; [ 4.93877551 17.06122449],0
r1,1,0.036078,4.393433,[ 9 18] ; [ 2 21],[ 5.94 21.06] ; [ 5.06 17.94],0
r3,1,0.041609,4.151024,[14 13] ; [19  5],[17.47058824  9.52941176] ; [15.52941176  8.47058824],0
a6,1,0.120775,2.407244,[11 16] ; [15  9],[13.76470588 13.23529412] ; [12.23529412 11.76470588],0
v1,1,0.136956,2.211828,[ 8 19] ; [12 12],[10.58823529 16.41176471] ; [ 9.41176471 14.58823529],0
s7,1,0.154009,2.032083,[ 9 16] ; [13 10],[11.45833333 13.54166667] ; [10.54166667 12.45833333],0
v2,1,0.165518,1.923077,[ 8 18] ; [12 12],[10.4 15.6] ; [ 9.6 14.4],0
p3,1,0.197251,1.662616,[12 15] ; [15  9],[14.29411765 12.70588235] ; [12.70588235 11.29411765],0
s4,1,0.213569,1.547064,[ 4 23] ; [ 7 17],[ 5.82352941 21.17647059] ; [ 5.17647059 18.82352941],0
p5,1,0.267224,1.23094,[ 5 21] ; [ 2 22],[ 3.64 22.36] ; [ 3.36 20.64],0
p6,1,0.272911,1.202059,[ 8 18] ; [11 13],[ 9.88 16.12] ; [ 9.12 14.88],0
a7,1,0.3039,1.057001,[14 13] ; [ 9 15],[12.17647059 14.82352941] ; [10.82352941 13.17647059],0
b4,1,0.3039,1.057001,[14 13] ; [ 9 15],[12.17647059 14.82352941] ; [10.82352941 13.17647059],0
n3,1,0.329114,0.952381,[8 6] ; [2 4],[7. 7.] ; [3. 3.],0
p7,1,0.333467,0.935386,[15 11] ; [17  7],[16.64  9.36] ; [15.36  8.64],0
v3,1,0.340628,0.908067,[ 3 24] ; [ 5 19],[ 4.23529412 22.76470588] ; [ 3.76470588 20.23529412],0
a2,1,0.357193,0.847739,[ 3 24] ; [ 1 23],[ 2.11764706 24.88235294] ; [ 1.88235294 22.11764706],0
u1,1,0.357193,0.847739,[ 3 24] ; [ 1 23],[ 2.11764706 24.88235294] ; [ 1.88235294 22.11764706],0
b1,1,0.361446,0.832863,[18  9] ; [13 11],[16.41176471 10.58823529] ; [14.58823529  9.41176471],0
b5,1,0.443458,0.587317,[14 13] ; [15  9],[15.35294118 11.64705882] ; [13.64705882 10.35294118],0
d2,1,0.551764,0.354167,[10 17] ; [ 7 17],[ 9. 18.] ; [ 8. 16.],0
p2,1,0.5713,0.320513,[20  6] ; [20  4],[20.8  5.2] ; [19.2  4.8],0
p12,1,0.623463,0.24103,[ 2 25] ; [ 1 23],[ 1.58823529 25.41176471] ; [ 1.41176471 22.58823529],0
b2,1,0.626688,0.236579,[ 4 14] ; [ 5 12],[ 4.62857143 13.37142857] ; [ 4.37142857 12.62857143],0
b3,1,0.626688,0.236579,[ 4 14] ; [ 5 12],[ 4.62857143 13.37142857] ; [ 4.37142857 12.62857143],0
v4,1,0.647061,0.209626,[18  9] ; [16  6],[18.73469388  8.26530612] ; [15.26530612  6.73469388],0
d1,1,0.735359,0.114247,[10 17] ; [10 14],[10.58823529 16.41176471] ; [ 9.41176471 14.58823529],0
n5,1,0.743528,0.10705,[17  9] ; [14  9],[16.44897959  9.55102041] ; [14.55102041  8.44897959],0
d4,1,0.748903,0.102455,[18  9] ; [17  7],[18.52941176  8.47058824] ; [16.47058824  7.52941176],0
p8,1,0.768278,0.086806,[13 13] ; [13 11],[13.52 12.48] ; [12.48 11.52],0
a5,1,0.78235,0.076319,[17 10] ; [16  8],[17.47058824  9.52941176] ; [15.52941176  8.47058824],0
n6,1,0.785959,0.073746,[19  7] ; [16  7],[18.57142857  7.42857143] ; [16.42857143  6.57142857],0
r2,1,0.790414,0.070635,[14 12] ; [11 11],[13.54166667 12.45833333] ; [11.45833333 10.54166667],0
p9,1,0.795749,0.067005,[20  7] ; [17  7],[19.58823529  7.41176471] ; [17.41176471  6.58823529],0
a4,1,0.812964,0.055981,[11 16] ; [ 9 15],[10.58823529 16.41176471] ; [ 9.41176471 14.58823529],0
p10,1,0.831871,0.045072,[17  9] ; [15  9],[16.64  9.36] ; [15.36  8.64],0
u2,1,0.854757,0.033508,[5 7] ; [5 6],[5.2173913 6.7826087] ; [4.7826087 6.2173913],0
a3,1,0.920746,0.009899,[15 12] ; [13 11],[14.82352941 12.17647059] ; [13.17647059 10.82352941],0
n4,1,0.920746,0.009899,[15 12] ; [13 11],[14.82352941 12.17647059] ; [13.17647059 10.82352941],0
a1,1,0.932248,0.007228,[ 1 26] ; [ 1 23],[ 1.05882353 25.94117647] ; [ 0.94117647 23.05882353],0
d3,1,0.946532,0.004497,[16 11] ; [14 10],[15.88235294 11.11764706] ; [14.11764706  9.88235294],0
d5,1,0.971109,0.001312,[19  8] ; [17  7],[19.05882353  7.94117647] ; [16.94117647  7.05882353],0
p11,1,0.971109,0.001312,[19  8] ; [17  7],[19.05882353  7.94117647] ; [16.94117647  7.05882353],0
n1,1,1.0,0.0,[7 7] ; [3 3],[7. 7.] ; [3. 3.],0
u3,1,1.0,0.0,[5 6] ; [5 6],[5. 6.] ; [5. 6.],0
