Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1.8e-05,18.343375,[ 2 53] ; [19 33],[10.79439252 44.20560748] ; [10.20560748 41.79439252],1
d3,1,0.000496,12.129186,[17 38] ; [33 18],[25.94339623 29.05660377] ; [24.05660377 26.94339623],1
a7,1,0.001294,10.351393,[21 34] ; [36 16],[29.29906542 25.70093458] ; [27.70093458 24.29906542],0
d4,1,0.004378,8.120011,[23 32] ; [36 16],[30.3271028 24.6728972] ; [28.6728972 23.3271028],0
v2,1,0.00497,7.890233,[12 41] ; [25 26],[18.85576923 34.14423077] ; [18.14423077 32.85576923],0
u2,1,0.018622,5.536682,[13 26] ; [18 11],[17.77941176 21.22058824] ; [13.22058824 15.77941176],0
r3,1,0.024743,5.041776,[39 16] ; [46  6],[43.69158879 11.30841121] ; [41.30841121 10.69158879],0
r4,1,0.041362,4.161117,[23 32] ; [32 20],[28.27102804 26.72897196] ; [26.72897196 25.27102804],0
p10,1,0.045539,3.998554,[27 27] ; [34 15],[31.98058252 22.01941748] ; [29.01941748 19.98058252],0
p11,1,0.046518,3.962744,[30 25] ; [38 14],[34.95327103 20.04672897] ; [33.04672897 18.95327103],0
v1,1,0.048101,3.906467,[14 40] ; [23 29],[18.8490566 35.1509434] ; [18.1509434 33.8490566],0
n6,1,0.054506,3.697127,[34 21] ; [41 11],[38.55140187 16.44859813] ; [36.44859813 15.55140187],0
p2,1,0.055691,3.661288,[35 20] ; [41 10],[39.43396226 15.56603774] ; [36.56603774 14.43396226],0
a3,1,0.077424,3.118173,[15 39] ; [23 29],[19.35849057 34.64150943] ; [18.64150943 33.35849057],0
d2,1,0.078396,3.097835,[ 9 46] ; [16 36],[12.85046729 42.14953271] ; [12.14953271 39.85046729],0
b4,1,0.080584,3.053086,[29 26] ; [36 16],[33.41121495 21.58878505] ; [31.58878505 20.41121495],0
p3,1,0.096996,2.754253,[13 42] ; [20 32],[16.96261682 38.03738318] ; [16.03738318 35.96261682],0
a4,1,0.112282,2.521798,[ 4 51] ; [ 9 43],[ 6.68224299 48.31775701] ; [ 6.31775701 45.68224299],0
v4,1,0.11827,2.440087,[40 14] ; [44  7],[43.2 10.8] ; [40.8 10.2],0
v3,1,0.119774,2.420269,[11 44] ; [17 34],[14.52830189 40.47169811] ; [13.47169811 37.52830189],0
u3,1,0.135779,2.225151,[11 29] ; [13 16],[13.91304348 26.08695652] ; [10.08695652 18.91304348],0
b3,1,0.161935,1.956065,[ 8 27] ; [12 19],[10.60606061 24.39393939] ; [ 9.39393939 21.60606061],0
b2,1,0.161935,1.956065,[ 8 27] ; [12 19],[10.60606061 24.39393939] ; [ 9.39393939 21.60606061],0
s7,1,0.194648,1.68208,[11 42] ; [16 34],[13.89320388 39.10679612] ; [13.10679612 36.89320388],0
s5,1,0.205494,1.602889,[ 7 47] ; [11 38],[ 9.4368932 44.5631068] ; [ 8.5631068 40.4368932],0
p5,1,0.244207,1.356142,[ 3 52] ; [ 6 45],[ 4.66981132 50.33018868] ; [ 4.33018868 46.66981132],0
p6,1,0.261357,1.261554,[12 42] ; [16 34],[14.53846154 39.46153846] ; [13.46153846 36.53846154],0
a6,1,0.305159,1.051513,[19 36] ; [23 29],[21.58878505 33.41121495] ; [20.41121495 31.58878505],0
s6,1,0.315924,1.005746,[20 35] ; [23 27],[22.52380952 32.47619048] ; [20.47619048 29.52380952],0
s1,1,0.33582,0.926325,[ 3 52] ; [ 1 51],[ 2.05607477 52.94392523] ; [ 1.94392523 50.05607477],0
p1,1,0.353573,0.860591,[ 6 49] ; [ 3 48],[ 4.66981132 50.33018868] ; [ 4.33018868 46.66981132],0
p12,1,0.362061,0.830732,[ 2 53] ; [ 4 48],[ 3.08411215 51.91588785] ; [ 2.91588785 49.08411215],0
a8,1,0.374722,0.787946,[ 3 49] ; [ 5 42],[ 4.2020202 47.7979798] ; [ 3.7979798 43.2020202],0
p4,1,0.409108,0.68139,[19 36] ; [22 30],[21.07476636 33.92523364] ; [19.92523364 32.07476636],0
p9,1,0.43152,0.618729,[35 19] ; [36 14],[36.86538462 17.13461538] ; [34.13461538 15.86538462],0
r2,1,0.479892,0.499109,[38 16] ; [39 12],[39.6 14.4] ; [37.4 13.6],0
s3,1,0.523659,0.406681,[20 34] ; [22 29],[21.6 32.4] ; [20.4 30.6],0
n5,1,0.525062,0.40394,[34 21] ; [29 23],[32.38317757 22.61682243] ; [30.61682243 21.38317757],0
s4,1,0.535438,0.384061,[11 44] ; [13 39],[12.3364486 42.6635514] ; [11.6635514 40.3364486],0
b1,1,0.576168,0.31247,[23 32] ; [19 33],[21.58878505 33.41121495] ; [20.41121495 31.58878505],0
s2,1,0.686833,0.162535,[16 39] ; [17 35],[16.96261682 38.03738318] ; [16.03738318 35.96261682],0
p7,1,0.691994,0.156935,[27 26] ; [24 27],[25.99038462 27.00961538] ; [25.00961538 25.99038462],0
a1,1,0.693591,0.155226,[ 3 52] ; [ 2 50],[ 2.57009346 52.42990654] ; [ 2.42990654 49.57009346],0
n2,1,0.761922,0.091783,[13  7] ; [9 6],[12.57142857  7.42857143] ; [9.42857143 5.57142857],0
n1,1,0.833497,0.044192,[ 6 14] ; [ 5 10],[ 6.28571429 13.71428571] ; [ 4.71428571 10.28571429],0
b5,1,0.870609,0.026531,[33 22] ; [32 20],[33.41121495 21.58878505] ; [31.58878505 20.41121495],0
n4,1,0.889644,0.019253,[31 24] ; [30 22],[31.35514019 23.64485981] ; [29.64485981 22.35514019],0
p8,1,0.913041,0.011925,[21 34] ; [20 31],[21.27358491 33.72641509] ; [19.72641509 31.27358491],0
n3,1,0.918123,0.010568,[13  7] ; [10  5],[13.14285714  6.85714286] ; [9.85714286 5.14285714],0
s8,1,0.933366,0.006991,[12 43] ; [11 41],[11.82242991 43.17757009] ; [11.17757009 40.82242991],0
