Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,7.6e-05,15.665638,[236  49] ; [19 16],[227.109375  57.890625] ; [27.890625  7.109375],1
p7,1,0.002317,9.279367,[241  38] ; [24 12],[234.71428571  44.28571429] ; [30.28571429  5.71428571],0
p10,1,0.004623,8.021283,[246  36] ; [25 11],[240.32075472  41.67924528] ; [30.67924528  5.32075472],0
s6,1,0.013477,6.10545,[201  78] ; [32  3],[207.02866242  71.97133758] ; [25.97133758  9.02866242],0
n4,1,0.016007,5.802084,[243  42] ; [25 11],[237.94392523  47.05607477] ; [30.05607477  5.94392523],0
p11,1,0.016776,5.719613,[237  48] ; [24 12],[231.72897196  53.27102804] ; [29.27102804  6.72897196],0
d5,1,0.019106,5.491761,[239  44] ; [24 11],[234.05345912  48.94654088] ; [28.94654088  6.05345912],0
d3,1,0.019347,5.469904,[214  69] ; [20 15],[208.24528302  74.75471698] ; [25.75471698  9.24528302],0
d4,1,0.026125,4.947741,[244  40] ; [25 10],[239.48589342  44.51410658] ; [29.51410658  5.48589342],0
a2,1,0.031995,4.598771,[ 79 206] ; [ 4 32],[ 73.69158879 211.30841121] ; [ 9.30841121 26.69158879],0
p8,1,0.051919,3.778393,[202  81] ; [20 16],[196.94670846  86.05329154] ; [25.05329154 10.94670846],0
r1,1,0.052641,3.755267,[236  49] ; [25 11],[231.72897196  53.27102804] ; [29.27102804  6.72897196],0
p9,1,0.055823,3.657335,[258  26] ; [29  7],[254.7125  29.2875] ; [32.2875  3.7125],0
n5,1,0.073436,3.204489,[232  51] ; [25 11],[227.9968652  55.0031348] ; [29.0031348  6.9968652],0
a3,1,0.077718,3.111986,[212  71] ; [22 14],[207.59247649  75.40752351] ; [26.40752351  9.59247649],0
u1,1,0.084005,2.985667,[ 68 217] ; [ 4 32],[ 63.92523364 221.07476636] ; [ 8.07476636 27.92523364],0
a7,1,0.086795,2.932841,[211  72] ; [22 14],[206.70532915  76.29467085] ; [26.29467085  9.70532915],0
s1,1,0.127358,2.324416,[  9 273] ; [ 3 33],[ 10.64150943 271.35849057] ; [ 1.35849057 34.64150943],0
p3,1,0.172463,1.861402,[188  97] ; [19 16],[184.359375 100.640625] ; [22.640625 12.359375],0
u3,1,0.181857,1.782384,[43 29] ; [11  3],[45.20930233 26.79069767] ; [8.79069767 5.20930233],0
s3,1,0.186584,1.744383,[171 113] ; [17 18],[167.37304075 116.62695925] ; [20.62695925 14.37304075],0
a5,1,0.23506,1.409981,[216  69] ; [24 12],[213.08411215  71.91588785] ; [26.91588785  9.08411215],0
d1,1,0.270834,1.212518,[185 100] ; [20 16],[182.00934579 102.99065421] ; [22.99065421 13.00934579],0
b1,1,0.286427,1.136339,[116 169] ; [18 18],[118.97196262 166.02803738] ; [15.02803738 20.97196262],0
v2,1,0.291551,1.112443,[161 121] ; [22 11],[163.82857143 118.17142857] ; [19.17142857 13.82857143],0
b4,1,0.295096,1.096225,[164 121] ; [24 12],[166.91588785 118.08411215] ; [21.08411215 14.91588785],0
n2,1,0.300115,1.073684,[42 18] ; [7 1],[43.23529412 16.76470588] ; [5.76470588 2.23529412],0
s5,1,0.340906,0.907021,[116 155] ; [17 16],[118.5625 152.4375] ; [14.4375 18.5625],0
b5,1,0.352662,0.863857,[167 118] ; [24 12],[169.57943925 115.42056075] ; [21.42056075 14.57943925],0
b2,1,0.404201,0.695791,[84 94] ; [10 16],[82.01960784 95.98039216] ; [11.98039216 14.01960784],0
b3,1,0.404201,0.695791,[84 94] ; [10 16],[82.01960784 95.98039216] ; [11.98039216 14.01960784],0
a4,1,0.454774,0.558727,[145 139] ; [16 20],[142.8875 141.1125] ; [18.1125 17.8875],0
n6,1,0.465776,0.53198,[254  29] ; [30  5],[252.74213836  30.25786164] ; [31.25786164  3.74213836],0
s2,1,0.641526,0.216752,[170 114] ; [23 13],[171.2875 112.7125] ; [21.7125 14.2875],0
r4,1,0.644587,0.212793,[267  18] ; [33  3],[266.35514019  18.64485981] ; [33.64485981  2.35514019],0
d2,1,0.678521,0.171795,[149 136] ; [17 18],[147.84375 137.15625] ; [18.15625 16.84375],0
a1,1,0.691078,0.157921,[ 21 264] ; [ 2 34],[ 20.42056075 264.57943925] ; [ 2.57943925 33.42056075],0
r3,1,0.713169,0.135132,[272  12] ; [34  2],[271.575  12.425] ; [34.425  1.575],0
a6,1,0.72566,0.123134,[187  97] ; [22 13],[186.06896552  97.93103448] ; [22.93103448 12.06896552],0
s8,1,0.73614,0.113548,[159 126] ; [20 14],[159.92163009 125.07836991] ; [19.07836991 14.92163009],0
p12,1,0.740468,0.109716,[ 34 250] ; [ 5 31],[ 34.6125 249.3875] ; [ 4.3875 31.6125],0
p5,1,0.740834,0.109395,[ 54 231] ; [ 6 30],[ 53.27102804 231.72897196] ; [ 6.72897196 29.27102804],0
s7,1,0.741457,0.10885,[171 101] ; [21 14],[170.11074919 101.88925081] ; [21.88925081 13.11074919],0
n1,1,0.751518,0.10026,[26 33] ; [4 4],[26.41791045 32.58208955] ; [3.58208955 4.41791045],0
u2,1,0.778097,0.079411,[44 29] ; [9 5],[44.47126437 28.52873563] ; [8.52873563 5.47126437],0
n3,1,0.822318,0.050429,[42 17] ; [6 2],[42.26865672 16.73134328] ; [5.73134328 2.26865672],0
s4,1,0.84232,0.039572,[ 58 221] ; [ 8 28],[ 58.45714286 220.54285714] ; [ 7.54285714 28.45714286],0
v3,1,0.858288,0.031881,[116 163] ; [14 21],[115.50955414 163.49044586] ; [14.49044586 20.50955414],0
r2,1,0.89073,0.018873,[272   9] ; [35  1],[272.13564669   8.86435331] ; [34.86435331  1.13564669],0
u4,1,0.901554,0.015301,[  9 276] ; [ 1 35],[  8.87850467 276.12149533] ; [ 1.12149533 34.87850467],0
a8,1,0.912446,0.01209,[ 36 221] ; [ 5 29],[ 36.20962199 220.79037801] ; [ 4.79037801 29.20962199],0
v1,1,0.957896,0.002787,[173 108] ; [22 14],[172.85488959 108.14511041] ; [22.14511041 13.85488959],0
p1,1,0.979507,0.00066,[ 39 245] ; [ 5 31],[ 39.05 244.95] ; [ 4.95 31.05],0
