Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,40.642095,[37 20] ; [19 96],[18.55813953 38.44186047] ; [37.44186047 77.55813953],1
s6,1,3e-05,17.389014,[46 11] ; [54 60],[33.33333333 23.66666667] ; [66.66666667 47.33333333],1
s4,1,0.00011,14.961293,[25 32] ; [19 96],[14.58139535 42.41860465] ; [29.41860465 85.58139535],1
s2,1,0.00013,14.640411,[36 21] ; [37 77],[24.33333333 32.66666667] ; [48.66666667 65.33333333],1
p4,1,0.004145,8.21896,[35 22] ; [44 71],[26.18023256 30.81976744] ; [52.81976744 62.18023256],0
s3,1,0.00489,7.919704,[36 21] ; [46 68],[27.33333333 29.66666667] ; [54.66666667 59.33333333],0
p10,1,0.005747,7.627937,[49  7] ; [78 37],[41.59064327 14.40935673] ; [85.40935673 29.59064327],0
p7,1,0.006435,7.424163,[41 12] ; [62 50],[33.08484848 19.91515152] ; [69.91515152 42.08484848],0
u2,1,0.013948,6.044729,[15  4] ; [24 28],[10.43661972  8.56338028] ; [28.56338028 23.43661972],0
s5,1,0.020218,5.392996,[22 33] ; [26 88],[15.62130178 39.37869822] ; [32.37869822 81.62130178],0
p1,1,0.025904,4.962422,[ 6 50] ; [  3 112],[ 2.94736842 53.05263158] ; [  6.05263158 108.94736842],0
p3,1,0.030931,4.656791,[28 29] ; [37 78],[21.54069767 35.45930233] ; [43.45930233 71.54069767],0
u1,1,0.032744,4.559125,[10 47] ; [  8 107],[ 5.96511628 51.03488372] ; [ 12.03488372 102.96511628],0
a2,1,0.045583,3.996954,[11 46] ; [ 10 105],[ 6.95930233 50.04069767] ; [ 14.04069767 100.95930233],0
v1,1,0.047221,3.9375,[30 26] ; [42 70],[24. 32.] ; [48. 64.],0
b2,1,0.048379,3.89677,[13 17] ; [12 41],[ 9.03614458 20.96385542] ; [15.96385542 37.03614458],0
b3,1,0.048379,3.89677,[13 17] ; [12 41],[ 9.03614458 20.96385542] ; [15.96385542 37.03614458],0
a7,1,0.053223,3.736888,[49  8] ; [83 31],[44. 13.] ; [88. 26.],0
v3,1,0.053329,3.733588,[18 36] ; [22 90],[13.01204819 40.98795181] ; [26.98795181 85.01204819],0
p8,1,0.056186,3.646541,[33 22] ; [51 64],[27.17647059 27.82352941] ; [56.82352941 58.17647059],0
u3,1,0.065318,3.396919,[15  5] ; [26 25],[11.54929577  8.45070423] ; [29.45070423 21.54929577],0
p6,1,0.085731,2.952762,[19 36] ; [25 88],[14.4047619 40.5952381] ; [29.5952381 83.4047619],0
a8,1,0.141099,2.165938,[ 5 48] ; [  4 103],[ 2.98125 50.01875] ; [  6.01875 100.98125],0
n5,1,0.171119,1.873116,[24 32] ; [37 78],[19.97660819 36.02339181] ; [41.02339181 73.97660819],0
p9,1,0.182462,1.777453,[49  7] ; [91 24],[45.84795322 10.15204678] ; [94.15204678 20.84795322],0
a3,1,0.18876,1.727273,[37 20] ; [62 52],[33. 24.] ; [66. 48.],0
d2,1,0.228025,1.453141,[21 36] ; [32 83],[17.56395349 39.43604651] ; [35.43604651 79.56395349],0
p5,1,0.243159,1.362187,[ 5 52] ; [  5 110],[ 3.31395349 53.68604651] ; [  6.68604651 108.31395349],0
b1,1,0.340983,0.906731,[22 35] ; [36 79],[19.22093023 37.77906977] ; [38.77906977 76.22093023],0
n1,1,0.341378,0.905248,[ 6 13] ; [ 9 35],[ 4.52380952 14.47619048] ; [10.47619048 33.52380952],0
p12,1,0.371807,0.797618,[ 3 54] ; [  3 112],[ 1.98837209 55.01162791] ; [  4.01162791 110.98837209],0
r3,1,0.400282,0.707479,[50  6] ; [107   8],[51.41520468  4.58479532] ; [105.58479532   9.41520468],0
r1,1,0.410609,0.677036,[42 15] ; [77 37],[39.66666667 17.33333333] ; [79.33333333 34.66666667],0
a5,1,0.412168,0.672539,[34 23] ; [61 54],[31.48255814 25.51744186] ; [63.51744186 51.48255814],0
d1,1,0.412168,0.672539,[23 34] ; [54 61],[25.51744186 31.48255814] ; [51.48255814 63.51744186],0
a6,1,0.446667,0.579095,[40 17] ; [74 41],[37.77906977 19.22093023] ; [76.22093023 38.77906977],0
p11,1,0.449725,0.571344,[39 18] ; [85 30],[41.09302326 15.90697674] ; [82.90697674 32.09302326],0
n2,1,0.455069,0.557996,[15  4] ; [30 13],[13.79032258  5.20967742] ; [31.20967742 11.79032258],0
r4,1,0.520027,0.41384,[47 10] ; [90 25],[45.40116279 11.59883721] ; [91.59883721 23.40116279],0
