Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,60.76016,[ 27 105] ; [122  67],[61.27102804 70.72897196] ; [ 87.72897196 101.27102804],1
p6,1,0.0,36.787623,[ 22 109] ; [94 94],[47.63636364 83.36363636] ; [ 68.36363636 119.63636364],1
p7,1,0.0,31.405484,[51 75] ; [135  52],[74.87539936 51.12460064] ; [111.12460064  75.87539936],1
n4,1,9e-06,19.649254,[81 52] ; [156  32],[98.19626168 34.80373832] ; [138.80373832  49.19626168],1
s7,1,1.6e-05,18.615216,[43 89] ; [102  76],[61.74193548 70.25806452] ; [83.25806452 94.74193548],1
s8,1,2.1e-05,18.104163,[38 95] ; [99 90],[56.58695652 76.41304348] ; [ 80.41304348 108.58695652],1
p8,1,3.7e-05,17.024879,[51 82] ; [116  72],[69.19314642 63.80685358] ; [97.80685358 90.19314642],1
s2,1,0.000156,14.301798,[49 84] ; [109  78],[65.66875 67.33125] ; [92.33125 94.66875],1
n6,1,0.000611,11.74254,[98 34] ; [168  21],[109.38317757  22.61682243] ; [156.61682243  32.38317757],1
s6,1,0.00076,11.337319,[73 58] ; [136  48],[86.91746032 44.08253968] ; [122.08253968  61.91746032],1
n5,1,0.001101,10.649311,[86 47] ; [152  36],[98.6105919 34.3894081] ; [139.3894081  48.6105919],0
p2,1,0.001843,9.699188,[102  29] ; [170  18],[111.69905956  19.30094044] ; [160.30094044  27.69905956],0
r1,1,0.002485,9.151658,[81 52] ; [144  44],[93.22429907 39.77570093] ; [131.77570093  56.22429907],0
p10,1,0.00373,8.410629,[107  25] ; [172  15],[115.44827586  16.55172414] ; [163.55172414  23.44827586],0
a4,1,0.004667,8.004262,[44 88] ; [93 96],[56.3364486 75.6635514] ; [ 80.6635514 108.3364486],0
s5,1,0.005736,7.631545,[33 98] ; [ 72 107],[44.37096774 86.62903226] ; [ 60.62903226 118.37096774],0
d1,1,0.00593,7.571441,[56 77] ; [109  80],[68.15217391 64.84782609] ; [96.84782609 92.15217391],0
v4,1,0.006719,7.346699,[118  14] ; [183   6],[123.77570093   8.22429907] ; [177.22429907  11.77570093],0
p5,1,0.009694,6.690215,[  9 122] ; [ 31 155],[ 16.52996845 114.47003155] ; [ 23.47003155 162.52996845],0
a5,1,0.015062,5.909254,[80 53] ; [138  51],[90.04347826 42.95652174] ; [127.95652174  61.04347826],0
n2,1,0.016324,5.767613,[37  7] ; [23 15],[32.19512195 11.80487805] ; [27.80487805 10.19512195],0
b1,1,0.017551,5.64045,[43 90] ; [ 86 103],[53.2826087 79.7173913] ; [ 75.7173913 113.2826087],0
v1,1,0.022334,5.219586,[44 86] ; [86 98],[53.82165605 76.17834395] ; [ 76.17834395 107.82165605],0
u2,1,0.032136,4.591252,[23 28] ; [38 20],[28.5412844 22.4587156] ; [32.4587156 25.5412844],0
d3,1,0.032991,4.546237,[75 55] ; [131  58],[83.94984326 46.05015674] ; [122.05015674  66.94984326],0
r4,1,0.034727,4.458546,[107  26] ; [168  21],[113.58695652  19.41304348] ; [161.41304348  27.58695652],0
d4,1,0.037411,4.331616,[96 36] ; [155  33],[103.5375  28.4625] ; [147.4625  40.5375],0
d5,1,0.043074,4.092511,[90 41] ; [148  40],[97.73667712 33.26332288] ; [140.26332288  47.73667712],0
d2,1,0.04606,3.979391,[45 86] ; [ 86 103],[53.628125 77.371875] ; [ 77.371875 111.628125],0
r3,1,0.046971,3.946444,[116  16] ; [177  11],[120.8625  11.1375] ; [172.1375  15.8625],0
s3,1,0.051321,3.797752,[64 67] ; [112  75],[72.50314465 58.49685535] ; [103.49685535  83.50314465],0
p11,1,0.051819,3.781596,[97 36] ; [155  34],[104.08695652  28.91304348] ; [147.91304348  41.08695652],0
u3,1,0.059833,3.542006,[23 28] ; [36 21],[27.86111111 23.13888889] ; [31.13888889 25.86111111],0
r2,1,0.121521,2.397608,[117  15] ; [174  12],[120.79245283  11.20754717] ; [170.20754717  15.79245283],0
p1,1,0.150095,2.07129,[  9 123] ; [ 22 167],[ 12.74766355 119.25233645] ; [ 18.25233645 170.74766355],0
a3,1,0.222609,1.487473,[82 49] ; [130  58],[87.05956113 43.94043887] ; [124.94043887  63.05956113],0
b5,1,0.227016,1.45946,[89 44] ; [114  75],[83.84782609 49.15217391] ; [119.15217391  69.84782609],0
b3,1,0.236627,1.400579,[23 48] ; [48 69],[26.81382979 44.18617021] ; [44.18617021 72.81382979],0
b2,1,0.236627,1.400579,[23 48] ; [48 69],[26.81382979 44.18617021] ; [44.18617021 72.81382979],0
s4,1,0.26121,1.262333,[ 23 109] ; [ 42 144],[ 26.98113208 105.01886792] ; [ 38.01886792 147.98113208],0
