Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-05,19.560511,[13  2] ; [ 6 26],[6.06382979 8.93617021] ; [12.93617021 19.06382979],1
p6,1,5.7e-05,16.213649,[12  3] ; [ 6 26],[5.74468085 9.25531915] ; [12.25531915 19.74468085],1
d2,1,0.011427,6.397665,[ 4 10] ; [22 10],[7.91304348 6.08695652] ; [18.08695652 13.91304348],0
d4,1,0.030111,4.702949,[9 5] ; [29  3],[11.56521739  2.43478261] ; [26.43478261  5.56521739],0
v1,1,0.036526,4.372369,[11  4] ; [13 19],[7.65957447 7.34042553] ; [16.34042553 15.65957447],0
p5,1,0.041623,4.150474,[ 5 10] ; [ 3 29],[ 2.55319149 12.44680851] ; [ 5.44680851 26.55319149],0
p11,1,0.077265,3.121516,[12  3] ; [17 15],[9.25531915 5.74468085] ; [19.74468085 12.25531915],0
p10,1,0.079523,3.074616,[13  2] ; [19 12],[10.43478261  4.56521739] ; [21.56521739  9.43478261],0
p9,1,0.079523,3.074616,[13  2] ; [19 12],[10.43478261  4.56521739] ; [21.56521739  9.43478261],0
p3,1,0.097782,2.741355,[8 6] ; [10 22],[5.47826087 8.52173913] ; [12.52173913 19.47826087],0
n5,1,0.114198,2.495147,[12  3] ; [18 14],[9.57446809 5.42553191] ; [20.42553191 11.57446809],0
s2,1,0.114198,2.495147,[12  3] ; [18 14],[9.57446809 5.42553191] ; [20.42553191 11.57446809],0
a3,1,0.13744,2.206389,[8 7] ; [24  8],[10.21276596  4.78723404] ; [21.78723404 10.21276596],0
p4,1,0.173249,1.854605,[8 6] ; [11 20],[5.91111111 8.08888889] ; [13.08888889 17.91111111],0
u3,1,0.18883,1.726722,[5 2] ; [3 5],[3.73333333 3.26666667] ; [4.26666667 3.73333333],0
b5,1,0.21465,1.539784,[6 9] ; [19 13],[7.9787234 7.0212766] ; [17.0212766 14.9787234],0
n4,1,0.261408,1.261287,[11  4] ; [18 14],[9.25531915 5.74468085] ; [19.74468085 12.25531915],0
b4,1,0.261408,1.261287,[11  4] ; [18 14],[9.25531915 5.74468085] ; [19.74468085 12.25531915],0
s7,1,0.288844,1.125,[10  5] ; [15 15],[8.33333333 6.66666667] ; [16.66666667 13.33333333],0
a4,1,0.298874,1.079212,[6 9] ; [18 14],[7.65957447 7.34042553] ; [16.34042553 15.65957447],0
b1,1,0.298874,1.079212,[6 9] ; [18 14],[7.65957447 7.34042553] ; [16.34042553 15.65957447],0
s4,1,0.314539,1.01152,[ 4 11] ; [13 18],[5.54347826 9.45652174] ; [11.45652174 19.54347826],0
d5,1,0.325331,0.967393,[9 5] ; [25  7],[10.34782609  3.65217391] ; [23.65217391  8.34782609],0
v2,1,0.348928,0.877352,[10  4] ; [17 13],[8.59090909 5.40909091] ; [18.40909091 11.59090909],0
p12,1,0.369831,0.804234,[ 4 11] ; [ 5 27],[ 2.87234043 12.12765957] ; [ 6.12765957 25.87234043],0
s6,1,0.390956,0.735967,[14  1] ; [27  5],[13.08510638  1.91489362] ; [27.91489362  4.08510638],0
r3,1,0.417235,0.658091,[13  2] ; [30  2],[13.72340426  1.27659574] ; [29.27659574  2.72340426],0
a7,1,0.497561,0.460135,[10  5] ; [18 14],[8.93617021 6.06382979] ; [19.06382979 12.93617021],0
r4,1,0.545437,0.365556,[14  1] ; [28  4],[13.40425532  1.59574468] ; [28.59574468  3.40425532],0
v3,1,0.576398,0.312094,[7 8] ; [11 18],[6.13636364 8.86363636] ; [11.86363636 17.13636364],0
a2,1,0.645085,0.212153,[ 2 13] ; [ 6 26],[ 2.55319149 12.44680851] ; [ 5.44680851 26.55319149],0
a5,1,0.645085,0.212153,[13  2] ; [26  6],[12.44680851  2.55319149] ; [26.55319149  5.44680851],0
d1,1,0.658545,0.195295,[9 6] ; [17 15],[8.29787234 6.70212766] ; [17.70212766 14.29787234],0
a8,1,0.676523,0.174066,[ 2 12] ; [ 3 27],[ 1.59090909 12.40909091] ; [ 3.40909091 26.59090909],0
s1,1,0.681606,0.168323,[ 2 13] ; [ 3 29],[ 1.59574468 13.40425532] ; [ 3.40425532 28.59574468],0
b3,1,0.71615,0.132212,[4 5] ; [ 9 15],[3.54545455 5.45454545] ; [ 9.45454545 14.54545455],0
b2,1,0.71615,0.132212,[4 5] ; [ 9 15],[3.54545455 5.45454545] ; [ 9.45454545 14.54545455],0
d3,1,0.753511,0.098604,[9 5] ; [19 13],[8.52173913 5.47826087] ; [19.47826087 12.52173913],0
s8,1,0.801251,0.063367,[8 6] ; [17 15],[7.60869565 6.39130435] ; [17.39130435 14.60869565],0
a6,1,0.887494,0.020015,[8 6] ; [19 13],[8.2173913 5.7826087] ; [18.7826087 13.2173913],0
s3,1,0.887494,0.020015,[8 6] ; [19 13],[8.2173913 5.7826087] ; [18.7826087 13.2173913],0
r1,1,0.90278,0.014921,[11  4] ; [24  8],[11.17021277  3.82978723] ; [23.82978723  8.17021277],0
p1,1,0.919135,0.010307,[ 3 12] ; [ 6 26],[ 2.87234043 12.12765957] ; [ 6.12765957 25.87234043],0
n1,1,0.919154,0.010302,[1 1] ; [6 7],[0.93333333 1.06666667] ; [6.06666667 6.93333333],0
n3,1,0.919154,0.010302,[1 1] ; [7 6],[1.06666667 0.93333333] ; [6.93333333 6.06666667],0
u1,1,0.936394,0.006369,[ 2 13] ; [ 4 28],[ 1.91489362 13.08510638] ; [ 4.08510638 27.91489362],0
u2,1,1.0,0.0,[2 5] ; [2 5],[2. 5.] ; [2. 5.],0
