Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,24.527386,[125  15] ; [20 17],[114.68926554  25.31073446] ; [30.31073446  6.68926554],1
v1,1,0.001514,10.061644,[86 51] ; [12 24],[77.60693642 59.39306358] ; [20.39306358 15.60693642],0
p9,1,0.003912,8.324333,[124  15] ; [26 11],[118.46590909  20.53409091] ; [31.53409091  5.46590909],0
s7,1,0.016817,5.715346,[72 61] ; [11 24],[65.70833333 67.29166667] ; [17.29166667 17.70833333],0
n6,1,0.022265,5.224982,[125  14] ; [28  9],[120.83522727  18.16477273] ; [32.16477273  4.83522727],0
p10,1,0.025767,4.971559,[113  25] ; [24 13],[108.03428571  29.96571429] ; [28.96571429  8.03428571],0
v3,1,0.026955,4.893716,[60 75] ; [ 9 28],[54.15697674 80.84302326] ; [14.84302326 22.15697674],0
n1,1,0.040572,4.193787,[11 11] ; [ 2 11],[ 8.17142857 13.82857143] ; [4.82857143 8.17142857],0
b3,1,0.055004,3.68195,[45 45] ; [ 6 16],[40.98214286 49.01785714] ; [10.01785714 11.98214286],0
b2,1,0.055004,3.68195,[45 45] ; [ 6 16],[40.98214286 49.01785714] ; [10.01785714 11.98214286],0
p4,1,0.066684,3.362805,[111  29] ; [24 13],[106.77966102  33.22033898] ; [28.22033898  8.77966102],0
u3,1,0.073046,3.213201,[20 21] ; [12  4],[23.01754386 17.98245614] ; [8.98245614 7.01754386],0
u1,1,0.076386,3.140161,[ 29 111] ; [ 3 34],[ 25.31073446 114.68926554] ; [ 6.68926554 30.31073446],0
u2,1,0.076907,3.129083,[23 18] ; [13  3],[25.89473684 15.10526316] ; [10.10526316  5.89473684],0
s3,1,0.081368,3.037358,[75 64] ; [14 23],[70.28977273 68.71022727] ; [18.71022727 18.28977273],0
s6,1,0.082388,3.017143,[92 48] ; [18 18],[87.5 52.5] ; [22.5 13.5],0
p5,1,0.091096,2.854905,[ 17 123] ; [ 1 36],[ 14.23728814 125.76271186] ; [ 3.76271186 33.23728814],0
a3,1,0.093163,2.818855,[99 40] ; [21 16],[94.77272727 44.22727273] ; [25.22727273 11.77272727],0
a7,1,0.110968,2.54038,[102  37] ; [31  5],[105.64  33.36] ; [27.36  8.64],0
v2,1,0.179479,1.801935,[86 52] ; [18 18],[82.48275862 55.51724138] ; [21.51724138 14.48275862],0
