Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,27.880766,[84 10] ; [16 19],[72.86821705 21.13178295] ; [27.13178295  7.86821705],1
a4,1,8e-06,20.050235,[55 39] ; [ 5 30],[43.72093023 50.27906977] ; [16.27906977 18.72093023],1
d3,1,1.7e-05,18.491706,[72 21] ; [13 22],[61.7578125 31.2421875] ; [23.2421875 11.7578125],1
d2,1,2.5e-05,17.74225,[58 36] ; [ 7 28],[47.36434109 46.63565891] ; [17.63565891 17.36434109],1
a3,1,0.000284,13.17487,[74 20] ; [16 19],[65.58139535 28.41860465] ; [24.41860465 10.58139535],1
a2,1,0.002077,9.480041,[26 68] ; [ 1 34],[19.6744186 74.3255814] ; [ 7.3255814 27.6744186],0
u1,1,0.006708,7.349427,[22 72] ; [ 1 34],[16.75968992 77.24031008] ; [ 6.24031008 28.75968992],0
n4,1,0.009591,6.70929,[77 17] ; [21 14],[71.41085271 22.58914729] ; [26.58914729  8.41085271],0
s6,1,0.013323,6.125667,[69 22] ; [18 16],[63.336 27.664] ; [23.664 10.336],0
a5,1,0.017866,5.609212,[69 25] ; [18 17],[63.39534884 30.60465116] ; [23.60465116 11.39534884],0
p4,1,0.022006,5.245303,[75 19] ; [21 14],[69.95348837 24.04651163] ; [26.04651163  8.95348837],0
p9,1,0.033817,4.503955,[82 12] ; [25 10],[77.96899225 16.03100775] ; [29.03100775  5.96899225],0
p12,1,0.10843,2.576953,[ 7 86] ; [ 6 29],[ 9.4453125 83.5546875] ; [ 3.5546875 31.4453125],0
p2,1,0.110194,2.55143,[85  9] ; [28  7],[82.34108527 11.65891473] ; [30.65891473  4.34108527],0
p8,1,0.122641,2.383268,[56 38] ; [26  9],[59.75193798 34.24806202] ; [22.24806202 12.75193798],0
u2,1,0.145519,2.118609,[15  5] ; [10  9],[12.82051282  7.17948718] ; [12.17948718  6.82051282],0
r2,1,0.147036,2.102738,[87  4] ; [31  4],[85.22222222  5.77777778] ; [32.77777778  2.22222222],0
r1,1,0.153564,2.036482,[71 23] ; [22 13],[67.76744186 26.23255814] ; [25.23255814  9.76744186],0
s8,1,0.185455,1.753356,[44 49] ; [12 23],[40.6875 52.3125] ; [15.3125 19.6875],0
u3,1,0.18876,1.727273,[13  6] ; [ 9 10],[11.  8.] ; [11.  8.],0
p10,1,0.242782,1.364365,[73 20] ; [24 11],[70.4765625 22.5234375] ; [26.5234375  8.4765625],0
n5,1,0.34159,0.904455,[69 24] ; [23 12],[66.84375 26.15625] ; [25.15625  9.84375],0
v4,1,0.34358,0.897026,[89  4] ; [32  3],[87.9140625  5.0859375] ; [33.0859375  1.9140625],0
n6,1,0.38928,0.74119,[81 13] ; [28  7],[79.42635659 14.57364341] ; [29.57364341  5.42635659],0
r4,1,0.416619,0.659831,[83 11] ; [29  6],[81.6124031 12.3875969] ; [30.3875969  4.6124031],0
p3,1,0.418059,0.655765,[61 33] ; [20 15],[59.02325581 34.97674419] ; [21.97674419 13.02325581],0
p7,1,0.450549,0.56927,[73 19] ; [29  5],[74.47619048 17.52380952] ; [27.52380952  6.47619048],0
a7,1,0.483873,0.490122,[61 33] ; [25 10],[62.66666667 31.33333333] ; [23.33333333 11.66666667],0
n2,1,0.512285,0.429396,[23  8] ; [5 3],[22.25641026  8.74358974] ; [5.74358974 2.25641026],0
v2,1,0.555923,0.346813,[35 57] ; [11 23],[33.58730159 58.41269841] ; [12.41269841 21.58730159],0
a8,1,0.614236,0.254052,[10 78] ; [ 5 29],[10.81967213 77.18032787] ; [ 4.18032787 29.81967213],0
b3,1,0.616301,0.251101,[26 31] ; [ 7 11],[25.08 31.92] ; [ 7.92 10.08],0
b2,1,0.616301,0.251101,[26 31] ; [ 7 11],[25.08 31.92] ; [ 7.92 10.08],0
v3,1,0.657974,0.195993,[23 70] ; [10 25],[23.9765625 69.0234375] ; [ 9.0234375 25.9765625],0
s5,1,0.669815,0.181818,[34 54] ; [11 21],[33. 55.] ; [12. 20.],0
b5,1,0.688746,0.160447,[50 44] ; [20 15],[51.00775194 42.99224806] ; [18.99224806 16.00775194],0
s4,1,0.731255,0.117963,[23 67] ; [10 25],[23.76 66.24] ; [ 9.24 25.76],0
s1,1,0.745705,0.105176,[ 4 88] ; [ 2 33],[ 4.34645669 87.65354331] ; [ 1.65354331 33.34645669],0
p5,1,0.753647,0.098492,[14 80] ; [ 6 29],[14.57364341 79.42635659] ; [ 5.42635659 29.57364341],0
n1,1,0.825309,0.048718,[10 20] ; [3 5],[10.26315789 19.73684211] ; [2.73684211 5.26315789],0
a6,1,0.829993,0.046101,[61 33] ; [22 13],[60.48062016 33.51937984] ; [22.51937984 12.48062016],0
r3,1,0.867094,0.028006,[86  6] ; [33  2],[86.20472441  5.79527559] ; [32.79527559  2.20472441],0
n3,1,0.884867,0.020968,[24  7] ; [6 2],[23.84615385  7.15384615] ; [6.15384615 1.84615385],0
b4,1,0.885268,0.020821,[47 47] ; [17 18],[46.63565891 47.36434109] ; [17.36434109 17.63565891],0
s7,1,0.886819,0.020258,[51 38] ; [19 15],[50.6504065 38.3495935] ; [19.3495935 14.6504065],0
a1,1,0.888646,0.019605,[ 6 88] ; [ 2 33],[ 5.82945736 88.17054264] ; [ 2.17054264 32.82945736],0
s2,1,0.900588,0.015605,[52 41] ; [20 15],[52.3125 40.6875] ; [19.6875 15.3125],0
b1,1,0.938285,0.005995,[41 53] ; [15 20],[40.80620155 53.19379845] ; [15.19379845 19.80620155],0
p1,1,0.94702,0.004416,[13 81] ; [ 5 30],[13.11627907 80.88372093] ; [ 4.88372093 30.11627907],0
s3,1,0.982327,0.000491,[56 37] ; [21 14],[55.9453125 37.0546875] ; [21.0546875 13.9453125],0
p11,1,0.983159,0.000446,[70 24] ; [26  9],[69.95348837 24.04651163] ; [26.04651163  8.95348837],0
