Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,4.9e-05,16.497826,[16 16] ; [81 14],[24.44094488  7.55905512] ; [72.55905512 22.44094488],1
a6,1,8.7e-05,15.410287,[13 19] ; [74 21],[21.92125984 10.07874016] ; [65.07874016 29.92125984],1
p2,1,0.013369,6.119548,[18 14] ; [74 20],[23.36507937  8.63492063] ; [68.63492063 25.36507937],0
n1,1,0.014508,5.975309,[5 4] ; [ 4 23],[2.25 6.75] ; [ 6.75 20.25],0
p10,1,0.018212,5.575622,[14 17] ; [64 29],[19.5 11.5] ; [58.5 34.5],0
u1,1,0.029983,4.710239,[ 1 31] ; [18 77],[ 4.78740157 27.21259843] ; [14.21259843 80.78740157],0
a2,1,0.043974,4.057542,[ 2 30] ; [21 74],[ 5.79527559 26.20472441] ; [17.20472441 77.79527559],0
p9,1,0.067612,3.340067,[18 13] ; [70 23],[22.  9.] ; [66. 27.],0
b1,1,0.078413,3.097492,[16 16] ; [31 64],[11.84251969 20.15748031] ; [35.15748031 59.84251969],0
d1,1,0.099699,2.710349,[16 16] ; [63 32],[19.90551181 12.09448819] ; [59.09448819 35.90551181],0
d4,1,0.102962,2.659051,[25  7] ; [85 10],[27.71653543  4.28346457] ; [82.28346457 12.71653543],0
r1,1,0.116969,2.457447,[22 10] ; [77 17],[25.14285714  6.85714286] ; [73.85714286 20.14285714],0
n6,1,0.117103,2.455652,[18 14] ; [67 27],[21.58730159 10.41269841] ; [63.41269841 30.58730159],0
v4,1,0.173434,1.853006,[27  5] ; [87  7],[28.95238095  3.04761905] ; [85.04761905  8.95238095],0
d5,1,0.204836,1.607553,[25  7] ; [83 12],[27.21259843  4.78740157] ; [80.78740157 14.21259843],0
a5,1,0.228487,1.450253,[20 12] ; [70 25],[22.67716535  9.32283465] ; [67.32283465 27.67716535],0
a3,1,0.228487,1.450253,[20 12] ; [70 25],[22.67716535  9.32283465] ; [67.32283465 27.67716535],0
v3,1,0.23391,1.416926,[ 9 20] ; [40 52],[11.74380165 17.25619835] ; [37.25619835 54.74380165],0
v1,1,0.333753,0.934281,[13 19] ; [46 45],[15.3495935 16.6504065] ; [43.6504065 47.3495935],0
n2,1,0.376363,0.782547,[7 2] ; [16 10],[5.91428571 3.08571429] ; [17.08571429  8.91428571],0
p12,1,0.405026,0.693354,[ 1 30] ; [ 7 87],[ 1.984 29.016] ; [ 6.016 87.984],0
u2,1,0.414172,0.666793,[5 7] ; [14 11],[6.16216216 5.83783784] ; [12.83783784 12.16216216],0
r3,1,0.415418,0.663241,[31  1] ; [94  1],[31.49606299  0.50393701] ; [93.50393701  1.49606299],0
b4,1,0.421835,0.645197,[18 14] ; [61 34],[19.90551181 12.09448819] ; [59.09448819 35.90551181],0
a4,1,0.421835,0.645197,[14 18] ; [34 61],[12.09448819 19.90551181] ; [35.90551181 59.09448819],0
s2,1,0.430247,0.622156,[15 17] ; [37 58],[13.1023622 18.8976378] ; [38.8976378 56.1023622],0
n4,1,0.436597,0.60521,[16 16] ; [40 55],[14.11023622 17.88976378] ; [41.88976378 53.11023622],0
a8,1,0.442974,0.588567,[ 1 30] ; [ 6 79],[ 1.87068966 29.12931034] ; [ 5.12931034 79.87068966],0
b5,1,0.487502,0.482034,[18 14] ; [60 35],[19.65354331 12.34645669] ; [58.34645669 36.65354331],0
b3,1,0.489411,0.477822,[ 7 11] ; [15 35],[ 5.82352941 12.17647059] ; [16.17647059 33.82352941],0
b2,1,0.489411,0.477822,[ 7 11] ; [15 35],[ 5.82352941 12.17647059] ; [16.17647059 33.82352941],0
s5,1,0.490725,0.474936,[10 19] ; [25 65],[ 8.52941176 20.47058824] ; [26.47058824 63.52941176],0
p11,1,0.53806,0.379146,[20 12] ; [65 30],[21.41732283 10.58267717] ; [63.58267717 31.41732283],0
p6,1,0.576392,0.312103,[ 7 23] ; [26 65],[ 8.18181818 21.81818182] ; [24.81818182 66.18181818],0
s8,1,0.614732,0.253341,[12 20] ; [31 64],[10.83464567 21.16535433] ; [32.16535433 62.83464567],0
p4,1,0.63162,0.229871,[12 19] ; [41 53],[13.144 17.856] ; [39.856 54.144],0
a1,1,0.63813,0.221196,[ 2 30] ; [ 4 91],[ 1.51181102 30.48818898] ; [ 4.48818898 90.51181102],0
