Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,8.1e-05,15.523253,[18 10] ; [16 55],[ 9.61616162 18.38383838] ; [24.38383838 46.61616162],1
p3,1,0.000347,12.8,[22  6] ; [27 43],[14. 14.] ; [35. 35.],1
p6,1,0.000408,12.495041,[16 11] ; [15 54],[ 8.71875 18.28125] ; [22.28125 46.71875],1
p7,1,0.00161,9.948621,[25  3] ; [39 31],[18.28571429  9.71428571] ; [45.71428571 24.28571429],0
s2,1,0.01033,6.576998,[11 17] ; [11 60],[ 6.22222222 21.77777778] ; [15.77777778 55.22222222],0
a8,1,0.016912,5.705491,[ 6 16] ; [ 5 60],[ 2.7816092 19.2183908] ; [ 8.2183908 56.7816092],0
b2,1,0.018124,5.584104,[15  7] ; [19 31],[10.38888889 11.61111111] ; [23.61111111 26.38888889],0
b3,1,0.018124,5.584104,[15  7] ; [19 31],[10.38888889 11.61111111] ; [23.61111111 26.38888889],0
n5,1,0.048559,3.890531,[25  3] ; [50 21],[21.21212121  6.78787879] ; [53.78787879 17.21212121],0
u1,1,0.051515,3.791446,[ 7 21] ; [ 7 64],[ 3.95959596 24.04040404] ; [10.04040404 60.95959596],0
p10,1,0.078264,3.100598,[25  3] ; [51 19],[21.71428571  6.28571429] ; [54.28571429 15.71428571],0
n6,1,0.108599,2.574488,[25  3] ; [53 18],[22.06060606  5.93939394] ; [55.93939394 15.06060606],0
p11,1,0.108599,2.574488,[25  3] ; [53 18],[22.06060606  5.93939394] ; [55.93939394 15.06060606],0
n4,1,0.125791,2.343693,[26  2] ; [57 14],[23.47474747  4.52525253] ; [59.52525253 11.47474747],0
p2,1,0.132086,2.267821,[25  3] ; [53 17],[22.28571429  5.71428571] ; [55.71428571 14.28571429],0
r2,1,0.142174,2.154274,[26  2] ; [68  1],[27.13402062  0.86597938] ; [66.86597938  2.13402062],0
s3,1,0.142761,2.147945,[10 18] ; [15 55],[ 7.14285714 20.85714286] ; [17.85714286 52.14285714],0
a3,1,0.212528,1.554125,[23  4] ; [52 19],[20.66326531  6.33673469] ; [54.33673469 16.66326531],0
b5,1,0.226377,1.463481,[12 16] ; [40 31],[14.70707071 13.29292929] ; [37.29292929 33.70707071],0
p9,1,0.232939,1.422823,[24  4] ; [53 18],[21.77777778  6.22222222] ; [55.22222222 15.77777778],0
d3,1,0.255602,1.292424,[20  8] ; [42 29],[17.53535354 10.46464646] ; [44.46464646 26.53535354],0
r1,1,0.289758,1.120746,[24  4] ; [54 17],[22.06060606  5.93939394] ; [55.93939394 15.06060606],0
a7,1,0.322199,0.98,[22  6] ; [48 22],[20.  8.] ; [50. 20.],0
v2,1,0.341547,0.904615,[24  4] ; [54 16],[22.28571429  5.71428571] ; [55.71428571 14.28571429],0
p12,1,0.385261,0.753846,[ 3 25] ; [ 4 66],[ 2. 26.] ; [ 5. 65.],0
p5,1,0.385556,0.752913,[ 4 24] ; [ 6 65],[ 2.82828283 25.17171717] ; [ 7.17171717 63.82828283],0
d4,1,0.419078,0.652898,[24  4] ; [55 15],[22.57142857  5.42857143] ; [56.42857143 13.57142857],0
a5,1,0.470903,0.519856,[21  7] ; [48 23],[19.51515152  8.48484848] ; [49.48484848 21.51515152],0
n3,1,0.472766,0.515503,[3 2] ; [10  3],[3.61111111 1.38888889] ; [9.38888889 3.61111111],0
d2,1,0.481837,0.494702,[13 15] ; [38 32],[14.57142857 13.42857143] ; [36.42857143 33.57142857],0
b1,1,0.499303,0.456417,[ 9 19] ; [28 43],[10.46464646 17.53535354] ; [26.53535354 44.46464646],0
r4,1,0.53885,0.377676,[25  3] ; [60 11],[24.04040404  3.95959596] ; [60.95959596 10.04040404],0
p8,1,0.566211,0.329064,[16 12] ; [35 34],[14.72164948 13.27835052] ; [36.27835052 32.72164948],0
n1,1,0.610689,0.259174,[2 3] ; [3 8],[1.5625 3.4375] ; [3.4375 7.5625],0
p4,1,0.612706,0.256253,[16 12] ; [35 33],[14.875 13.125] ; [36.125 31.875],0
u3,1,0.615228,0.252632,[3 2] ; [ 9 10],[2.5 2.5] ; [9.5 9.5],0
a2,1,0.63254,0.228631,[ 4 24] ; [13 58],[ 4.80808081 23.19191919] ; [12.19191919 58.80808081],0
r3,1,0.658169,0.195755,[26  2] ; [63  7],[25.42857143  2.57142857] ; [63.57142857  6.42857143],0
v4,1,0.673002,0.17811,[27  1] ; [67  4],[26.58585859  1.41414141] ; [67.41414141  3.58585859],0
s4,1,0.673002,0.17811,[ 1 27] ; [ 4 67],[ 1.41414141 26.58585859] ; [ 3.58585859 67.41414141],0
s5,1,0.677935,0.172459,[ 5 23] ; [10 59],[ 4.32989691 23.67010309] ; [10.67010309 58.32989691],0
b4,1,0.754763,0.097572,[16 12] ; [43 28],[16.68686869 11.31313131] ; [42.31313131 28.68686869],0
u2,1,0.768589,0.086566,[2 3] ; [ 9 10],[2.29166667 2.70833333] ; [ 8.70833333 10.29166667],0
d1,1,0.787164,0.072897,[17 11] ; [41 30],[16.4040404 11.5959596] ; [41.5959596 29.4040404],0
n2,1,0.813945,0.055385,[4 1] ; [11  2],[4.16666667 0.83333333] ; [10.83333333  2.16666667],0
v1,1,0.845409,0.038017,[17 11] ; [41 29],[16.57142857 11.42857143] ; [41.42857143 28.57142857],0
a6,1,0.874618,0.024899,[19  9] ; [47 24],[18.66666667  9.33333333] ; [47.33333333 23.66666667],0
