Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,3.8e-05,16.956371,[65  6] ; [43 26],[54.77142857 16.22857143] ; [53.22857143 15.77142857],1
r3,1,7.6e-05,15.665658,[65  6] ; [44 25],[55.27857143 15.72142857] ; [53.72142857 15.27857143],1
p4,1,0.000441,12.351216,[37 35] ; [16 54],[26.87323944 45.12676056] ; [26.12676056 43.87323944],1
p7,1,0.000616,11.727103,[38 34] ; [17 52],[28.08510638 43.91489362] ; [26.91489362 42.08510638],1
r4,1,0.000921,10.979328,[57 15] ; [37 33],[47.66197183 24.33802817] ; [46.33802817 23.66197183],1
p8,1,0.001908,9.635959,[27 45] ; [10 59],[18.89361702 53.10638298] ; [18.10638298 50.89361702],0
s1,1,0.002133,9.431687,[ 1 70] ; [11 58],[ 6.08571429 64.91428571] ; [ 5.91428571 63.08571429],0
p11,1,0.005894,7.582484,[38 34] ; [21 49],[29.91549296 42.08450704] ; [29.08450704 40.91549296],0
a7,1,0.00669,7.35439,[49 22] ; [32 37],[41.07857143 29.92142857] ; [39.92142857 29.07857143],0
p6,1,0.006812,7.321902,[20 50] ; [ 7 61],[13.69565217 56.30434783] ; [13.30434783 54.69565217],0
a1,1,0.014093,6.026493,[ 1 71] ; [ 8 62],[ 4.56338028 67.43661972] ; [ 4.43661972 65.56338028],0
n3,1,0.015551,5.852903,[20  8] ; [11 17],[15.5 12.5] ; [15.5 12.5],0
p3,1,0.017548,5.640692,[29 43] ; [15 54],[22.46808511 49.53191489] ; [21.53191489 47.46808511],0
a6,1,0.018978,5.503564,[47 25] ; [32 38],[40.05633803 31.94366197] ; [38.94366197 31.05633803],0
d3,1,0.019071,5.494999,[46 26] ; [31 39],[39.04225352 32.95774648] ; [37.95774648 32.04225352],0
b5,1,0.029077,4.76302,[48 24] ; [34 36],[41.57746479 30.42253521] ; [40.42253521 29.57746479],0
r1,1,0.032013,4.597826,[54 18] ; [40 29],[48. 24.] ; [46. 23.],0
v2,1,0.032268,4.584186,[33 37] ; [20 48],[26.88405797 43.11594203] ; [26.11594203 41.88405797],0
n2,1,0.05314,3.7395,[19  8] ; [14 17],[15.36206897 11.63793103] ; [17.63793103 13.36206897],0
v1,1,0.072075,3.235132,[31 41] ; [20 50],[25.85915493 46.14084507] ; [25.14084507 44.85915493],0
s8,1,0.07426,3.186254,[15 56] ; [ 7 62],[11.15714286 59.84285714] ; [10.84285714 58.15714286],0
s3,1,0.074266,3.186132,[32 39] ; [21 48],[26.87857143 44.12142857] ; [26.12142857 42.87857143],0
s4,1,0.110347,2.549238,[15 55] ; [ 8 62],[11.5 58.5] ; [11.5 58.5],0
b2,1,0.181758,1.783193,[10 33] ; [16 28],[12.85057471 30.14942529] ; [13.14942529 30.85057471],0
b3,1,0.181758,1.783193,[10 33] ; [16 28],[12.85057471 30.14942529] ; [13.14942529 30.85057471],0
r2,1,0.207132,1.591361,[62 10] ; [53 15],[59.14285714 12.85714286] ; [55.85714286 12.14285714],0
s7,1,0.217485,1.520888,[17 49] ; [11 54],[14.10687023 51.89312977] ; [13.89312977 51.10687023],0
d5,1,0.236229,1.40296,[51 21] ; [43 27],[47.66197183 24.33802817] ; [46.33802817 23.66197183],0
u1,1,0.243354,1.361061,[12 60] ; [ 7 63],[ 9.63380282 62.36619718] ; [ 9.36619718 60.63380282],0
b4,1,0.244459,1.354694,[46 26] ; [38 32],[42.5915493 29.4084507] ; [41.4084507 28.5915493],0
s2,1,0.32469,0.969959,[23 46] ; [18 52],[20.35251799 48.64748201] ; [20.64748201 49.35251799],0
n6,1,0.333801,0.934096,[46 26] ; [38 30],[43.2 28.8] ; [40.8 27.2],0
n4,1,0.372278,0.796045,[47 25] ; [40 29],[44.42553191 27.57446809] ; [42.57446809 26.42553191],0
a2,1,0.412171,0.672529,[14 58] ; [10 60],[12.16901408 59.83098592] ; [11.83098592 58.16901408],0
n1,1,0.468022,0.526643,[ 8 19] ; [12 19],[ 9.31034483 17.68965517] ; [10.68965517 20.31034483],0
a4,1,0.472851,0.515306,[25 47] ; [28 41],[27.06382979 44.93617021] ; [25.93617021 43.06382979],0
p1,1,0.526799,0.400562,[ 6 65] ; [ 4 66],[ 5.03546099 65.96453901] ; [ 4.96453901 65.03546099],0
s6,1,0.586318,0.296132,[31 40] ; [27 42],[29.41428571 41.58571429] ; [28.58571429 40.41428571],0
a8,1,0.591214,0.288452,[ 4 57] ; [ 3 65],[ 3.31007752 57.68992248] ; [ 3.68992248 64.31007752],0
d1,1,0.591933,0.287335,[32 40] ; [28 42],[30.42253521 41.57746479] ; [29.57746479 40.42253521],0
p5,1,0.61432,0.253932,[ 2 70] ; [ 3 66],[ 2.55319149 69.44680851] ; [ 2.44680851 66.55319149],0
d2,1,0.615302,0.252526,[33 38] ; [35 34],[34.48571429 36.51428571] ; [33.51428571 35.48571429],0
a3,1,0.661245,0.192015,[37 35] ; [38 31],[38.29787234 33.70212766] ; [36.70212766 32.29787234],0
u2,1,0.696456,0.152185,[17 17] ; [14 17],[16.21538462 17.78461538] ; [14.78461538 16.21538462],0
a5,1,0.721173,0.127372,[39 33] ; [40 30],[40.05633803 31.94366197] ; [38.94366197 31.05633803],0
b1,1,0.72956,0.119516,[37 35] ; [38 32],[38.02816901 33.97183099] ; [36.97183099 33.02816901],0
s5,1,0.812662,0.056166,[11 58] ; [10 59],[10.5 58.5] ; [10.5 58.5],0
v3,1,0.873801,0.025228,[19 51] ; [19 48],[19.41605839 50.58394161] ; [18.58394161 48.41605839],0
u3,1,0.906995,0.013649,[18 17] ; [16 16],[17.76119403 17.23880597] ; [16.23880597 15.76119403],0
n5,1,0.925702,0.008696,[37 35] ; [36 33],[37.27659574 34.72340426] ; [35.72340426 33.27659574],0
p12,1,0.99194,0.000102,[ 1 70] ; [ 1 69],[ 1.0070922 69.9929078] ; [ 0.9929078 69.0070922],0
d4,1,1.0,0.0,[48 22] ; [48 22],[48. 22.] ; [48. 22.],0
