Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,92.880081,[330  68] ; [50 78],[287.52851711 110.47148289] ; [92.47148289 35.52851711],1
n6,1,0.0,32.010724,[348  51] ; [84 45],[326.45454545  72.54545455] ; [105.54545455  23.45454545],1
a5,1,1.1e-05,19.262125,[299 100] ; [71 59],[279.07372401 119.92627599] ; [90.92627599 39.07372401],1
p10,1,0.00015,14.376405,[321  76] ; [82 45],[305.32633588  91.67366412] ; [97.67366412 29.32633588],1
p11,1,0.000218,13.667552,[333  66] ; [89 41],[318.29489603  80.70510397] ; [103.70510397  26.29489603],1
a4,1,0.000244,13.457526,[182 214] ; [36 94],[164.121673 231.878327] ; [53.878327 76.121673],1
p4,1,0.000302,13.057352,[239 159] ; [54 75],[221.27893738 176.72106262] ; [71.72106262 57.27893738],1
d1,1,0.000455,12.291078,[239 160] ; [55 75],[221.75047259 177.24952741] ; [72.24952741 57.75047259],1
p3,1,0.000526,12.022698,[198 200] ; [42 88],[180.90909091 217.09090909] ; [59.09090909 70.90909091],1
s7,1,0.000533,11.996066,[168 210] ; [34 92],[151.5 226.5] ; [50.5 75.5],1
v3,1,0.000865,11.096227,[159 223] ; [30 91],[143.53479125 238.46520875] ; [45.46520875 75.53479125],1
d2,1,0.000922,10.978107,[198 200] ; [43 87],[181.66287879 216.33712121] ; [59.33712121 70.66287879],1
a2,1,0.001653,9.899616,[ 98 301] ; [ 15 115],[ 85.23062382 313.76937618] ; [ 27.76937618 102.23062382],0
p6,1,0.002298,9.294544,[134 260] ; [ 25 102],[120.24184261 273.75815739] ; [38.75815739 88.24184261],0
s8,1,0.002872,8.887356,[162 236] ; [34 96],[147.74242424 250.25757576] ; [48.25757576 81.74242424],0
a3,1,0.004741,7.975676,[282 115] ; [75 55],[268.93548387 128.06451613] ; [88.06451613 41.93548387],0
d5,1,0.005212,7.80444,[329  69] ; [92 37],[317.94686907  80.05313093] ; [103.05313093  25.94686907],0
u1,1,0.005471,7.716831,[ 71 328] ; [ 10 120],[ 61.09451796 337.90548204] ; [ 19.90548204 110.09451796],0
a8,1,0.00757,7.132459,[ 59 300] ; [  8 112],[ 50.21503132 308.78496868] ; [ 16.78496868 103.21503132],0
p2,1,0.008194,6.990671,[337  61] ; [96 33],[327.00948767  70.99051233] ; [105.99051233  23.00948767],0
p12,1,0.00936,6.752748,[ 26 370] ; [  1 129],[ 20.3269962 375.6730038] ; [  6.6730038 123.3269962],0
r2,1,0.013888,6.052385,[389   6] ; [123   7],[385.21904762   9.78095238] ; [126.78095238   3.21904762],0
v1,1,0.015925,5.811157,[205 183] ; [51 75],[193.24513619 194.75486381] ; [62.75486381 63.24513619],0
s6,1,0.023245,5.150077,[242 155] ; [64 65],[230.95437262 166.04562738] ; [75.04562738 53.95437262],0
r1,1,0.024655,5.04796,[344  53] ; [102  28],[335.98102467  61.01897533] ; [110.01897533  19.98102467],0
s4,1,0.031473,4.626975,[ 37 359] ; [ 21 109],[ 43.66539924 352.33460076] ; [ 14.33460076 115.66539924],0
s3,1,0.032932,4.549318,[205 190] ; [53 76],[194.48473282 200.51526718] ; [63.51526718 65.48473282],0
