Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.001876,9.666668,[29  2] ; [20 13],[23.734375  7.265625] ; [25.265625  7.734375],0
p8,1,0.022149,5.23404,[ 3 28] ; [11 22],[ 6.78125 24.21875] ; [ 7.21875 25.78125],0
s2,1,0.022167,5.232653,[16 15] ; [26  7],[20.34375 10.65625] ; [21.65625 11.34375],0
p5,1,0.039883,4.222837,[ 1 30] ; [ 6 24],[ 3.55737705 27.44262295] ; [ 3.44262295 26.55737705],0
b5,1,0.08279,3.009265,[15 16] ; [23 10],[18.40625 12.59375] ; [19.59375 13.40625],0
v4,1,0.108025,2.582879,[25  6] ; [31  2],[27.125  3.875] ; [28.875  4.125],0
b1,1,0.125788,2.34373,[20 11] ; [15 18],[16.953125 14.046875] ; [18.046875 14.953125],0
p6,1,0.161864,1.956727,[ 8 23] ; [14 19],[10.65625 20.34375] ; [11.34375 21.65625],0
d2,1,0.172801,1.85847,[21  9] ; [17 15],[18.38709677 11.61290323] ; [19.61290323 12.38709677],0
p7,1,0.1955,1.675676,[10 21] ; [15 16],[12.5 18.5] ; [12.5 18.5],0
p4,1,0.197068,1.663972,[ 7 24] ; [12 20],[ 9.34920635 21.65079365] ; [ 9.65079365 22.34920635],0
p12,1,0.19714,1.663435,[ 5 26] ; [ 2 31],[ 3.390625 27.609375] ; [ 3.609375 29.390625],0
a8,1,0.227643,1.455526,[ 2 28] ; [ 5 25],[ 3.5 26.5] ; [ 3.5 26.5],0
n6,1,0.252216,1.310988,[26  5] ; [23  9],[24.11111111  6.88888889] ; [24.88888889  7.11111111],0
u3,1,0.254565,1.298077,[1 1] ; [11  2],[1.6 0.4] ; [10.4  2.6],0
b4,1,0.264474,1.245185,[22  9] ; [19 14],[19.859375 11.140625] ; [21.140625 11.859375],0
r1,1,0.289682,1.121099,[23  8] ; [28  5],[24.703125  6.296875] ; [26.296875  6.703125],0
n2,1,0.293803,1.102114,[8 4] ; [11  2],[9.12 2.88] ; [9.88 3.12],0
u1,1,0.3058,1.048728,[ 9 22] ; [ 6 27],[ 7.265625 23.734375] ; [ 7.734375 25.265625],0
s4,1,0.3058,1.048728,[ 9 22] ; [ 6 27],[ 7.265625 23.734375] ; [ 7.734375 25.265625],0
a5,1,0.3058,1.048728,[22  9] ; [27  6],[23.734375  7.265625] ; [25.265625  7.734375],0
p3,1,0.318845,0.99368,[ 8 23] ; [12 20],[ 9.84126984 21.15873016] ; [10.15873016 21.84126984],0
a2,1,0.325258,0.967685,[11 20] ; [ 8 25],[ 9.203125 21.796875] ; [ 9.796875 23.203125],0
p11,1,0.332412,0.939478,[18 13] ; [23 10],[19.859375 11.140625] ; [21.140625 11.859375],0
n3,1,0.3411,0.906294,[8 3] ; [7 6],[6.875 4.125] ; [8.125 4.875],0
s3,1,0.353296,0.861582,[21 10] ; [25  7],[22.63492063  8.36507937] ; [23.36507937  8.63492063],0
r3,1,0.436769,0.604757,[29  2] ; [29  4],[28.09375  2.90625] ; [29.90625  3.09375],0
a4,1,0.442785,0.589056,[18 13] ; [16 17],[16.46875 14.53125] ; [17.53125 15.46875],0
n5,1,0.478786,0.501626,[20 11] ; [24  9],[21.3125  9.6875] ; [22.6875 10.3125],0
v3,1,0.501238,0.452314,[12 16] ; [16 15],[13.28813559 14.71186441] ; [14.71186441 16.28813559],0
p10,1,0.510116,0.43383,[23  8] ; [22 11],[21.796875  9.203125] ; [23.203125  9.796875],0
r2,1,0.517545,0.418783,[29  2] ; [32  1],[29.546875  1.453125] ; [31.453125  1.546875],0
u4,1,0.517545,0.418783,[ 2 29] ; [ 1 32],[ 1.453125 29.546875] ; [ 1.546875 31.453125],0
d4,1,0.562244,0.335833,[26  4] ; [26  6],[25.16129032  4.83870968] ; [26.83870968  5.16129032],0
p9,1,0.607119,0.264392,[21  9] ; [25  8],[21.9047619  8.0952381] ; [24.0952381  8.9047619],0
p1,1,0.625303,0.238485,[ 4 27] ; [ 3 30],[ 3.390625 27.609375] ; [ 3.609375 29.390625],0
r4,1,0.656004,0.198414,[25  6] ; [28  5],[25.671875  5.328125] ; [27.328125  5.671875],0
a6,1,0.656646,0.197623,[20 10] ; [23  9],[20.80645161  9.19354839] ; [22.19354839  9.80645161],0
s6,1,0.662019,0.19108,[24  7] ; [27  6],[24.703125  6.296875] ; [26.296875  6.703125],0
d1,1,0.710644,0.137634,[22  9] ; [22 11],[21.3125  9.6875] ; [22.6875 10.3125],0
b2,1,0.728826,0.120192,[ 9 15] ; [11 15],[ 9.6 14.4] ; [10.4 15.6],0
b3,1,0.728826,0.120192,[ 9 15] ; [11 15],[ 9.6 14.4] ; [10.4 15.6],0
u2,1,0.756495,0.096154,[1 1] ; [8 5],[1.2 0.8] ; [7.8 5.2],0
d5,1,0.830087,0.046049,[25  5] ; [26  6],[24.67741935  5.32258065] ; [26.32258065  5.67741935],0
v2,1,0.832937,0.044494,[17 12] ; [19 12],[17.4 11.6] ; [18.6 12.4],0
a7,1,0.846377,0.037537,[19 12] ; [21 12],[19.375 11.625] ; [20.625 12.375],0
d3,1,0.850508,0.035521,[19 11] ; [21 11],[19.35483871 10.64516129] ; [20.64516129 11.35483871],0
s5,1,0.877874,0.023613,[12 18] ; [13 18],[12.29508197 17.70491803] ; [12.70491803 18.29508197],0
n4,1,0.894407,0.017617,[23  8] ; [24  9],[22.765625  8.234375] ; [24.234375  8.765625],0
n1,1,0.915759,0.011189,[7 4] ; [8 5],[6.875 4.125] ; [8.125 4.875],0
