Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,7e-06,20.092794,[20 35] ; [24  3],[29.51219512 25.48780488] ; [14.48780488 12.51219512],1
d2,1,4.6e-05,16.603509,[12 45] ; [18  9],[20.35714286 36.64285714] ; [ 9.64285714 17.35714286],1
a5,1,0.000136,14.555774,[17 40] ; [20  7],[25.10714286 31.89285714] ; [11.89285714 15.10714286],1
a3,1,0.000597,11.786542,[19 37] ; [20  7],[26.31325301 29.68674699] ; [12.68674699 14.31325301],1
a4,1,0.000999,10.828894,[ 7 50] ; [12 15],[12.89285714 44.10714286] ; [ 6.10714286 20.89285714],1
s6,1,0.004936,7.90273,[19 37] ; [18  9],[24.96385542 31.03614458] ; [12.03614458 14.96385542],0
u3,1,0.033919,4.498796,[16 22] ; [6 1],[18.57777778 19.42222222] ; [3.42222222 3.57777778],0
a7,1,0.037461,4.329321,[28 28] ; [20  7],[32.38554217 23.61445783] ; [15.61445783 11.38554217],0
v2,1,0.04478,4.02691,[12 45] ; [11 15],[15.79518072 41.20481928] ; [ 7.20481928 18.79518072],0
s7,1,0.056828,3.627625,[12 45] ; [10 14],[15.48148148 41.51851852] ; [ 6.51851852 17.48148148],0
r3,1,0.061503,3.496388,[43 14] ; [25  2],[46.14285714 10.85714286] ; [21.85714286  5.14285714],0
p3,1,0.073564,3.201642,[15 42] ; [12 14],[18.54216867 38.45783133] ; [ 8.45783133 17.54216867],0
v3,1,0.119992,2.417422,[ 6 50] ; [ 6 19],[ 8.2962963 47.7037037] ; [ 3.7037037 21.2962963],0
s5,1,0.131201,2.278231,[12 44] ; [10 17],[14.84337349 41.15662651] ; [ 7.15662651 19.84337349],0
b4,1,0.131366,2.276286,[28 29] ; [18  9],[31.21428571 25.78571429] ; [14.78571429 12.21428571],0
s2,1,0.143771,2.137131,[20 37] ; [14 13],[23.07142857 33.92857143] ; [10.92857143 16.07142857],0
p1,1,0.146337,2.110021,[ 3 53] ; [ 4 23],[ 4.72289157 51.27710843] ; [ 2.27710843 24.72289157],0
n5,1,0.151241,2.05969,[24 33] ; [ 7 20],[21.03571429 35.96428571] ; [ 9.96428571 17.03571429],0
n3,1,0.156646,2.00631,[14  8] ; [6 9],[11.89189189 10.10810811] ; [8.10810811 6.89189189],0
p7,1,0.157014,2.002747,[29 25] ; [10 17],[26. 28.] ; [13. 14.],0
p2,1,0.157891,1.994307,[38 18] ; [14 13],[35.08433735 20.91566265] ; [16.91566265 10.08433735],0
s8,1,0.158396,1.989474,[11 46] ; [ 9 18],[13.57142857 43.42857143] ; [ 6.42857143 20.57142857],0
a6,1,0.187273,1.738942,[25 32] ; [16 11],[27.82142857 29.17857143] ; [13.17857143 13.82142857],0
u1,1,0.192276,1.700094,[ 1 56] ; [ 2 25],[ 2.03571429 54.96428571] ; [ 0.96428571 26.03571429],0
v1,1,0.199084,1.649085,[15 41] ; [11 16],[17.54216867 38.45783133] ; [ 8.45783133 18.54216867],0
s4,1,0.237181,1.397271,[14 43] ; [10 17],[16.28571429 40.71428571] ; [ 7.71428571 19.28571429],0
p4,1,0.252352,1.310233,[20 37] ; [13 14],[22.39285714 34.60714286] ; [10.60714286 16.39285714],0
b3,1,0.285935,1.138664,[ 7 19] ; [ 8 11],[ 8.66666667 17.33333333] ; [ 6.33333333 12.66666667],0
b2,1,0.285935,1.138664,[ 7 19] ; [ 8 11],[ 8.66666667 17.33333333] ; [ 6.33333333 12.66666667],0
s1,1,0.433273,0.614035,[ 2 55] ; [ 2 25],[ 2.71428571 54.28571429] ; [ 1.28571429 25.71428571],0
n6,1,0.442013,0.59105,[33 24] ; [18  9],[34.60714286 22.39285714] ; [16.39285714 10.60714286],0
p9,1,0.500844,0.453147,[38 17] ; [16 10],[36.66666667 18.33333333] ; [17.33333333  8.66666667],0
a1,1,0.548837,0.359405,[ 4 53] ; [ 1 26],[ 3.39285714 53.60714286] ; [ 1.60714286 25.39285714],0
p11,1,0.553617,0.350877,[32 25] ; [17 10],[33.25 23.75] ; [15.75 11.25],0
r2,1,0.56914,0.324124,[41 16] ; [21  6],[42.07142857 14.92857143] ; [19.92857143  7.07142857],0
b5,1,0.658513,0.195335,[33 24] ; [17 10],[33.92857143 23.07142857] ; [16.07142857 10.92857143],0
p8,1,0.68485,0.164717,[22 34] ; [ 9 17],[21.17073171 34.82926829] ; [ 9.82926829 16.17073171],0
b1,1,0.688453,0.160766,[28 29] ; [12 15],[27.14285714 29.85714286] ; [12.85714286 14.14285714],0
p5,1,0.729424,0.119641,[ 3 52] ; [ 1 26],[ 2.68292683 52.31707317] ; [ 1.31707317 25.68292683],0
n2,1,0.822818,0.050141,[14  8] ; [9 6],[13.67567568  8.32432432] ; [9.32432432 5.67567568],0
s3,1,0.850933,0.035317,[22 35] ; [11 16],[22.39285714 34.60714286] ; [10.60714286 16.39285714],0
n1,1,0.899895,0.015824,[ 6 15] ; [ 4 11],[ 5.83333333 15.16666667] ; [ 4.16666667 10.83333333],0
p10,1,0.925849,0.008662,[32 23] ; [16 11],[32.19512195 22.80487805] ; [15.80487805 11.19512195],0
u2,1,0.926721,0.008459,[17 21] ; [3 4],[16.88888889 21.11111111] ; [3.11111111 3.88888889],0
r4,1,0.933485,0.006966,[28 29] ; [13 14],[27.82142857 29.17857143] ; [13.17857143 13.82142857],0
v4,1,0.941519,0.005382,[46 10] ; [22  5],[45.87951807 10.12048193] ; [22.12048193  4.87951807],0
p6,1,0.953636,0.00338,[15 42] ; [ 7 19],[15.10843373 41.89156627] ; [ 6.89156627 19.10843373],0
