Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,24.101818,[61 26] ; [17 42],[46.47945205 40.52054795] ; [31.52054795 27.47945205],1
a6,1,2.9e-05,17.458505,[64 23] ; [23 36],[51.84246575 35.15753425] ; [35.15753425 23.84246575],1
d5,1,9e-05,15.325274,[73 14] ; [32 27],[62.56849315 24.43150685] ; [42.43150685 16.56849315],1
a2,1,0.000286,13.159085,[23 64] ; [ 2 57],[14.89726027 72.10273973] ; [10.10273973 48.89726027],1
d4,1,0.000302,13.058161,[72 15] ; [32 26],[62.4 24.6] ; [41.6 16.4],1
b5,1,0.000632,11.678922,[56 31] ; [21 38],[45.88356164 41.11643836] ; [31.11643836 27.88356164],1
d1,1,0.001048,10.740316,[49 38] ; [17 42],[39.32876712 47.67123288] ; [26.67123288 32.32876712],0
r3,1,0.001998,9.551012,[75 12] ; [38 21],[67.33561644 19.66438356] ; [45.66438356 13.33561644],0
r4,1,0.003409,8.574367,[66 21] ; [31 28],[57.80136986 29.19863014] ; [39.19863014 19.80136986],0
r1,1,0.00884,6.854783,[69 18] ; [35 24],[61.97260274 25.02739726] ; [42.02739726 16.97260274],0
v4,1,0.009433,6.738916,[74 13] ; [38 19],[67.66666667 19.33333333] ; [44.33333333 12.66666667],0
u1,1,0.010449,6.556652,[15 72] ; [ 2 57],[10.13013699 76.86986301] ; [ 6.86986301 52.13013699],0
p2,1,0.01668,5.729766,[50 37] ; [22 37],[42.90410959 44.09589041] ; [29.09589041 29.90410959],0
p4,1,0.028459,4.800016,[36 50] ; [14 44],[29.86111111 56.13888889] ; [20.13888889 37.86111111],0
s1,1,0.053032,3.742926,[ 4 83] ; [ 8 51],[ 7.15068493 79.84931507] ; [ 4.84931507 54.15068493],0
s6,1,0.053325,3.733711,[42 45] ; [19 40],[36.34931507 50.65068493] ; [24.65068493 34.34931507],0
a5,1,0.055255,3.674371,[58 29] ; [30 29],[52.43835616 34.56164384] ; [35.56164384 23.43835616],0
a3,1,0.062412,3.472113,[57 29] ; [30 29],[51.6 34.4] ; [35.4 23.6],0
r2,1,0.118975,2.430763,[77 10] ; [45 12],[73.70833333 13.29166667] ; [48.29166667  8.70833333],0
p8,1,0.126024,2.340805,[24 62] ; [10 49],[20.16551724 65.83448276] ; [13.83448276 45.16551724],0
v2,1,0.130267,2.289318,[36 49] ; [17 40],[31.72535211 53.27464789] ; [21.27464789 35.72535211],0
a8,1,0.146393,2.109435,[ 8 70] ; [ 2 54],[ 5.82089552 72.17910448] ; [ 4.17910448 51.82089552],0
p10,1,0.153413,2.03798,[25 61] ; [11 48],[21.35172414 64.64827586] ; [14.64827586 44.35172414],0
b4,1,0.208987,1.578433,[59 28] ; [34 25],[55.41780822 31.58219178] ; [37.58219178 21.41780822],0
u3,1,0.243308,1.361322,[18 12] ; [13 16],[15.76271186 14.23728814] ; [15.23728814 13.76271186],0
n4,1,0.292915,1.106174,[59 28] ; [35 24],[56.01369863 30.98630137] ; [37.98630137 21.01369863],0
n3,1,0.314637,1.011111,[19 13] ; [11 13],[17.14285714 14.85714286] ; [12.85714286 11.14285714],0
s2,1,0.319639,0.990423,[23 63] ; [20 38],[25.68055556 60.31944444] ; [17.31944444 40.68055556],0
s3,1,0.360615,0.835751,[32 54] ; [26 32],[34.63888889 51.36111111] ; [23.36111111 34.63888889],0
n6,1,0.361222,0.833642,[56 30] ; [34 25],[53.37931034 32.62068966] ; [36.62068966 22.37931034],0
s5,1,0.395664,0.721466,[13 74] ; [12 47],[14.89726027 72.10273973] ; [10.10273973 48.89726027],0
n1,1,0.450259,0.57,[12 20] ; [ 7 18],[10.66666667 21.33333333] ; [ 8.33333333 16.66666667],0
v3,1,0.519215,0.415452,[29 57] ; [16 40],[27.25352113 58.74647887] ; [17.74647887 38.25352113],0
b2,1,0.563584,0.333536,[12 39] ; [11 27],[13.17977528 37.82022472] ; [ 9.82022472 28.17977528],0
