Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,51.860039,[41 47] ; [279  55],[66.72985782 21.27014218] ; [253.27014218  80.72985782],1
a4,1,0.0,35.986679,[18 71] ; [187 147],[43.13238771 45.86761229] ; [161.86761229 172.13238771],1
d2,1,0.0,31.719206,[24 65] ; [202 132],[47.55082742 41.44917258] ; [178.44917258 155.55082742],1
d1,1,0.0,28.885346,[35 54] ; [235 100],[56.6745283 32.3254717] ; [213.3254717 121.6745283],1
u1,1,3e-06,21.575206,[ 4 85] ; [ 93 242],[20.36084906 68.63915094] ; [ 76.63915094 258.36084906],1
d4,1,3.1e-05,17.380707,[61 28] ; [291  43],[74.06146572 14.93853428] ; [277.93853428  56.06146572],1
a6,1,0.001333,10.296422,[49 40] ; [243  91],[61.43735225 27.56264775] ; [230.56264775 103.43735225],0
v2,1,0.001491,10.089229,[40 45] ; [214 111],[52.65853659 32.34146341] ; [201.34146341 123.65853659],0
r1,1,0.002657,9.029357,[67 21] ; [296  38],[75.69668246 12.30331754] ; [287.30331754  46.69668246],0
p10,1,0.003288,8.640188,[68 20] ; [298  36],[76.32227488 11.67772512] ; [289.67772512  44.32227488],0
r2,1,0.003747,8.402378,[84  5] ; [330   3],[87.31279621  1.68720379] ; [326.68720379   6.31279621],0
d3,1,0.004394,8.113296,[50 39] ; [241  94],[61.08254717 27.91745283] ; [229.91745283 105.08254717],0
b3,1,0.006327,7.454814,[13 39] ; [102 121],[21.74545455 30.25454545] ; [ 93.25454545 129.74545455],0
b2,1,0.006327,7.454814,[13 39] ; [102 121],[21.74545455 30.25454545] ; [ 93.25454545 129.74545455],0
s8,1,0.007704,7.100923,[36 53] ; [187 145],[47.14251781 41.85748219] ; [175.85748219 156.14251781],0
s5,1,0.009937,6.64615,[24 60] ; [142 180],[34.34482759 49.65517241] ; [131.65517241 190.34482759],0
p9,1,0.014164,6.017618,[72 16] ; [303  30],[78.3847981  9.6152019] ; [296.6152019  36.3847981],0
d5,1,0.019367,5.468096,[68 21] ; [289  45],[75.11347518 13.88652482] ; [281.88652482  52.11347518],0
p11,1,0.023327,5.143981,[66 23] ; [283  52],[73.25707547 15.74292453] ; [275.74292453  59.25707547],0
s7,1,0.030193,4.698268,[38 43] ; [191 126],[46.60552764 34.39447236] ; [182.39447236 134.60552764],0
s2,1,0.037278,4.337686,[39 49] ; [189 144],[47.65795724 40.34204276] ; [180.34204276 152.65795724],0
p1,1,0.069295,3.299632,[16 73] ; [ 36 296],[10.99287411 78.00712589] ; [ 41.00712589 290.99287411],0
v1,1,0.169755,1.885104,[47 39] ; [204 121],[52.52068127 33.47931873] ; [198.47931873 126.52068127],0
n4,1,0.194853,1.680541,[70 19] ; [282  52],[74.06146572 14.93853428] ; [277.93853428  56.06146572],0
p8,1,0.215275,1.535591,[54 35] ; [224 107],[58.90952381 30.09047619] ; [219.09047619 111.90952381],0
a1,1,0.221884,1.492142,[ 3 86] ; [ 23 312],[ 5.45754717 83.54245283] ; [ 20.54245283 314.45754717],0
p2,1,0.234991,1.410396,[75 14] ; [296  37],[78.24407583 10.75592417] ; [292.75592417  40.24407583],0
p12,1,0.265801,1.238287,[ 7 82] ; [ 40 292],[ 9.93586698 79.06413302] ; [ 37.06413302 294.93586698],0
p7,1,0.267216,1.230985,[64 24] ; [260  72],[67.88571429 20.11428571] ; [256.11428571  75.88571429],0
u4,1,0.274734,1.192956,[ 1 88] ; [ 11 324],[ 2.51886792 86.48113208] ; [  9.48113208 325.51886792],0
r3,1,0.349243,0.876207,[85  3] ; [329   6],[86.12765957  1.87234043] ; [327.87234043   7.12765957],0
b1,1,0.361389,0.833062,[34 55] ; [146 189],[37.78301887 51.21698113] ; [142.21698113 192.78301887],0
p4,1,0.363176,0.826881,[69 20] ; [274  61],[71.99764151 17.00235849] ; [271.00235849  63.99764151],0
s3,1,0.426741,0.631675,[49 39] ; [201 132],[52.25653207 35.74346793] ; [197.74346793 135.25653207],0
p6,1,0.469785,0.522483,[38 47] ; [163 169],[40.97122302 44.02877698] ; [160.02877698 171.97122302],0
a8,1,0.481665,0.495091,[ 9 73] ; [ 42 259],[10.91906005 71.08093995] ; [ 40.08093995 260.91906005],0
v3,1,0.498176,0.458819,[36 47] ; [154 170],[38.74692875 44.25307125] ; [151.25307125 172.74692875],0
a7,1,0.532302,0.389996,[67 21] ; [244  91],[64.69976359 23.30023641] ; [246.30023641  88.69976359],0
