Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,87.231803,[126   1] ; [52 60],[94.58577406 32.41422594] ; [83.41422594 28.58577406],1
d2,1,0.0,79.173608,[87 40] ; [13 99],[53.13807531 73.86192469] ; [46.86192469 65.13807531],1
d4,1,0.0,62.397213,[125   2] ; [64 49],[100.0125  26.9875] ; [88.9875 24.0125],1
d3,1,0.0,57.23064,[110  17] ; [44 67],[82.17647059 44.82352941] ; [71.82352941 39.17647059],1
a2,1,8e-06,19.951495,[36 91] ; [  7 106],[ 22.75416667 104.24583333] ; [20.24583333 92.75416667],1
r1,1,3.9e-05,16.910304,[103  24] ; [64 49],[88.37083333 38.62916667] ; [78.62916667 34.37083333],1
n4,1,0.000207,13.767998,[103  24] ; [67 46],[89.95833333 37.04166667] ; [80.04166667 32.95833333],1
a4,1,0.000221,13.646914,[67 60] ; [33 80],[52.91666667 74.08333333] ; [47.08333333 65.91666667],1
a5,1,0.000254,13.378859,[98 29] ; [62 51],[84.66666667 42.33333333] ; [75.33333333 37.66666667],1
r2,1,0.000416,12.457775,[120   4] ; [94 19],[111.96624473  12.03375527] ; [102.03375527  10.96624473],1
a3,1,0.000613,11.736492,[100  26] ; [66 46],[87.88235294 38.11764706] ; [78.11764706 33.88235294],1
a6,1,0.001895,9.648397,[95 32] ; [63 50],[83.60833333 43.39166667] ; [74.39166667 38.60833333],0
r4,1,0.001918,9.626107,[113  14] ; [83 30],[103.71666667  23.28333333] ; [92.28333333 20.71666667],0
u1,1,0.002586,9.079073,[ 21 106] ; [  5 108],[ 13.75833333 113.24166667] ; [ 12.24166667 100.75833333],0
v2,1,0.002938,8.845575,[77 46] ; [46 61],[65.77826087 57.22173913] ; [57.22173913 49.77826087],0
s8,1,0.003514,8.519372,[38 89] ; [16 97],[28.575 98.425] ; [25.425 87.575],0
n6,1,0.006317,7.457689,[109  18] ; [80 32],[100.43096234  26.56903766] ; [88.56903766 23.43096234],0
a7,1,0.008805,6.861938,[99 28] ; [70 42],[89.80334728 37.19665272] ; [79.19665272 32.80334728],0
b1,1,0.010139,6.610271,[38 89] ; [52 61],[47.625 79.375] ; [42.375 70.625],0
p7,1,0.01412,6.023065,[83 44] ; [54 55],[73.72457627 53.27542373] ; [63.27542373 45.72457627],0
v4,1,0.014606,5.963407,[122   5] ; [98 14],[116.90376569  10.09623431] ; [103.09623431   8.90376569],0
v3,1,0.014675,5.955041,[52 67] ; [31 79],[43.13100437 75.86899563] ; [39.86899563 70.13100437],0
p1,1,0.030293,4.692587,[  6 121] ; [14 98],[ 10.62761506 116.37238494] ; [  9.37238494 102.62761506],0
s4,1,0.031991,4.598983,[  6 121] ; [14 99],[ 10.58333333 116.41666667] ; [  9.41666667 103.58333333],0
p8,1,0.037614,4.322388,[71 54] ; [48 63],[63.02966102 61.97033898] ; [55.97033898 55.02966102],0
b5,1,0.040962,4.177585,[69 58] ; [76 37],[76.72916667 50.27083333] ; [68.27083333 44.72916667],0
r3,1,0.049666,3.852701,[121   6] ; [99 13],[116.90376569  10.09623431] ; [103.09623431   8.90376569],0
p4,1,0.057769,3.600316,[69 56] ; [48 64],[61.70886076 63.29113924] ; [55.29113924 56.70886076],0
p10,1,0.063509,3.443287,[113  13] ; [91 21],[108.  18.] ; [96. 16.],0
p6,1,0.086143,2.945006,[41 82] ; [26 86],[35.06808511 87.93191489] ; [31.93191489 80.06808511],0
b2,1,0.095968,2.771307,[37 39] ; [23 43],[32.11267606 43.88732394] ; [27.88732394 38.11267606],0
b3,1,0.095968,2.771307,[37 39] ; [23 43],[32.11267606 43.88732394] ; [27.88732394 38.11267606],0
s5,1,0.10842,2.577098,[ 20 103] ; [10 99],[ 15.90517241 107.09482759] ; [14.09482759 94.90517241],0
a1,1,0.138054,2.199513,[  3 124] ; [  7 106],[  5.29166667 121.70833333] ; [  4.70833333 108.29166667],0
v1,1,0.194926,1.679992,[65 61] ; [47 62],[60.05106383 65.94893617] ; [51.94893617 57.05106383],0
p11,1,0.205525,1.60267,[108  19] ; [89 24],[104.24583333  22.75416667] ; [92.75416667 20.24583333],0
a8,1,0.265669,1.238975,[ 11 103] ; [15 88],[ 13.65898618 100.34101382] ; [12.34101382 90.65898618],0
p12,1,0.319885,0.989418,[  5 121] ; [  2 110],[  3.70588235 122.29411765] ; [  3.29411765 108.70588235],0
p5,1,0.322275,0.979691,[ 11 115] ; [  6 105],[  9.03797468 116.96202532] ; [  7.96202532 103.03797468],0
