Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.001136,10.590923,[245 117] ; [ 5 12],[238.78627968 123.21372032] ; [11.21372032  5.78627968],0
p12,1,0.001177,10.526055,[ 11 349] ; [ 3 13],[ 13.40425532 346.59574468] ; [ 0.59574468 15.40425532],0
s5,1,0.001272,10.382287,[ 91 262] ; [10  6],[ 96.62059621 256.37940379] ; [ 4.37940379 11.62059621],0
v1,1,0.001955,9.591616,[162 191] ; [13  2],[167.86684783 185.13315217] ; [7.13315217 7.86684783],0
p1,1,0.003172,8.705592,[ 12 348] ; [ 3 14],[ 14.32360743 345.67639257] ; [ 0.67639257 16.32360743],0
p4,1,0.046778,3.953348,[145 214] ; [11  6],[148.94680851 210.05319149] ; [7.05319149 9.94680851],0
p8,1,0.072825,3.218166,[150 202] ; [11  6],[153.58265583 198.41734417] ; [7.41734417 9.58265583],0
v3,1,0.085573,2.955734,[105 248] ; [8 8],[108.100271 244.899729] ; [ 4.899729 11.100271],0
p10,1,0.097637,2.743727,[275  82] ; [16  1],[277.77272727  79.22727273] ; [13.22727273  3.77272727],0
p9,1,0.190104,1.716812,[290  65] ; [16  1],[292.01612903  62.98387097] ; [13.98387097  3.01612903],0
v4,1,0.200382,1.639584,[339  17] ; [15  2],[337.86595174  18.13404826] ; [16.13404826  0.86595174],0
n2,1,0.245227,1.350294,[81 26] ; [2 2],[80.00900901 26.99099099] ; [2.99099099 1.00900901],0
s6,1,0.267581,1.229105,[218 138] ; [12  4],[220.10752688 135.89247312] ; [9.89247312 6.10752688],0
s7,1,0.277627,1.178671,[139 211] ; [9 8],[141.14441417 208.85558583] ; [ 6.85558583 10.14441417],0
s2,1,0.293148,1.105107,[164 194] ; [10  7],[166.112 191.888] ; [7.888 9.112],0
p7,1,0.293822,1.102024,[194 156] ; [11  5],[196.03825137 153.96174863] ; [8.96174863 7.03825137],0
n4,1,0.294427,1.099267,[254 106] ; [14  3],[255.91511936 104.08488064] ; [12.08488064  4.91511936],0
s8,1,0.30588,1.04838,[126 235] ; [8 9],[127.97354497 233.02645503] ; [ 6.02645503 10.97354497],0
b1,1,0.333261,0.936186,[109 253] ; [ 7 10],[110.79683377 251.20316623] ; [ 5.20316623 11.79683377],0
b5,1,0.363361,0.826243,[231 131] ; [9 8],[229.2348285 132.7651715] ; [10.7651715  6.2348285],0
s1,1,0.409513,0.680215,[  9 343] ; [ 1 16],[  9.53929539 342.46070461] ; [ 0.46070461 16.53929539],0
p6,1,0.430782,0.620714,[ 95 262] ; [ 6 11],[ 96.40909091 260.59090909] ; [ 4.59090909 12.40909091],0
u1,1,0.434593,0.610516,[ 44 318] ; [ 1 16],[ 42.98153034 319.01846966] ; [ 2.01846966 14.98153034],0
n6,1,0.45477,0.558736,[290  68] ; [15  2],[291.17333333  66.82666667] ; [13.82666667  3.17333333],0
a2,1,0.497019,0.461295,[ 66 296] ; [ 2 15],[ 64.94986807 297.05013193] ; [ 3.05013193 13.94986807],0
a8,1,0.507805,0.438587,[ 49 279] ; [ 3 11],[ 49.87134503 278.12865497] ; [ 2.12865497 11.87134503],0
d5,1,0.521479,0.410967,[279  82] ; [12  5],[277.91269841  83.08730159] ; [13.08730159  3.91269841],0
n5,1,0.574679,0.314916,[251 107] ; [13  4],[252.032 105.968] ; [11.968  5.032],0
r2,1,0.597481,0.278811,[327  29] ; [15  2],[326.41286863  29.58713137] ; [15.58713137  1.41286863],0
b4,1,0.613135,0.255634,[214 148] ; [9 8],[212.99736148 149.00263852] ; [10.00263852  6.99736148],0
s4,1,0.642404,0.215612,[ 57 300] ; [ 2 15],[ 56.31818182 300.68181818] ; [ 2.68181818 14.31818182],0
d2,1,0.643072,0.214747,[149 211] ; [8 9],[149.9204244 210.0795756] ; [7.0795756 9.9204244],0
v2,1,0.665317,0.187129,[176 171] ; [9 7],[176.84573003 170.15426997] ; [8.15426997 7.84573003],0
b3,1,0.704927,0.143397,[ 64 128] ; [5 8],[ 64.62439024 127.37560976] ; [4.37560976 8.62439024],0
b2,1,0.704927,0.143397,[ 64 128] ; [5 8],[ 64.62439024 127.37560976] ; [4.37560976 8.62439024],0
a4,1,0.721808,0.126767,[143 218] ; [ 6 11],[142.2989418 218.7010582] ; [ 6.7010582 10.2989418],0
d3,1,0.734957,0.114609,[247 113] ; [11  6],[246.36604775 113.63395225] ; [11.63395225  5.36604775],0
d4,1,0.751306,0.100437,[285  75] ; [14  3],[285.51724138  74.48275862] ; [13.48275862  3.51724138],0
r4,1,0.764387,0.089835,[310  52] ; [15  2],[310.42216359  51.57783641] ; [14.57783641  2.42216359],0
n1,1,0.765518,0.088949,[34 72] ; [1 3],[33.72727273 72.27272727] ; [1.27272727 2.72727273],0
a7,1,0.843066,0.039193,[262  98] ; [12  5],[261.64456233  98.35543767] ; [12.35543767  4.64456233],0
p11,1,0.867965,0.027637,[283  79] ; [13  4],[282.72295515  79.27704485] ; [13.27704485  3.72295515],0
n3,1,0.872081,0.025926,[77 31] ; [3 1],[77.14285714 30.85714286] ; [2.85714286 1.14285714],0
r3,1,0.875287,0.024632,[340  18] ; [16  1],[339.86133333  18.13866667] ; [16.13866667  0.86133333],0
u2,1,0.877109,0.023912,[66 58] ; [3 3],[65.81538462 58.18461538] ; [3.18461538 2.81538462],0
r1,1,0.882324,0.021911,[280  79] ; [13  4],[279.75265957  79.24734043] ; [13.24734043  3.75265957],0
a5,1,0.892072,0.01841,[240 122] ; [11  6],[239.7414248 122.2585752] ; [11.2585752  5.7414248],0
d1,1,0.899912,0.015819,[186 176] ; [9 8],[186.25329815 175.74670185] ; [8.74670185 8.25329815],0
s3,1,0.943126,0.00509,[190 163] ; [9 8],[189.85675676 163.14324324] ; [9.14324324 7.85675676],0
a3,1,0.95489,0.0032,[236 125] ; [11  6],[235.89153439 125.10846561] ; [11.10846561  5.89153439],0
u3,1,0.969217,0.001489,[63 61] ; [3 3],[62.95384615 61.04615385] ; [3.04615385 2.95384615],0
