Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,43.086374,[23 12] ; [11 93],[ 8.56115108 26.43884892] ; [25.43884892 78.56115108],1
s6,1,8e-06,19.864926,[29  7] ; [42 69],[17.3877551 18.6122449] ; [53.6122449 57.3877551],1
s2,1,2.1e-05,18.060313,[24 12] ; [30 80],[13.31506849 22.68493151] ; [40.68493151 69.31506849],1
s3,1,4.2e-05,16.787037,[26 10] ; [37 74],[15.42857143 20.57142857] ; [47.57142857 63.42857143],1
p3,1,0.001905,9.639178,[17 19] ; [23 88],[ 9.79591837 26.20408163] ; [30.20408163 80.79591837],0
p2,1,0.00677,7.332883,[31  5] ; [68 42],[24.4109589 11.5890411] ; [74.5890411 35.4109589],0
p4,1,0.011583,6.37365,[21 15] ; [38 72],[14.54794521 21.45205479] ; [44.45205479 65.54794521],0
p7,1,0.014865,5.93242,[24 11] ; [48 59],[17.74647887 17.25352113] ; [54.25352113 52.74647887],0
p10,1,0.0341,4.489679,[27  9] ; [60 49],[21.6 14.4] ; [65.4 43.6],0
p8,1,0.036247,4.385428,[20 16] ; [39 70],[14.64827586 21.35172414] ; [44.35172414 64.64827586],0
p11,1,0.098988,2.721766,[26 10] ; [63 48],[21.79591837 14.20408163] ; [67.20408163 43.79591837],0
p1,1,0.141356,2.163139,[ 3 33] ; [  3 107],[ 1.47945205 34.52054795] ; [  4.52054795 105.47945205],0
p5,1,0.144912,2.125011,[ 3 33] ; [  3 106],[ 1.48965517 34.51034483] ; [  4.51034483 104.48965517],0
r4,1,0.147516,2.097753,[30  6] ; [79 32],[26.69387755  9.30612245] ; [82.30612245 28.69387755],0
a2,1,0.148773,2.084789,[ 5 31] ; [  7 104],[ 2.93877551 33.06122449] ; [  9.06122449 101.93877551],0
v4,1,0.150053,2.071709,[34  2] ; [93 16],[31.53103448  4.46896552] ; [95.46896552 13.53103448],0
r3,1,0.19449,1.68327,[34  2] ; [96 15],[31.83673469  4.16326531] ; [98.16326531 12.83673469],0
r2,1,0.199223,1.648061,[33  3] ; [92 19],[30.6122449  5.3877551] ; [94.3877551 16.6122449],0
n5,1,0.227196,1.458329,[14 22] ; [31 79],[11.09589041 24.90410959] ; [33.90410959 76.09589041],0
b1,1,0.231306,1.432813,[17 19] ; [40 71],[13.95918367 22.04081633] ; [43.04081633 67.95918367],0
u1,1,0.237418,1.395857,[ 4 32] ; [  6 105],[ 2.44897959 33.55102041] ; [  7.55102041 103.44897959],0
a8,1,0.256669,1.286635,[ 3 31] ; [ 4 99],[ 1.73722628 32.26277372] ; [ 5.26277372 97.73722628],0
d3,1,0.256716,1.286381,[20 16] ; [72 37],[22.84137931 13.15862069] ; [69.15862069 39.84137931],0
d4,1,0.262102,1.257621,[23 13] ; [81 29],[25.64383562 10.35616438] ; [78.35616438 31.64383562],0
p9,1,0.268471,1.224541,[26 10] ; [67 41],[23.25 12.75] ; [69.75 38.25],0
a6,1,0.293144,1.105126,[24 12] ; [63 48],[21.30612245 14.69387755] ; [65.69387755 45.30612245],0
p6,1,0.314693,1.010877,[10 26] ; [22 89],[ 7.83673469 28.16326531] ; [24.16326531 86.83673469],0
v2,1,0.323356,0.975322,[14 19] ; [35 71],[11.63309353 21.36690647] ; [37.36690647 68.63309353],0
a7,1,0.383464,0.759568,[27  9] ; [74 36],[24.90410959 11.09589041] ; [76.09589041 33.90410959],0
a3,1,0.410549,0.677211,[21 15] ; [56 55],[18.85714286 17.14285714] ; [58.14285714 52.85714286],0
u2,1,0.416659,0.65972,[9 6] ; [26 28],[7.60869565 7.39130435] ; [27.39130435 26.60869565],0
r1,1,0.418655,0.654087,[24 12] ; [65 45],[21.94520548 14.05479452] ; [67.05479452 42.94520548],0
s4,1,0.45805,0.550656,[11 25] ; [27 84],[ 9.30612245 26.69387755] ; [28.69387755 82.30612245],0
s5,1,0.514409,0.425088,[10 24] ; [26 83],[ 8.55944056 25.44055944] ; [27.44055944 81.55944056],0
u3,1,0.534989,0.384906,[9 6] ; [27 26],[7.94117647 7.05882353] ; [28.05882353 24.94117647],0
n3,1,0.606783,0.264887,[8 3] ; [31 17],[7.27118644 3.72881356] ; [31.72881356 16.27118644],0
b5,1,0.610264,0.259791,[20 16] ; [67 44],[21.30612245 14.69387755] ; [65.69387755 45.30612245],0
d5,1,0.634123,0.22651,[23 13] ; [75 35],[24.16438356 11.83561644] ; [73.83561644 36.16438356],0
p12,1,0.71893,0.12952,[ 1 35] ; [  2 109],[ 0.73469388 35.26530612] ; [  2.26530612 108.73469388],0
n2,1,0.746738,0.104293,[7 4] ; [28 20],[6.52542373 4.47457627] ; [28.47457627 19.52542373],0
b4,1,0.746958,0.104105,[19 17] ; [62 49],[19.83673469 16.16326531] ; [61.16326531 49.83673469],0
b2,1,0.788701,0.071823,[ 4 15] ; [13 41],[ 4.42465753 14.57534247] ; [12.57534247 41.42465753],0
b3,1,0.788701,0.071823,[ 4 15] ; [13 41],[ 4.42465753 14.57534247] ; [12.57534247 41.42465753],0
n6,1,0.833424,0.044231,[22 14] ; [70 41],[22.53061224 13.46938776] ; [69.46938776 41.53061224],0
a4,1,0.881926,0.022061,[ 8 28] ; [26 85],[ 8.32653061 27.67346939] ; [25.67346939 85.32653061],0
v3,1,0.911255,0.012422,[ 6 28] ; [18 89],[ 5.78723404 28.21276596] ; [18.21276596 88.78723404],0
n1,1,0.92757,0.008263,[3 7] ; [14 35],[2.88135593 7.11864407] ; [14.11864407 34.88135593],0
a5,1,0.968718,0.001538,[17 19] ; [52 59],[16.89795918 19.10204082] ; [52.10204082 58.89795918],0
d1,1,0.980986,0.000568,[15 21] ; [46 65],[14.93877551 21.06122449] ; [46.06122449 64.93877551],0
d2,1,1.0,0.0,[12 24] ; [37 74],[12. 24.] ; [37. 74.],0
