Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,4.9e-05,16.47571,[2 3] ; [ 1 63],[0.2173913 4.7826087] ; [ 2.7826087 61.2173913],1
a1,1,0.002302,9.291351,[2 4] ; [ 2 62],[0.34285714 5.65714286] ; [ 3.65714286 60.34285714],0
s8,1,0.00418,8.203815,[5 1] ; [17 47],[1.88571429 4.11428571] ; [20.11428571 43.88571429],0
p3,1,0.007525,7.143133,[4 2] ; [12 52],[1.37142857 4.62857143] ; [14.62857143 49.37142857],0
b2,1,0.01128,6.420675,[5 1] ; [15 34],[2.18181818 3.81818182] ; [17.81818182 31.18181818],0
b3,1,0.01128,6.420675,[5 1] ; [15 34],[2.18181818 3.81818182] ; [17.81818182 31.18181818],0
s7,1,0.017284,5.667336,[5 1] ; [21 41],[2.29411765 3.70588235] ; [23.70588235 38.29411765],0
p4,1,0.018486,5.549454,[5 1] ; [22 42],[2.31428571 3.68571429] ; [24.68571429 39.31428571],0
a8,1,0.021544,5.28227,[2 1] ; [ 8 46],[0.52631579 2.47368421] ; [ 9.47368421 44.52631579],0
a2,1,0.025526,4.987877,[3 3] ; [ 9 55],[1.02857143 4.97142857] ; [10.97142857 53.02857143],0
p8,1,0.043534,4.074546,[4 2] ; [17 46],[1.82608696 4.17391304] ; [19.17391304 43.82608696],0
p7,1,0.057467,3.609013,[5 1] ; [27 36],[2.7826087 3.2173913] ; [29.2173913 33.7826087],0
s2,1,0.059894,3.540312,[4 2] ; [18 44],[1.94117647 4.05882353] ; [20.05882353 41.94117647],0
s3,1,0.062278,3.475657,[5 1] ; [27 35],[2.82352941 3.17647059] ; [29.17647059 32.82352941],0
d1,1,0.101986,2.674207,[5 1] ; [31 33],[3.08571429 2.91428571] ; [32.91428571 31.08571429],0
p12,1,0.121498,2.397908,[1 5] ; [ 2 61],[0.26086957 5.73913043] ; [ 2.73913043 60.26086957],0
p6,1,0.131341,2.276584,[3 3] ; [14 49],[1.47826087 4.52173913] ; [15.52173913 47.47826087],0
d2,1,0.187785,1.734914,[5 1] ; [35 28],[3.47826087 2.52173913] ; [36.52173913 26.47826087],0
a4,1,0.2484,1.332282,[4 2] ; [27 37],[2.65714286 3.34285714] ; [28.34285714 35.65714286],0
u1,1,0.330828,0.945653,[2 4] ; [11 53],[1.11428571 4.88571429] ; [11.88571429 52.11428571],0
n4,1,0.415303,0.663569,[5 1] ; [43 21],[4.11428571 1.88571429] ; [43.88571429 20.11428571],0
s5,1,0.537755,0.379717,[2 4] ; [14 49],[1.39130435 4.60869565] ; [14.60869565 48.39130435],0
d5,1,0.546179,0.364207,[5 1] ; [46 18],[4.37142857 1.62857143] ; [46.62857143 17.37142857],0
r1,1,0.648989,0.207177,[5 1] ; [48 16],[4.54285714 1.45714286] ; [48.45714286 15.54285714],0
b5,1,0.673763,0.177232,[4 2] ; [37 27],[3.51428571 2.48571429] ; [37.48571429 26.51428571],0
a6,1,0.898708,0.016204,[4 2] ; [41 23],[3.85714286 2.14285714] ; [41.14285714 22.85714286],0
b4,1,0.97928,0.000675,[4 2] ; [43 21],[4.02857143 1.97142857] ; [42.97142857 21.02857143],0
a7,1,1.0,0.0,[4 2] ; [42 21],[4. 2.] ; [42. 21.],0
