Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,4.2e-05,16.789353,[22 23] ; [107  26],[32.61235955 12.38764045] ; [96.38764045 36.61235955],1
p8,1,9.8e-05,15.17424,[ 9 37] ; [71 64],[20.33149171 25.66850829] ; [59.66850829 75.33149171],1
p4,1,0.000502,12.109541,[11 33] ; [75 61],[21.02222222 22.97777778] ; [64.97777778 71.02222222],1
p10,1,0.000704,11.478422,[23 22] ; [104  30],[31.9273743 13.0726257] ; [95.0726257 38.9273743],1
r3,1,0.000726,11.422082,[38  8] ; [130   4],[42.93333333  3.06666667] ; [125.06666667   8.93333333],1
s1,1,0.002008,9.542525,[ 7 37] ; [  4 130],[ 2.71910112 41.28089888] ; [  8.28089888 125.71910112],0
v4,1,0.002525,9.122383,[39  7] ; [132   4],[43.21978022  2.78021978] ; [127.78021978   8.21978022],0
s5,1,0.006,7.550422,[ 4 37] ; [42 92],[10.77714286 30.22285714] ; [35.22285714 98.77714286],0
p6,1,0.007858,7.065564,[ 7 38] ; [49 84],[14.15730337 30.84269663] ; [41.84269663 91.15730337],0
a6,1,0.011354,6.409009,[18 28] ; [83 54],[25.38797814 20.61202186] ; [75.61202186 61.38797814],0
n5,1,0.015309,5.880545,[24 21] ; [99 37],[30.5801105 14.4198895] ; [92.4198895 43.5801105],0
a7,1,0.016657,5.732157,[25 21] ; [99 36],[31.51381215 14.48618785] ; [92.48618785 42.51381215],0
p7,1,0.020016,5.410535,[18 24] ; [84 49],[24.48 17.52] ; [77.52 55.48],0
d3,1,0.026294,4.936604,[21 25] ; [88 49],[27.3989071 18.6010929] ; [81.6010929 55.3989071],0
s8,1,0.029612,4.731688,[10 36] ; [54 83],[16.08743169 29.91256831] ; [47.91256831 89.08743169],0
n6,1,0.039342,4.24605,[30 16] ; [109  27],[35.13186813 10.86813187] ; [103.86813187  32.13186813],0
s7,1,0.041894,4.139497,[11 31] ; [57 73],[16.60465116 25.39534884] ; [51.39534884 78.60465116],0
s6,1,0.049461,3.859649,[23 22] ; [91 44],[28.5 16.5] ; [85.5 49.5],0
p1,1,0.053324,3.733742,[ 1 45] ; [ 16 120],[ 4.2967033 41.7032967] ; [ 12.7032967 123.2967033],0
d5,1,0.054441,3.699133,[27 19] ; [101  36],[32.17486339 13.82513661] ; [95.82513661 41.17486339],0
p3,1,0.060232,3.53099,[12 34] ; [57 80],[17.3442623 28.6557377] ; [51.6557377 85.3442623],0
p5,1,0.062779,3.462411,[ 1 43] ; [ 16 121],[ 4.13259669 39.86740331] ; [ 12.86740331 124.13259669],0
p11,1,0.078864,3.088169,[28 18] ; [102  35],[32.67759563 13.32240437] ; [97.32240437 39.67759563],0
b1,1,0.08355,2.994461,[22 24] ; [46 91],[17.09289617 28.90710383] ; [50.90710383 86.09289617],0
v1,1,0.107654,2.588325,[16 30] ; [64 68],[20.6741573 25.3258427] ; [59.3258427 72.6741573],0
r4,1,0.109445,2.562222,[39  7] ; [127  10],[41.72677596  4.27322404] ; [124.27322404  12.72677596],0
n4,1,0.125479,2.347566,[25 21] ; [91 45],[29.31868132 16.68131868] ; [86.68131868 49.31868132],0
s3,1,0.151943,2.052632,[22 22] ; [84 51],[26.05586592 17.94413408] ; [79.94413408 55.05586592],0
u2,1,0.164135,1.935712,[19  8] ; [35 29],[16.02197802 10.97802198] ; [37.97802198 26.02197802],0
d4,1,0.19439,1.684027,[31 15] ; [104  31],[34.30939227 11.69060773] ; [100.69060773  34.30939227],0
v3,1,0.203004,1.620628,[11 32] ; [47 83],[14.41618497 28.58381503] ; [43.58381503 86.41618497],0
a3,1,0.245609,1.348111,[19 26] ; [71 65],[22.37569061 22.62430939] ; [67.62430939 68.37569061],0
a4,1,0.311201,1.02557,[ 7 38] ; [ 31 106],[ 9.3956044 35.6043956] ; [ 28.6043956 108.3956044],0
r2,1,0.355975,0.852043,[41  4] ; [130   7],[42.28021978  2.71978022] ; [128.71978022   8.28021978],0
b5,1,0.366442,0.815696,[30 16] ; [79 58],[27.3989071 18.6010929] ; [81.6010929 55.3989071],0
n2,1,0.369091,0.806723,[10  6] ; [24  8],[11.33333333  4.66666667] ; [22.66666667  9.33333333],0
s2,1,0.412199,0.672449,[19 26] ; [67 69],[21.38121547 23.61878453] ; [64.61878453 71.38121547],0
u4,1,0.415055,0.664273,[ 1 45] ; [  1 136],[ 0.50273224 45.49726776] ; [  1.49726776 135.50273224],0
u3,1,0.421239,0.646857,[19  8] ; [40 25],[17.31521739  9.68478261] ; [41.68478261 23.31521739],0
d2,1,0.503814,0.446894,[12 34] ; [ 29 107],[10.36263736 35.63736264] ; [ 30.63736264 105.36263736],0
p12,1,0.509058,0.436003,[ 1 44] ; [  6 130],[ 1.74033149 43.25966851] ; [  5.25966851 130.74033149],0
v2,1,0.51868,0.416518,[19 25] ; [62 65],[20.84210526 23.15789474] ; [60.15789474 66.84210526],0
d1,1,0.575837,0.313013,[16 30] ; [54 83],[17.59562842 28.40437158] ; [52.40437158 84.59562842],0
b2,1,0.592599,0.286304,[ 4 18] ; [17 55],[ 4.91489362 17.08510638] ; [16.08510638 55.91489362],0
b3,1,0.592599,0.286304,[ 4 18] ; [17 55],[ 4.91489362 17.08510638] ; [16.08510638 55.91489362],0
n3,1,0.61441,0.253802,[10  6] ; [23 10],[10.7755102  5.2244898] ; [22.2244898 10.7755102],0
a8,1,0.717262,0.131131,[ 5 39] ; [ 17 109],[ 5.69411765 38.30588235] ; [ 16.30588235 109.69411765],0
s4,1,0.759841,0.093446,[ 7 39] ; [ 23 111],[ 7.66666667 38.33333333] ; [ 22.33333333 111.66666667],0
n1,1,0.771102,0.084643,[7 9] ; [13 20],[6.53061224 9.46938776] ; [13.46938776 19.53061224],0
b4,1,0.959228,0.002613,[27 19] ; [81 56],[27.14754098 18.85245902] ; [80.85245902 56.14754098],0
