Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,3.6e-05,17.051051,[23 43] ; [168  99],[37.85585586 28.14414414] ; [153.14414414 113.85585586],1
p7,1,0.000594,11.793699,[34 31] ; [195  68],[45.38109756 19.61890244] ; [183.61890244  79.38109756],1
p10,1,0.001071,10.701308,[49 15] ; [247  24],[56.54925373  7.45074627] ; [239.45074627  31.54925373],0
p9,1,0.002591,9.07489,[53 12] ; [254  18],[59.21364985  5.78635015] ; [247.78635015  24.21364985],0
b1,1,0.004777,7.962094,[38 28] ; [105 168],[27.84070796 38.15929204] ; [115.15929204 157.84070796],0
p1,1,0.023821,5.107611,[12 53] ; [ 24 248],[ 6.94362018 58.05637982] ; [ 29.05637982 242.94362018],0
a5,1,0.044826,4.02518,[46 20] ; [221  52],[51.98230088 14.01769912] ; [215.01769912  57.98230088],0
s3,1,0.06412,3.427468,[47 19] ; [220  50],[52.44642857 13.55357143] ; [214.55357143  55.44642857],0
s5,1,0.075206,3.165584,[37 27] ; [119 143],[30.62576687 33.37423313] ; [125.37423313 136.62576687],0
n5,1,0.076578,3.136076,[47 18] ; [224  49],[52.11538462 12.88461538] ; [218.88461538  54.11538462],0
r1,1,0.092546,2.829517,[60  5] ; [229  43],[55.74183976  9.25816024] ; [233.25816024  38.74183976],0
p3,1,0.0979,2.739418,[32 34] ; [163 110],[37.96460177 28.03539823] ; [157.03539823 115.96460177],0
p12,1,0.103717,2.647435,[ 4 62] ; [ 36 235],[ 7.83382789 58.16617211] ; [ 32.16617211 238.83382789],0
n4,1,0.111233,2.536613,[48 16] ; [228  45],[52.41543027 11.58456973] ; [223.58456973  49.41543027],0
p4,1,0.148396,2.088663,[40 26] ; [190  82],[44.9112426 21.0887574] ; [185.0887574  86.9112426],0
b3,1,0.169442,1.887875,[12 27] ; [ 81 109],[15.83842795 23.16157205] ; [ 77.16157205 112.83842795],0
b2,1,0.169442,1.887875,[12 27] ; [ 81 109],[15.83842795 23.16157205] ; [ 77.16157205 112.83842795],0
u3,1,0.243612,1.359571,[14  3] ; [40 19],[12.07894737  4.92105263] ; [41.92105263 17.07894737],0
d5,1,0.260303,1.267143,[60  6] ; [233  39],[57.21301775  8.78698225] ; [235.78698225  36.21301775],0
r3,1,0.287032,1.133489,[63  3] ; [267   6],[64.24778761  1.75221239] ; [265.75221239   7.24778761],0
p6,1,0.303783,1.057513,[27 39] ; [129 140],[30.73432836 35.26567164] ; [125.26567164 143.73432836],0
p2,1,0.317144,1.000689,[53 13] ; [232  40],[55.65088757 10.34911243] ; [229.34911243  42.65088757],0
p5,1,0.329678,0.95016,[ 8 58] ; [ 46 224],[10.60714286 55.39285714] ; [ 43.39285714 226.60714286],0
s2,1,0.343475,0.897419,[54 12] ; [207  64],[51.115727 14.884273] ; [209.884273  61.115727],0
v1,1,0.360964,0.834537,[37 28] ; [164  96],[40.2 24.8] ; [160.8  99.2],0
d4,1,0.387338,0.747283,[54 12] ; [234  38],[56.23668639  9.76331361] ; [231.76331361  40.23668639],0
n6,1,0.39481,0.724077,[54 10] ; [241  32],[56.02373887  7.97626113] ; [238.97626113  34.02373887],0
u1,1,0.433456,0.613546,[18 48] ; [ 62 211],[15.57522124 50.42477876] ; [ 64.42477876 208.57522124],0
d2,1,0.436392,0.605752,[40 26] ; [151 122],[37.18584071 28.81415929] ; [153.81415929 119.18584071],0
a3,1,0.436752,0.604802,[49 17] ; [214  58],[51.35502959 14.64497041] ; [211.64497041  60.35502959],0
s4,1,0.480705,0.497263,[16 50] ; [ 55 216],[13.90504451 52.09495549] ; [ 57.09495549 213.90504451],0
a6,1,0.49686,0.461636,[42 24] ; [185  87],[44.32544379 21.67455621] ; [182.67455621  89.32544379],0
v4,1,0.518578,0.416721,[65  1] ; [264   8],[64.24260355  1.75739645] ; [264.75739645   7.24260355],0
a7,1,0.528878,0.396547,[48 18] ; [187  85],[45.88757396 20.11242604] ; [189.11242604  82.88757396],0
u2,1,0.594907,0.282746,[10  6] ; [41 18],[10.88  5.12] ; [40.12 18.88],0
r2,1,0.599183,0.276229,[64  2] ; [256  12],[63.23353293  2.76646707] ; [256.76646707  11.23353293],0
d3,1,0.602246,0.271622,[44 22] ; [191  82],[45.75221239 20.24778761] ; [189.24778761  83.75221239],0
