Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2e-06,22.664875,[10  2] ; [ 9 48],[3.30434783 8.69565217] ; [15.69565217 41.30434783],1
s6,1,2e-06,22.243421,[11  1] ; [12 45],[4. 8.] ; [19. 38.],1
p6,1,0.000528,12.013725,[6 6] ; [ 5 50],[ 1.97014925 10.02985075] ; [ 9.02985075 45.97014925],1
r4,1,0.000905,11.011783,[10  2] ; [18 39],[4.86956522 7.13043478] ; [23.13043478 33.86956522],1
s8,1,0.002389,9.223612,[6 6] ; [ 7 50],[2.26086957 9.73913043] ; [10.73913043 46.26086957],0
s3,1,0.00311,8.741545,[8 4] ; [13 43],[3.70588235 8.29411765] ; [17.29411765 38.70588235],0
s7,1,0.003482,8.535967,[6 5] ; [ 8 46],[2.36923077 8.63076923] ; [11.63076923 42.36923077],0
s4,1,0.007399,7.173507,[5 7] ; [ 6 51],[ 1.91304348 10.08695652] ; [ 9.08695652 47.91304348],0
p1,1,0.014647,5.958391,[5 7] ; [ 7 50],[2.08695652 9.91304348] ; [ 9.91304348 47.08695652],0
d4,1,0.034298,4.479788,[11  1] ; [34 23],[7.82608696 4.17391304] ; [37.17391304 19.82608696],0
v4,1,0.063446,3.444939,[10  2] ; [31 26],[7.13043478 4.86956522] ; [33.86956522 23.13043478],0
p3,1,0.071056,3.258461,[5 7] ; [10 46],[2.64705882 9.35294118] ; [12.35294118 43.64705882],0
p9,1,0.085883,2.949905,[8 3] ; [23 29],[5.41269841 5.58730159] ; [25.58730159 26.41269841],0
n6,1,0.090222,2.870399,[10  2] ; [32 24],[7.41176471 4.58823529] ; [34.58823529 21.41176471],0
p11,1,0.095774,2.774551,[8 4] ; [23 34],[5.39130435 6.60869565] ; [25.60869565 31.39130435],0
n4,1,0.095774,2.774551,[4 8] ; [34 23],[6.60869565 5.39130435] ; [31.39130435 25.60869565],0
r3,1,0.120813,2.406746,[10  2] ; [34 23],[7.65217391 4.34782609] ; [36.34782609 20.65217391],0
p4,1,0.176288,1.828646,[5 7] ; [13 44],[3.13043478 8.86956522] ; [14.86956522 42.13043478],0
n3,1,0.191071,1.709342,[1 4] ; [12 11],[2.32142857 2.67857143] ; [10.67857143 12.32142857],0
d1,1,0.208056,1.584902,[7 5] ; [22 35],[5.04347826 6.95652174] ; [23.95652174 33.04347826],0
r2,1,0.212836,1.552028,[10  2] ; [35 19],[8.18181818 3.81818182] ; [36.81818182 17.18181818],0
p12,1,0.216947,1.52445,[ 1 11] ; [ 1 56],[ 0.34782609 11.65217391] ; [ 1.65217391 55.34782609],0
a4,1,0.240123,1.37987,[6 6] ; [18 38],[4.23529412 7.76470588] ; [19.76470588 36.23529412],0
p10,1,0.245503,1.348714,[7 5] ; [22 33],[5.19402985 6.80597015] ; [23.80597015 31.19402985],0
d5,1,0.269806,1.217732,[9 3] ; [33 24],[7.30434783 4.69565217] ; [34.69565217 22.30434783],0
n5,1,0.274963,1.191818,[6 6] ; [38 19],[7.65217391 4.34782609] ; [36.34782609 20.65217391],0
