Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,68.839024,[483   7] ; [9 5],[478.33333333  11.66666667] ; [13.66666667  0.33333333],1
v4,1,0.0,53.685944,[482  10] ; [9 5],[477.41501976  14.58498024] ; [13.58498024  0.41501976],1
r3,1,0.0,53.566899,[481   9] ; [10  5],[476.41584158  13.58415842] ; [14.58415842  0.41584158],1
p8,1,0.003398,8.580437,[269 213] ; [ 3 13],[263.26104418 218.73895582] ; [8.73895582 7.26104418],0
p4,1,0.00343,8.56339,[325 163] ; [ 5 11],[319.52380952 168.47619048] ; [10.47619048  5.52380952],0
u3,1,0.007241,7.212103,[87 36] ; [2 6],[83.5648855 39.4351145] ; [5.4351145 2.5648855],0
p3,1,0.010083,6.620258,[263 227] ; [ 3 12],[258.0990099 231.9009901] ; [7.9009901 7.0990099],0
n2,1,0.018189,5.577843,[77 20] ; [4 5],[74.12264151 22.87735849] ; [6.87735849 2.12264151],0
n6,1,0.018578,5.540784,[427  61] ; [10  5],[423.96819085  64.03180915] ; [13.03180915  1.96819085],0
a7,1,0.019572,5.4497,[371 119] ; [8 8],[367.01581028 122.98418972] ; [11.98418972  4.01581028],0
a3,1,0.024116,5.086278,[367 122] ; [8 8],[363.11881188 125.88118812] ; [11.88118812  4.11881188],0
s8,1,0.032813,4.555498,[284 205] ; [ 5 11],[279.84356436 209.15643564] ; [9.15643564 6.84356436],0
n3,1,0.0404,4.200994,[73 23] ; [4 5],[70.4 25.6] ; [6.6 2.4],0
a2,1,0.044817,4.025505,[144 348] ; [ 1 15],[140.43307087 351.56692913] ; [ 4.56692913 11.43307087],0
s2,1,0.052836,3.7491,[327 161] ; [7 9],[323.3968254 164.6031746] ; [10.6031746  5.3968254],0
p6,1,0.069503,3.294716,[200 283] ; [ 3 13],[196.49098196 286.50901804] ; [6.50901804 9.49098196],0
a6,1,0.093957,2.805235,[340 148] ; [8 8],[336.95238095 151.04761905] ; [11.04761905  4.95238095],0
b5,1,0.100778,2.69318,[300 192] ; [13  3],[303.14173228 188.85826772] ; [9.85826772 6.14173228],0
s7,1,0.11089,2.54149,[299 173] ; [7 9],[295.96721311 176.03278689] ; [10.03278689  5.96721311],0
a5,1,0.143783,2.136996,[383 108] ; [10  6],[380.59763314 110.40236686] ; [12.40236686  3.59763314],0
p11,1,0.148885,2.083637,[383 109] ; [10  6],[380.62204724 111.37795276] ; [12.37795276  3.62204724],0
v3,1,0.158326,1.99014,[202 271] ; [ 4 12],[199.2597137 273.7402863] ; [6.7402863 9.2597137],0
b3,1,0.163346,1.942972,[115 180] ; [2 9],[112.79411765 182.20588235] ; [4.20588235 6.79411765],0
b2,1,0.163346,1.942972,[115 180] ; [2 9],[112.79411765 182.20588235] ; [4.20588235 6.79411765],0
p7,1,0.173577,1.851776,[320 155] ; [7 7],[317.63803681 157.36196319] ; [9.36196319 4.63803681],0
b4,1,0.19797,1.65729,[290 202] ; [12  4],[292.48818898 199.51181102] ; [9.51181102 6.48818898],0
n5,1,0.233371,1.420197,[389 101] ; [10  5],[387.14851485 102.85148515] ; [11.85148515  3.14851485],0
n1,1,0.254891,1.296296,[40 56] ; [2 7],[38.4 57.6] ; [3.6 5.4],0
a8,1,0.281134,1.161599,[ 72 370] ; [ 1 15],[ 70.44978166 371.55021834] ; [ 2.55021834 13.44978166],0
d1,1,0.281945,1.157691,[311 181] ; [8 8],[308.95275591 183.04724409] ; [10.04724409  5.95275591],0
d4,1,0.28443,1.1458,[414  74] ; [12  4],[412.47619048  75.52380952] ; [13.52380952  2.47619048],0
u1,1,0.287207,1.132668,[118 374] ; [ 2 14],[116.22047244 375.77952756] ; [ 3.77952756 12.22047244],0
p9,1,0.433446,0.613573,[425  59] ; [13  3],[423.984  60.016] ; [14.016  1.984],0
p5,1,0.456083,0.55549,[ 65 423] ; [ 3 12],[ 65.972167 422.027833] ; [ 2.027833 12.972167],0
d2,1,0.539904,0.375718,[252 237] ; [7 9],[250.79405941 238.20594059] ; [8.20594059 7.79405941],0
p12,1,0.571871,0.319562,[ 52 436] ; [ 1 15],[ 51.31746032 436.68253968] ; [ 1.68253968 14.31746032],0
b1,1,0.583236,0.301033,[187 305] ; [ 5 11],[185.95275591 306.04724409] ; [6.04724409 9.95275591],0
n4,1,0.58992,0.290469,[395  96] ; [12  4],[394.15581854  96.84418146] ; [12.84418146  3.15581854],0
p2,1,0.639932,0.218832,[413  76] ; [12  3],[412.35119048  76.64880952] ; [12.64880952  2.35119048],0
p1,1,0.659343,0.194323,[ 45 442] ; [ 2 14],[ 45.50497018 441.49502982] ; [ 1.49502982 14.50497018],0
