Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1.3e-05,19.019792,[20  7] ; [ 5 25],[11.84210526 15.15789474] ; [13.15789474 16.84210526],1
p2,1,0.001517,10.057265,[17  9] ; [ 7 23],[11.14285714 14.85714286] ; [12.85714286 17.14285714],0
v1,1,0.001785,9.758025,[14 13] ; [ 4 26],[ 8.52631579 18.47368421] ; [ 9.47368421 20.52631579],0
v4,1,0.002099,9.460905,[20  7] ; [10 20],[14.21052632 12.78947368] ; [15.78947368 14.21052632],0
s8,1,0.002945,8.841064,[ 9 18] ; [ 1 29],[ 4.73684211 22.26315789] ; [ 5.26315789 24.73684211],0
p11,1,0.010677,6.518281,[13 14] ; [ 5 25],[ 8.52631579 18.47368421] ; [ 9.47368421 20.52631579],0
s6,1,0.022086,5.238971,[12 15] ; [ 5 25],[ 8.05263158 18.94736842] ; [ 8.94736842 21.05263158],0
p8,1,0.022882,5.177452,[11 16] ; [ 4 25],[ 7.23214286 19.76785714] ; [ 7.76785714 21.23214286],0
b5,1,0.025287,5.004115,[17 10] ; [10 20],[12.78947368 14.21052632] ; [14.21052632 15.78947368],0
s7,1,0.028435,4.801478,[10 15] ; [ 4 25],[ 6.48148148 18.51851852] ; [ 7.51851852 21.48148148],0
p4,1,0.043419,4.079014,[11 16] ; [ 5 25],[ 7.57894737 19.42105263] ; [ 8.42105263 21.57894737],0
a7,1,0.049737,3.850289,[16 11] ; [10 20],[12.31578947 14.68421053] ; [13.68421053 16.31578947],0
p6,1,0.068464,3.319472,[ 5 22] ; [ 1 28],[ 2.89285714 24.10714286] ; [ 3.10714286 25.89285714],0
r2,1,0.075967,3.149139,[21  5] ; [17 12],[17.96363636  8.03636364] ; [20.03636364  8.96363636],0
r4,1,0.091374,2.85,[ 6 21] ; [ 2 28],[ 3.78947368 23.21052632] ; [ 4.21052632 25.78947368],0
b4,1,0.117531,2.449915,[19  8] ; [15 15],[16.10526316 10.89473684] ; [17.89473684 12.10526316],0
p3,1,0.121867,2.393162,[ 9 17] ; [ 5 25],[ 6.5 19.5] ; [ 7.5 22.5],0
p5,1,0.124212,2.363395,[ 4 22] ; [ 1 28],[ 2.36363636 23.63636364] ; [ 2.63636364 26.36363636],0
d4,1,0.128668,2.3085,[18  9] ; [14 16],[15.15789474 11.84210526] ; [16.84210526 13.15789474],0
u3,1,0.143235,2.142857,[5 5] ; [ 3 11],[3.33333333 6.66666667] ; [4.66666667 9.33333333],0
n2,1,0.144127,2.133333,[8 4] ; [ 8 12],[6. 6.] ; [10. 10.],0
d3,1,0.146432,2.109031,[16 11] ; [12 18],[13.26315789 13.73684211] ; [14.73684211 15.26315789],0
s3,1,0.167937,1.90126,[11 13] ; [ 8 21],[ 8.60377358 15.39622642] ; [10.39622642 18.60377358],0
n6,1,0.186357,1.746183,[15 12] ; [11 18],[12.53571429 14.46428571] ; [13.46428571 15.53571429],0
s5,1,0.201749,1.629671,[ 7 19] ; [ 4 26],[ 5.10714286 20.89285714] ; [ 5.89285714 24.10714286],0
v3,1,0.229025,1.446904,[ 7 20] ; [ 4 26],[ 5.21052632 21.78947368] ; [ 5.78947368 24.21052632],0
d5,1,0.22979,1.442159,[16 11] ; [13 17],[13.73684211 13.26315789] ; [15.26315789 14.73684211],0
s2,1,0.244171,1.356352,[ 8 19] ; [ 5 25],[ 6.15789474 20.84210526] ; [ 6.84210526 23.15789474],0
d2,1,0.256066,1.289901,[ 9 18] ; [14 15],[11.08928571 15.91071429] ; [11.91071429 17.08928571],0
s4,1,0.273124,1.200988,[ 4 23] ; [ 8 22],[ 5.68421053 21.31578947] ; [ 6.31578947 23.68421053],0
a5,1,0.324732,0.969792,[17 10] ; [15 15],[15.15789474 11.84210526] ; [16.84210526 13.15789474],0
n3,1,0.3785,0.775567,[7 5] ; [ 8 11],[5.80645161 6.19354839] ; [9.19354839 9.80645161],0
a3,1,0.440219,0.595712,[17  9] ; [16 13],[15.6 10.4] ; [17.4 11.6],0
a6,1,0.520137,0.413621,[14 13] ; [13 17],[12.78947368 14.21052632] ; [14.21052632 15.78947368],0
r1,1,0.550087,0.357161,[12 15] ; [11 19],[10.89473684 16.10526316] ; [12.10526316 17.89473684],0
a2,1,0.553678,0.350769,[ 3 24] ; [ 2 28],[ 2.36842105 24.63157895] ; [ 2.63157895 27.36842105],0
u2,1,0.558185,0.342857,[4 6] ; [ 4 10],[3.33333333 6.66666667] ; [4.66666667 9.33333333],0
b2,1,0.56409,0.332671,[ 5 13] ; [ 8 14],[ 5.85 12.15] ; [ 7.15 14.85],0
b3,1,0.56409,0.332671,[ 5 13] ; [ 8 14],[ 5.85 12.15] ; [ 7.15 14.85],0
a4,1,0.577084,0.310973,[ 8 18] ; [11 18],[ 8.98181818 17.01818182] ; [10.01818182 18.98181818],0
p1,1,0.591927,0.287346,[ 5 22] ; [ 4 26],[ 4.26315789 22.73684211] ; [ 4.73684211 25.26315789],0
p7,1,0.593955,0.284211,[ 8 16] ; [ 8 22],[ 7.11111111 16.88888889] ; [ 8.88888889 21.11111111],0
b1,1,0.652577,0.202667,[16 11] ; [16 14],[15.15789474 11.84210526] ; [16.84210526 13.15789474],0
n1,1,0.783779,0.075294,[6 6] ; [ 9 11],[5.625 6.375] ; [ 9.375 10.625],0
s1,1,0.798545,0.065143,[ 3 24] ; [ 4 26],[ 3.31578947 23.68421053] ; [ 3.68421053 26.31578947],0
a1,1,0.848177,0.036651,[ 4 23] ; [ 5 25],[ 4.26315789 22.73684211] ; [ 4.73684211 25.26315789],0
a8,1,0.871994,0.025962,[ 1 23] ; [ 1 29],[ 0.88888889 23.11111111] ; [ 1.11111111 28.88888889],0
d1,1,0.975654,0.000931,[ 8 19] ; [ 9 21],[ 8.05263158 18.94736842] ; [ 8.94736842 21.05263158],0
n4,1,0.976909,0.000838,[17 10] ; [19 11],[17.05263158  9.94736842] ; [18.94736842 11.05263158],0
n5,1,1.0,0.0,[18  9] ; [20 10],[18.  9.] ; [20. 10.],0
