Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1e-06,23.383759,[3 5] ; [68  4],[7.1 0.9] ; [63.9  8.1],1
r4,1,9e-05,15.34599,[2 6] ; [61 11],[6.3 1.7] ; [56.7 15.3],1
r1,1,0.002928,8.851924,[3 5] ; [59 12],[6.27848101 1.72151899] ; [55.72151899 15.27848101],0
p2,1,0.009299,6.7645,[2 6] ; [51 21],[5.3 2.7] ; [47.7 24.3],0
d5,1,0.014037,6.03354,[3 5] ; [56 16],[5.9 2.1] ; [53.1 18.9],0
v2,1,0.031474,4.626924,[2 6] ; [45 25],[4.82051282 3.17948718] ; [42.17948718 27.82051282],0
d4,1,0.03614,4.390497,[4 4] ; [59 13],[6.3 1.7] ; [56.7 15.3],0
r2,1,0.086423,2.93977,[6 2] ; [67  5],[7.3 0.7] ; [65.7  6.3],0
n6,1,0.091487,2.848018,[3 5] ; [48 23],[5.16455696 2.83544304] ; [45.83544304 25.16455696],0
p11,1,0.100624,2.695628,[2 6] ; [40 32],[4.2 3.8] ; [37.8 34.2],0
d1,1,0.156594,2.00681,[2 6] ; [37 35],[3.9 4.1] ; [35.1 36.9],0
a1,1,0.169708,1.885522,[1 7] ; [ 2 70],[0.3 7.7] ; [ 2.7 69.3],0
s8,1,0.210989,1.564625,[1 7] ; [24 46],[2.56410256 5.43589744] ; [22.43589744 47.56410256],0
v3,1,0.216766,1.525652,[5 3] ; [27 41],[3.36842105 4.63157895] ; [28.63157895 39.36842105],0
d3,1,0.2278,1.454545,[4 4] ; [51 21],[5.5 2.5] ; [49.5 22.5],0
b5,1,0.2278,1.454545,[4 4] ; [51 21],[5.5 2.5] ; [49.5 22.5],0
s3,1,0.234646,1.412475,[2 5] ; [37 34],[3.5 3.5] ; [35.5 35.5],0
s1,1,0.304902,1.052632,[1 7] ; [ 3 69],[0.4 7.6] ; [ 3.6 68.4],0
p4,1,0.325042,0.968551,[2 6] ; [31 41],[3.3 4.7] ; [29.7 42.3],0
a3,1,0.332125,0.940595,[6 1] ; [49 23],[4.87341772 2.12658228] ; [50.12658228 21.87341772],0
d2,1,0.370495,0.802005,[3 5] ; [39 33],[4.2 3.8] ; [37.8 34.2],0
p6,1,0.398774,0.712021,[1 7] ; [18 51],[1.97402597 6.02597403] ; [17.02597403 51.97402597],0
p1,1,0.441418,0.592593,[1 7] ; [ 4 68],[0.5 7.5] ; [ 4.5 67.5],0
b1,1,0.456057,0.555556,[5 3] ; [35 37],[4. 4.] ; [36. 36.],0
p3,1,0.459752,0.546498,[4 4] ; [26 45],[3.03797468 4.96202532] ; [26.96202532 44.03797468],0
b2,1,0.481185,0.496178,[2 2] ; [16 33],[1.35849057 2.64150943] ; [16.64150943 32.35849057],0
b3,1,0.481185,0.496178,[2 2] ; [16 33],[1.35849057 2.64150943] ; [16.64150943 32.35849057],0
b4,1,0.491155,0.473996,[4 4] ; [45 27],[4.9 3.1] ; [44.1 27.9],0
a5,1,0.564348,0.332232,[5 3] ; [52 20],[5.7 2.3] ; [51.3 20.7],0
n4,1,0.581803,0.303329,[5 3] ; [51 20],[5.67088608 2.32911392] ; [50.32911392 20.67088608],0
s6,1,0.585934,0.296739,[4 4] ; [42 28],[4.71794872 3.28205128] ; [41.28205128 28.71794872],0
p7,1,0.738603,0.111359,[3 5] ; [31 40],[3.44303797 4.55696203] ; [30.55696203 40.44303797],0
a7,1,0.750278,0.101298,[5 3] ; [49 23],[5.4 2.6] ; [48.6 23.4],0
s2,1,0.7714,0.084416,[3 5] ; [30 40],[3.38461538 4.61538462] ; [29.61538462 40.38461538],0
a2,1,0.804888,0.061022,[2 6] ; [21 51],[2.3 5.7] ; [20.7 51.3],0
p8,1,0.813089,0.055905,[3 5] ; [24 48],[2.7 5.3] ; [24.3 47.7],0
a4,1,0.825131,0.048819,[3 4] ; [34 38],[3.27848101 3.72151899] ; [33.72151899 38.27848101],0
n5,1,0.849928,0.0358,[4 4] ; [38 33],[4.25316456 3.74683544] ; [37.74683544 33.25316456],0
a6,1,0.875821,0.02442,[5 3] ; [47 25],[5.2 2.8] ; [46.8 25.2],0
s7,1,0.906998,0.013648,[3 4] ; [28 41],[2.85526316 4.14473684] ; [28.14473684 40.85526316],0
n2,1,0.920948,0.009848,[3 1] ; [17  5],[3.07692308 0.92307692] ; [16.92307692  5.07692308],0
s4,1,0.9284,0.008075,[1 7] ; [ 8 62],[0.92307692 7.07692308] ; [ 8.07692308 61.92307692],0
p9,1,0.960944,0.002398,[3 5] ; [26 45],[2.93670886 5.06329114] ; [26.06329114 44.93670886],0
