Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,3e-06,21.988826,[ 55 102] ; [52 25],[71.79059829 85.20940171] ; [35.20940171 41.79059829],1
p3,1,6.9e-05,15.849869,[59 99] ; [50 27],[73.28510638 84.71489362] ; [35.71489362 41.28510638],1
p4,1,8.2e-05,15.514808,[74 84] ; [57 20],[88.07659574 69.92340426] ; [42.92340426 34.07659574],1
p7,1,0.000211,13.734084,[85 70] ; [60 15],[97.7173913 57.2826087] ; [47.2826087 27.7173913],1
p5,1,0.00022,13.652742,[  5 152] ; [13 64],[ 12.07692308 144.92307692] ; [ 5.92307692 71.07692308],1
p12,1,0.001264,10.394863,[  4 155] ; [10 66],[  9.47234043 149.52765957] ; [ 4.52765957 71.47234043],0
b3,1,0.001753,9.791439,[19 69] ; [22 24],[26.92537313 61.07462687] ; [14.07462687 31.92537313],0
b2,1,0.001753,9.791439,[19 69] ; [22 24],[26.92537313 61.07462687] ; [14.07462687 31.92537313],0
p1,1,0.003759,8.396492,[  6 151] ; [11 66],[ 11.40598291 145.59401709] ; [ 5.59401709 71.40598291],0
s7,1,0.007304,7.196738,[81 72] ; [53 21],[90.31718062 62.68281938] ; [43.68281938 30.31718062],0
b4,1,0.010798,6.498293,[104  55] ; [37 40],[94.99576271 64.00423729] ; [46.00423729 30.99576271],0
n5,1,0.014639,5.959355,[102  55] ; [62 15],[110.03418803  46.96581197] ; [53.96581197 23.03418803],0
d2,1,0.016191,5.781989,[68 90] ; [46 31],[76.64680851 81.35319149] ; [37.35319149 39.64680851],0
n4,1,0.01773,5.622639,[109  50] ; [64 13],[116.55508475  42.44491525] ; [56.44491525 20.55508475],0
s8,1,0.018801,5.519967,[65 94] ; [44 33],[73.43644068 85.56355932] ; [35.56355932 41.43644068],0
s5,1,0.02662,4.915315,[ 44 111] ; [30 39],[ 51.20535714 103.79464286] ; [22.79464286 46.20535714],0
a4,1,0.038031,4.303646,[ 58 101] ; [39 38],[65.35169492 93.64830508] ; [31.64830508 45.35169492],0
p2,1,0.046588,3.960192,[125  33] ; [69  8],[130.43404255  27.56595745] ; [63.56595745 13.43404255],0
s2,1,0.071155,3.25617,[108  51] ; [61 16],[113.86016949  45.13983051] ; [55.13983051 21.86016949],0
s6,1,0.077937,3.107415,[118  39] ; [64 11],[123.1637931  33.8362069] ; [58.8362069 16.1637931],0
u1,1,0.090255,2.869823,[ 23 136] ; [18 59],[ 27.62288136 131.37711864] ; [13.37711864 63.62288136],0
s4,1,0.090914,2.858108,[ 37 122] ; [25 49],[ 42.30901288 116.69098712] ; [19.69098712 54.30901288],0
b1,1,0.108541,2.575339,[ 59 100] ; [37 40],[64.6779661 94.3220339] ; [31.3220339 45.6779661],0
a7,1,0.113495,2.504865,[119  40] ; [50 27],[113.86016949  45.13983051] ; [55.13983051 21.86016949],0
p9,1,0.120947,2.405019,[121  36] ; [66 11],[125.46581197  31.53418803] ; [61.53418803 15.46581197],0
n2,1,0.243432,1.360608,[30 12] ; [17  3],[31.83870968 10.16129032] ; [15.16129032  4.83870968],0
s1,1,0.273319,1.200012,[  7 152] ; [ 6 70],[  8.79574468 150.20425532] ; [ 4.20425532 71.79574468],0
v3,1,0.303013,1.060887,[ 44 109] ; [17 59],[ 40.75545852 112.24454148] ; [20.24454148 55.75545852],0
n6,1,0.309031,1.034813,[120  38] ; [63 14],[123.03829787  34.96170213] ; [59.96170213 17.03829787],0
d5,1,0.328184,0.956051,[124  34] ; [56 21],[121.0212766  36.9787234] ; [58.9787234 18.0212766],0
a6,1,0.357353,0.847173,[110  48] ; [49 28],[106.90212766  51.09787234] ; [52.09787234 24.90212766],0
a2,1,0.419797,0.650883,[ 30 129] ; [18 59],[ 32.33898305 126.66101695] ; [15.66101695 61.33898305],0
p11,1,0.492642,0.47075,[113  46] ; [58 19],[115.20762712  43.79237288] ; [55.79237288 21.20762712],0
u2,1,0.499982,0.454975,[25 27] ; [13 10],[26.34666667 25.65333333] ; [11.65333333 11.34666667],0
p10,1,0.507015,0.440222,[119  39] ; [61 16],[121.0212766  36.9787234] ; [58.9787234 18.0212766],0
r2,1,0.516048,0.421785,[145  12] ; [71  4],[146.17241379  10.82758621] ; [69.82758621  5.17241379],0
v2,1,0.520022,0.413849,[66 87] ; [29 46],[63.75 89.25] ; [31.25 43.75],0
d1,1,0.52806,0.398124,[86 73] ; [45 32],[88.25847458 70.74152542] ; [42.74152542 34.25847458],0
a3,1,0.529581,0.395195,[105  54] ; [54 23],[107.12288136  51.87711864] ; [51.87711864 25.12288136],0
v4,1,0.545129,0.366116,[140  16] ; [71  6],[141.27038627  14.72961373] ; [69.72961373  7.27038627],0
r4,1,0.55905,0.341352,[136  23] ; [68  9],[137.44067797  21.55932203] ; [66.55932203 10.44067797],0
u4,1,0.598705,0.276953,[  1 158] ; [ 1 76],[  1.34745763 157.65254237] ; [ 0.65254237 76.34745763],0
d4,1,0.610736,0.259104,[124  33] ; [63 14],[125.46581197  31.53418803] ; [61.53418803 15.46581197],0
r1,1,0.718068,0.130351,[124  34] ; [62 15],[125.05531915  32.94468085] ; [60.94468085 16.05531915],0
a5,1,0.739499,0.110568,[106  53] ; [53 24],[107.12288136  51.87711864] ; [51.87711864 25.12288136],0
b5,1,0.761349,0.092239,[88 71] ; [41 36],[86.91101695 72.08898305] ; [42.08898305 34.91101695],0
a1,1,0.764879,0.089449,[  5 154] ; [ 3 74],[  5.38983051 153.61016949] ; [ 2.61016949 74.38983051],0
a8,1,0.803272,0.062058,[ 18 128] ; [10 64],[ 18.58181818 127.41818182] ; [ 9.41818182 64.58181818],0
n1,1,0.820734,0.051348,[16 25] ; [ 8 11],[16.4 24.6] ; [ 7.6 11.4],0
n3,1,0.829118,0.046584,[31  9] ; [15  5],[30.66666667  9.33333333] ; [15.33333333  4.66666667],0
r3,1,0.913418,0.011822,[147  11] ; [71  5],[147.1965812  10.8034188] ; [70.8034188  5.1965812],0
d3,1,0.945752,0.00463,[106  52] ; [52 25],[106.22978723  51.77021277] ; [51.77021277 25.22978723],0
u3,1,0.951727,0.003665,[29 23] ; [13 10],[29.12 22.88] ; [12.88 10.12],0
