Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,8e-06,19.931894,[41 15] ; [30 56],[28. 28.] ; [43. 43.],1
n6,1,0.000248,13.428446,[54  2] ; [62 24],[45.74647887 10.25352113] ; [70.25352113 15.74647887],1
v4,1,0.000326,12.913354,[53  3] ; [60 26],[44.56338028 11.43661972] ; [68.43661972 17.56338028],1
p5,1,0.001126,10.608032,[13 44] ; [ 4 81],[ 6.82394366 50.17605634] ; [10.17605634 74.82394366],0
p4,1,0.001487,10.094276,[38 19] ; [34 52],[28.6993007 28.3006993] ; [43.3006993 42.6993007],0
p2,1,0.002168,9.401268,[49  8] ; [53 32],[40.94366197 16.05633803] ; [61.05633803 23.94366197],0
p10,1,0.003126,8.732406,[47  8] ; [53 32],[39.28571429 15.71428571] ; [60.71428571 24.28571429],0
p3,1,0.006652,7.364621,[33 24] ; [30 56],[25.11188811 31.88811189] ; [37.88811189 48.11188811],0
p6,1,0.007654,7.112667,[25 30] ; [20 64],[17.8057554 37.1942446] ; [27.1942446 56.8057554],0
p11,1,0.008235,6.981745,[48  9] ; [55 31],[41.05594406 15.94405594] ; [61.94405594 24.05594406],0
d2,1,0.010925,6.477452,[15 42] ; [40 44],[22.23404255 34.76595745] ; [32.76595745 51.23404255],0
p9,1,0.013701,6.076244,[51  6] ; [60 23],[45.19285714 11.80714286] ; [65.80714286 17.19285714],0
p12,1,0.015019,5.914253,[ 7 49] ; [ 2 84],[ 3.54929577 52.45070423] ; [ 5.45070423 80.54929577],0
r3,1,0.016599,5.738299,[51  6] ; [62 23],[45.35915493 11.64084507] ; [67.64084507 17.35915493],0
r4,1,0.016681,5.729622,[40 17] ; [43 43],[33.08391608 23.91608392] ; [49.91608392 36.08391608],0
v1,1,0.02689,4.897867,[30 26] ; [28 53],[23.7080292 32.2919708] ; [34.2919708 46.7080292],0
s1,1,0.027422,4.864073,[ 5 52] ; [ 1 84],[ 2.4084507 54.5915493] ; [ 3.5915493 81.4084507],0
n1,1,0.071488,3.248513,[ 4 11] ; [15 12],[6.78571429 8.21428571] ; [12.21428571 14.78571429],0
a4,1,0.083321,2.998893,[16 41] ; [36 49],[20.87323944 36.12676056] ; [31.12676056 53.87323944],0
s7,1,0.096788,2.75768,[25 28] ; [27 55],[20.41481481 32.58518519] ; [31.58518519 50.41481481],0
s8,1,0.09873,2.72594,[22 35] ; [22 64],[17.53846154 39.46153846] ; [26.46153846 59.53846154],0
b5,1,0.114848,2.486216,[31 26] ; [58 28],[35.47552448 21.52447552] ; [53.52447552 32.47552448],0
v2,1,0.13827,2.19711,[29 27] ; [32 50],[24.75362319 31.24637681] ; [36.24637681 45.75362319],0
b1,1,0.151927,2.052799,[19 38] ; [39 47],[23.11888112 33.88111888] ; [34.88111888 51.11888112],0
n5,1,0.15242,2.047859,[50  6] ; [69 17],[46.92957746  9.07042254] ; [72.07042254 13.92957746],0
s6,1,0.16059,1.968661,[32 22] ; [40 45],[27.97122302 26.02877698] ; [44.02877698 40.97122302],0
b3,1,0.16228,1.952852,[10 26] ; [24 33],[13.16129032 22.83870968] ; [20.83870968 36.16129032],0
b2,1,0.16228,1.952852,[10 26] ; [24 33],[13.16129032 22.83870968] ; [20.83870968 36.16129032],0
a3,1,0.170676,1.876998,[32 25] ; [58 28],[35.87412587 21.12587413] ; [54.12587413 31.87412587],0
s3,1,0.191449,1.706434,[30 26] ; [36 49],[26.21276596 29.78723404] ; [39.78723404 45.21276596],0
v3,1,0.212749,1.552623,[22 35] ; [24 60],[18.59574468 38.40425532] ; [27.40425532 56.59574468],0
s5,1,0.231041,1.43444,[14 39] ; [14 65],[11.24242424 41.75757576] ; [16.75757576 62.24242424],0
a2,1,0.262788,1.25401,[ 5 52] ; [13 73],[ 7.17482517 49.82517483] ; [10.82517483 75.17482517],0
u1,1,0.264236,1.246428,[ 2 55] ; [ 7 79],[ 3.58741259 53.41258741] ; [ 5.41258741 80.58741259],0
d4,1,0.303962,1.05673,[43 14] ; [58 28],[40.25874126 16.74125874] ; [60.74125874 25.25874126],0
u3,1,0.33025,0.947917,[ 9 15] ; [ 7 21],[ 7.38461538 16.61538462] ; [ 8.61538462 19.38461538],0
r2,1,0.340456,0.908712,[45  9] ; [62 19],[42.8 11.2] ; [64.2 16.8],0
s2,1,0.348662,0.87832,[25 32] ; [31 55],[22.32167832 34.67832168] ; [33.67832168 52.32167832],0
u2,1,0.415801,0.662152,[13 12] ; [11 16],[11.53846154 13.46153846] ; [12.46153846 14.53846154],0
s4,1,0.431735,0.618152,[10 47] ; [11 75],[ 8.37062937 48.62937063] ; [12.62937063 73.37062937],0
a7,1,0.507229,0.439779,[35 22] ; [48 38],[33.08391608 23.91608392] ; [49.91608392 36.08391608],0
a6,1,0.512886,0.428174,[32 25] ; [53 33],[33.88111888 23.11888112] ; [51.11888112 34.88111888],0
d5,1,0.53135,0.39181,[39 18] ; [63 23],[40.65734266 16.34265734] ; [61.34265734 24.65734266],0
n2,1,0.539241,0.376948,[12  3] ; [20  8],[11.1627907  3.8372093] ; [20.8372093  7.1627907],0
p1,1,0.569293,0.323867,[ 7 50] ; [ 8 78],[ 5.97902098 51.02097902] ; [ 9.02097902 76.97902098],0
a1,1,0.626898,0.236291,[ 6 51] ; [ 7 79],[ 5.18181818 51.81818182] ; [ 7.81818182 78.18181818],0
d1,1,0.64982,0.206127,[23 34] ; [38 48],[24.31468531 32.68531469] ; [36.68531469 49.31468531],0
a8,1,0.671836,0.179462,[ 6 48] ; [11 70],[ 6.8 47.2] ; [10.2 70.8],0
d3,1,0.808977,0.058441,[31 26] ; [45 41],[30.29370629 26.70629371] ; [45.70629371 40.29370629],0
b4,1,0.857518,0.032233,[34 23] ; [50 36],[33.48251748 23.51748252] ; [50.51748252 35.48251748],0
n3,1,0.904973,0.014252,[11  4] ; [21  7],[11.1627907  3.8372093] ; [20.8372093  7.1627907],0
a5,1,0.913462,0.01181,[33 24] ; [49 37],[32.68531469 24.31468531] ; [49.31468531 36.68531469],0
