Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,7.7e-05,15.618382,[10 66] ; [10  8],[16.17021277 59.82978723] ; [ 3.82978723 14.17021277],1
s7,1,0.017199,5.675928,[22 55] ; [10  7],[26.21276596 50.78723404] ; [ 5.78723404 11.21276596],0
s6,1,0.018383,5.559236,[31 48] ; [12  5],[35.38541667 43.61458333] ; [7.61458333 9.38541667],0
b5,1,0.029015,4.766725,[45 35] ; [ 5 13],[40.81632653 39.18367347] ; [9.18367347 8.81632653],0
n4,1,0.051842,3.780864,[55 25] ; [ 8 10],[51.42857143 28.57142857] ; [11.57142857  6.42857143],0
u3,1,0.067818,3.335049,[ 9 28] ; [5 4],[11.26086957 25.73913043] ; [2.73913043 6.26086957],0
p3,1,0.11283,2.514124,[24 55] ; [9 9],[26.87628866 52.12371134] ; [ 6.12371134 11.87628866],0
p1,1,0.152936,2.042722,[ 8 72] ; [ 4 14],[ 9.79591837 70.20408163] ; [ 2.20408163 15.79591837],0
p9,1,0.154374,2.028488,[56 21] ; [10  8],[53.49473684 23.50526316] ; [12.50526316  5.49473684],0
p7,1,0.16691,1.910482,[37 43] ; [11  6],[39.58762887 40.41237113] ; [8.41237113 8.58762887],0
v2,1,0.230731,1.436352,[30 47] ; [ 4 13],[27.85106383 49.14893617] ; [ 6.14893617 10.85106383],0
n5,1,0.233396,1.420043,[60 20] ; [11  7],[57.95918367 22.04081633] ; [13.04081633  4.95918367],0
s2,1,0.235584,1.406823,[28 52] ; [9 9],[30.20408163 49.79591837] ; [ 6.79591837 11.20408163],0
d2,1,0.308294,1.037972,[33 45] ; [10  8],[34.9375 43.0625] ; [8.0625 9.9375],0
v4,1,0.34929,0.876033,[61 18] ; [12  6],[59.45360825 19.54639175] ; [13.54639175  4.45360825],0
b4,1,0.393911,0.726834,[40 40] ; [11  7],[41.63265306 38.36734694] ; [9.36734694 8.63265306],0
n6,1,0.399074,0.711114,[57 23] ; [11  7],[55.51020408 24.48979592] ; [12.48979592  5.51020408],0
a4,1,0.413028,0.670067,[27 52] ; [ 8 10],[28.50515464 50.49484536] ; [ 6.49484536 11.50515464],0
p12,1,0.503639,0.44726,[ 2 77] ; [ 1 17],[ 2.44329897 76.55670103] ; [ 0.55670103 17.44329897],0
s3,1,0.51505,0.423794,[32 45] ; [9 9],[33.23157895 43.76842105] ; [ 7.76842105 10.23157895],0
a5,1,0.536767,0.381565,[38 42] ; [10  8],[39.18367347 40.81632653] ; [8.81632653 9.18367347],0
s8,1,0.543357,0.369353,[21 59] ; [ 6 12],[22.04081633 57.95918367] ; [ 4.95918367 13.04081633],0
v3,1,0.568772,0.324741,[19 60] ; [ 3 14],[18.10416667 60.89583333] ; [ 3.89583333 13.10416667],0
u2,1,0.603821,0.269271,[13 24] ; [4 5],[13.67391304 23.32608696] ; [3.32608696 5.67391304],0
p8,1,0.609117,0.261463,[27 51] ; [ 7 10],[27.91578947 50.08421053] ; [ 6.08421053 10.91578947],0
p10,1,0.622032,0.243022,[44 34] ; [9 9],[43.0625 34.9375] ; [9.9375 8.0625],0
r4,1,0.630039,0.232008,[35 45] ; [9 9],[35.91836735 44.08163265] ; [8.08163265 9.91836735],0
a1,1,0.654715,0.200008,[ 7 73] ; [ 1 17],[ 6.53061224 73.46938776] ; [ 1.46938776 16.53061224],0
a6,1,0.668424,0.183451,[31 49] ; [ 6 12],[30.20408163 49.79591837] ; [ 6.79591837 11.20408163],0
d4,1,0.706515,0.141782,[45 35] ; [11  7],[45.71428571 34.28571429] ; [10.28571429  7.71428571],0
n1,1,0.707162,0.141128,[12 18] ; [6 7],[12.55813953 17.44186047] ; [5.44186047 7.55813953],0
b2,1,0.721204,0.127342,[16 37] ; [3 9],[15.49230769 37.50769231] ; [3.50769231 8.49230769],0
b3,1,0.721204,0.127342,[16 37] ; [3 9],[15.49230769 37.50769231] ; [3.50769231 8.49230769],0
a3,1,0.733745,0.115701,[43 36] ; [9 9],[42.35051546 36.64948454] ; [9.64948454 8.35051546],0
p6,1,0.794646,0.067747,[20 56] ; [ 5 12],[20.43010753 55.56989247] ; [ 4.56989247 12.43010753],0
b1,1,0.814445,0.055082,[42 38] ; [10  8],[42.44897959 37.55102041] ; [9.55102041 8.44897959],0
n3,1,0.851399,0.035094,[20 11] ; [8 5],[19.72727273 11.27272727] ; [8.27272727 4.72727273],0
p2,1,0.892587,0.018234,[49 29] ; [11  7],[48.75 29.25] ; [11.25  6.75],0
p4,1,0.895617,0.017214,[36 42] ; [ 8 10],[35.75 42.25] ; [8.25 9.75],0
r2,1,0.896503,0.016921,[57 22] ; [12  5],[56.78125 22.21875] ; [12.21875  4.78125],0
n2,1,0.922934,0.009358,[21 10] ; [9 4],[21.13636364  9.86363636] ; [8.86363636 4.13636364],0
d5,1,0.965849,0.001833,[44 36] ; [10  8],[44.08163265 35.91836735] ; [9.91836735 8.08163265],0
d1,1,0.97304,0.001142,[27 53] ; [ 6 12],[26.93877551 53.06122449] ; [ 6.06122449 11.93877551],0
d3,1,0.97304,0.001142,[27 53] ; [ 6 12],[26.93877551 53.06122449] ; [ 6.06122449 11.93877551],0
r3,1,0.980986,0.000568,[58 22] ; [13  5],[57.95918367 22.04081633] ; [13.04081633  4.95918367],0
p11,1,0.991282,0.000119,[49 31] ; [11  7],[48.97959184 31.02040816] ; [11.02040816  6.97959184],0
v1,1,1.0,0.0,[26 52] ; [ 6 12],[26. 52.] ; [ 6. 12.],0
