Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,65.584409,[83 54] ; [ 25 137],[49.48494983 87.51505017] ; [ 58.51505017 103.48494983],1
p7,1,0.0,33.748956,[95 42] ; [ 56 102],[70.12542373 66.87457627] ; [80.87457627 77.12542373],1
p2,1,0.0,30.406447,[121  16] ; [97 65],[99.88628763 37.11371237] ; [118.11371237  43.88628763],1
p6,1,0.0,27.898875,[52 85] ; [ 19 142],[ 32.6409396 104.3590604] ; [ 38.3590604 122.6409396],1
p8,1,0.0,27.289434,[80 56] ; [ 47 116],[57.76588629 78.23411371] ; [69.23411371 93.76588629],1
s8,1,1.3e-05,19.069964,[57 81] ; [ 30 133],[39.88704319 98.11295681] ; [ 47.11295681 115.88704319],1
s6,1,3.8e-05,16.95776,[84 54] ; [ 60 102],[66.24 71.76] ; [77.76 84.24],1
p10,1,4.5e-05,16.651764,[104  32] ; [87 75],[87.16778523 48.83221477] ; [103.83221477  58.16778523],1
s7,1,4.8e-05,16.531477,[62 70] ; [ 37 117],[45.69230769 86.30769231] ; [ 53.30769231 100.69230769],1
n6,1,0.00015,14.369699,[116  21] ; [106  56],[101.71906355  35.28093645] ; [120.28093645  41.71906355],1
p11,1,0.000396,12.551326,[107  31] ; [95 68],[92.61129568 45.38870432] ; [109.38870432  53.61129568],1
r3,1,0.000713,11.455138,[127  11] ; [126  36],[116.38  21.62] ; [136.62  25.38],1
v4,1,0.000883,11.057065,[129   9] ; [130  32],[119.14  18.86] ; [139.86  22.14],1
s2,1,0.000903,11.016219,[60 78] ; [ 41 121],[46.46 91.54] ; [ 54.54 107.46],1
n4,1,0.002226,9.352993,[108  30] ; [101  62],[95.82059801 42.17940199] ; [113.17940199  49.82059801],0
p9,1,0.003119,8.736561,[107  31] ; [98 61],[95.25252525 42.74747475] ; [109.74747475  49.25252525],0
r4,1,0.005478,7.714505,[114  24] ; [112  51],[103.61461794  34.38538206] ; [122.38538206  40.61461794],0
s3,1,0.005824,7.604117,[72 65] ; [ 59 102],[60.22483221 76.77516779] ; [70.77516779 90.22483221],0
p5,1,0.01064,6.524404,[ 14 121] ; [  5 157],[  8.63636364 126.36363636] ; [ 10.36363636 151.63636364],0
v1,1,0.016628,5.7352,[50 83] ; [ 40 122],[40.57627119 92.42372881] ; [ 49.42372881 112.57627119],0
a5,1,0.020608,5.359626,[95 43] ; [91 72],[85.27574751 52.72425249] ; [100.72425249  62.27574751],0
n5,1,0.023474,5.133048,[104  33] ; [104  59],[94.98666667 42.01333333] ; [113.01333333  49.98666667],0
d5,1,0.030817,4.663147,[105  33] ; [104  57],[96.46153846 41.53846154] ; [112.53846154  48.46153846],0
a7,1,0.040909,4.179788,[99 39] ; [98 64],[90.62 47.38] ; [106.38  55.62],0
r1,1,0.063816,3.435319,[96 42] ; [96 66],[88.32 49.68] ; [103.68  58.32],0
d1,1,0.08113,3.042117,[68 70] ; [64 99],[60.51827243 77.48172757] ; [71.48172757 91.51827243],0
d4,1,0.083866,2.988341,[103  35] ; [106  56],[96.14 41.86] ; [112.86  49.14],0
p1,1,0.084675,2.9728,[ 14 124] ; [  8 154],[ 10.12 127.88] ; [ 11.88 150.12],0
u3,1,0.115467,2.47776,[29 19] ; [31 37],[24.82758621 23.17241379] ; [35.17241379 32.82758621],0
a4,1,0.155247,2.019927,[56 81] ; [ 53 108],[50.11073826 86.88926174] ; [ 58.88926174 102.11073826],0
r2,1,0.18333,1.770421,[122  14] ; [136  25],[118.14141414  17.85858586] ; [139.85858586  21.14141414],0
a1,1,0.183998,1.765032,[  4 134] ; [ 10 153],[  6.41860465 131.58139535] ; [  7.58139535 155.41860465],0
d3,1,0.208427,1.582322,[85 53] ; [87 73],[79.65100671 58.34899329] ; [92.34899329 67.65100671],0
u4,1,0.238793,1.387706,[  3 135] ; [  1 162],[  1.83388704 136.16611296] ; [  2.16611296 160.83388704],0
n3,1,0.247478,1.337486,[22 10] ; [35 27],[19.40425532 12.59574468] ; [37.59574468 24.40425532],0
d2,1,0.274698,1.193136,[60 78] ; [ 60 101],[55.38461538 82.61538462] ; [64.61538462 96.38461538],0
p12,1,0.347173,0.883765,[  5 133] ; [  3 158],[  3.69230769 134.30769231] ; [  4.30769231 156.69230769],0
a3,1,0.355577,0.853453,[88 49] ; [95 66],[84.13087248 52.86912752] ; [98.86912752 62.13087248],0
n1,1,0.371093,0.8,[14 18] ; [22 42],[12. 20.] ; [24. 40.],0
b1,1,0.396498,0.718922,[66 72] ; [70 93],[62.35215947 75.64784053] ; [73.64784053 89.35215947],0
a6,1,0.424142,0.638811,[88 50] ; [96 66],[84.64 53.36] ; [99.36 62.64],0
a2,1,0.439864,0.596638,[ 20 118] ; [ 29 134],[ 22.46511628 115.53488372] ; [ 26.53488372 136.46511628],0
b4,1,0.502023,0.450658,[70 68] ; [89 74],[72.89700997 65.10299003] ; [86.10299003 76.89700997],0
s4,1,0.529175,0.395975,[ 22 114] ; [ 22 140],[ 20.08053691 115.91946309] ; [ 23.91946309 138.08053691],0
b5,1,0.588968,0.291959,[88 50] ; [99 64],[85.73421927 52.26578073] ; [101.26578073  61.73421927],0
u1,1,0.605859,0.266249,[ 17 121] ; [ 17 146],[ 15.58803987 122.41196013] ; [ 18.41196013 144.58803987],0
b2,1,0.71277,0.135526,[31 59] ; [29 62],[29.83425414 60.16574586] ; [30.16574586 60.83425414],0
b3,1,0.71277,0.135526,[31 59] ; [29 62],[29.83425414 60.16574586] ; [30.16574586 60.83425414],0
u2,1,0.743793,0.106821,[26 23] ; [34 34],[25.12820513 23.87179487] ; [34.87179487 33.12820513],0
a8,1,0.772479,0.083599,[ 15 110] ; [ 17 139],[ 14.23487544 110.76512456] ; [ 17.76512456 138.23487544],0
s1,1,0.915891,0.011154,[  8 129] ; [  9 153],[  7.78929766 129.21070234] ; [  9.21070234 152.78929766],0
n2,1,0.952931,0.003484,[19 13] ; [39 26],[19.13402062 12.86597938] ; [38.86597938 26.13402062],0
v3,1,0.978112,0.000753,[ 25 112] ; [ 29 131],[ 24.90909091 112.09090909] ; [ 29.09090909 130.90909091],0
