Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,29.333333,[11 44] ; [21  4],[22. 33.] ; [10. 15.],1
s6,1,4e-06,21.466521,[14 42] ; [20  5],[23.50617284 32.49382716] ; [10.49382716 14.50617284],1
s8,1,0.00025,13.411786,[ 5 51] ; [11 14],[11.0617284 44.9382716] ; [ 4.9382716 20.0617284],1
n3,1,0.005995,7.551926,[18  7] ; [1 6],[14.84375 10.15625] ; [4.15625 2.84375],0
p7,1,0.006305,7.46087,[22 33] ; [17  6],[27.5 27.5] ; [11.5 11.5],0
p6,1,0.010511,6.546235,[10 45] ; [11 13],[14.62025316 40.37974684] ; [ 6.37974684 17.62025316],0
p8,1,0.013133,6.151041,[10 46] ; [11 14],[14.51851852 41.48148148] ; [ 6.48148148 18.51851852],0
s7,1,0.015586,5.848966,[10 44] ; [10 12],[14.21052632 39.78947368] ; [ 5.78947368 16.21052632],0
r3,1,0.025626,4.981097,[38 17] ; [23  2],[41.9375 13.0625] ; [19.0625  5.9375],0
r1,1,0.040481,4.197601,[29 27] ; [19  6],[33.18518519 22.81481481] ; [14.81481481 10.18518519],0
p5,1,0.050005,3.841301,[ 1 55] ; [ 3 22],[ 2.7654321 53.2345679] ; [ 1.2345679 23.7654321],0
n5,1,0.072328,3.229378,[26 30] ; [17  8],[29.72839506 26.27160494] ; [13.27160494 11.72839506],0
p10,1,0.075063,3.168685,[10 46] ; [ 9 16],[13.13580247 42.86419753] ; [ 5.86419753 19.13580247],0
p2,1,0.098673,2.726855,[27 29] ; [17  8],[30.41975309 25.58024691] ; [13.58024691 11.41975309],0
d3,1,0.120514,2.41063,[21 35] ; [14 11],[24.19753086 31.80246914] ; [10.80246914 14.19753086],0
a3,1,0.126031,2.34072,[17 39] ; [12 13],[20.04938272 35.95061728] ; [ 8.95061728 16.04938272],0
p4,1,0.138713,2.192178,[15 40] ; [11 14],[17.875 37.125] ; [ 8.125 16.875],0
v1,1,0.157278,2.000204,[10 46] ; [ 8 17],[12.44444444 43.55555556] ; [ 5.55555556 19.44444444],0
n1,1,0.27328,1.200208,[ 9 16] ; [1 6],[ 7.8125 17.1875] ; [2.1875 4.8125],0
s1,1,0.291645,1.112014,[ 3 53] ; [ 3 22],[ 4.14814815 51.85185185] ; [ 1.85185185 23.14814815],0
d4,1,0.294671,1.098156,[30 24] ; [17  8],[32.12658228 21.87341772] ; [14.87341772 10.12658228],0
s4,1,0.348443,0.879121,[ 9 47] ; [ 6 18],[10.5 45.5] ; [ 4.5 19.5],0
a7,1,0.365112,0.820232,[27 28] ; [15 10],[28.875 26.125] ; [13.125 11.875],0
u2,1,0.377673,0.778262,[18 20] ; [8 5],[19.37254902 18.62745098] ; [6.62745098 6.37254902],0
n2,1,0.415439,0.663182,[13 11] ; [5 2],[13.93548387 10.06451613] ; [4.06451613 2.93548387],0
p11,1,0.445425,0.582267,[24 32] ; [13 12],[25.58024691 30.41975309] ; [11.41975309 13.58024691],0
r4,1,0.466568,0.530092,[31 25] ; [16  9],[32.49382716 23.50617284] ; [14.50617284 10.49382716],0
p1,1,0.472351,0.51647,[ 4 52] ; [ 3 22],[ 4.83950617 51.16049383] ; [ 2.16049383 22.83950617],0
v4,1,0.486234,0.484848,[40 15] ; [20  5],[41.25 13.75] ; [18.75  6.25],0
b4,1,0.492185,0.471746,[38 18] ; [15 10],[36.64197531 19.35802469] ; [16.35802469  8.64197531],0
n4,1,0.492987,0.47,[29 27] ; [15 10],[30.41975309 25.58024691] ; [13.58024691 11.41975309],0
p3,1,0.512928,0.428089,[14 42] ; [ 8 17],[15.20987654 40.79012346] ; [ 6.79012346 18.20987654],0
d1,1,0.512928,0.428089,[14 42] ; [ 8 17],[15.20987654 40.79012346] ; [ 6.79012346 18.20987654],0
u1,1,0.553038,0.351903,[ 1 55] ; [ 1 24],[ 1.38271605 54.61728395] ; [ 0.61728395 24.38271605],0
a8,1,0.556008,0.346663,[ 4 47] ; [ 3 22],[ 4.69736842 46.30263158] ; [ 2.30263158 22.69736842],0
b1,1,0.617617,0.249231,[28 28] ; [14 11],[29.03703704 26.96296296] ; [12.96296296 12.03703704],0
b5,1,0.696793,0.15183,[31 25] ; [15 10],[31.80246914 24.19753086] ; [14.19753086 10.80246914],0
a4,1,0.70526,0.143058,[ 6 50] ; [ 2 23],[ 5.5308642 50.4691358] ; [ 2.4691358 22.5308642],0
n6,1,0.745418,0.105422,[36 20] ; [17  8],[36.64197531 19.35802469] ; [16.35802469  8.64197531],0
u3,1,0.748774,0.102564,[19 20] ; [7 6],[19.5 19.5] ; [6.5 6.5],0
r2,1,0.757802,0.095091,[40 15] ; [19  6],[40.5625 14.4375] ; [18.4375  6.5625],0
d5,1,0.839378,0.041083,[30 26] ; [14 11],[30.41975309 25.58024691] ; [13.58024691 11.41975309],0
v2,1,0.844063,0.03869,[19 35] ; [ 9 15],[19.38461538 34.61538462] ; [ 8.61538462 15.38461538],0
b2,1,0.870884,0.026418,[ 8 25] ; [ 4 14],[ 7.76470588 25.23529412] ; [ 4.23529412 13.76470588],0
b3,1,0.870884,0.026418,[ 8 25] ; [ 4 14],[ 7.76470588 25.23529412] ; [ 4.23529412 13.76470588],0
