Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,65.77552,[102   9] ; [ 9 27],[83.81632653 27.18367347] ; [27.18367347  8.81632653],1
p2,1,6.6e-05,15.911438,[86 24] ; [16 21],[76.32653061 33.67346939] ; [25.67346939 11.32653061],1
s1,1,0.000749,11.362319,[  1 107] ; [ 5 31],[  4.5 103.5] ; [ 1.5 34.5],1
p11,1,0.001588,9.973046,[87 24] ; [19 18],[79.5 31.5] ; [26.5 10.5],0
b1,1,0.00354,8.505747,[36 75] ; [22 15],[43.5 67.5] ; [14.5 22.5],0
v2,1,0.005348,7.757795,[84 25] ; [19 17],[77.42758621 31.57241379] ; [25.57241379 10.42758621],0
a6,1,0.014727,5.948788,[86 25] ; [21 16],[80.25 30.75] ; [26.75 10.25],0
s8,1,0.022283,5.223529,[57 54] ; [11 26],[51. 60.] ; [17. 20.],0
p6,1,0.025256,5.006251,[28 82] ; [ 3 34],[23.19727891 86.80272109] ; [ 7.80272109 29.19727891],0
d1,1,0.02785,4.837319,[68 43] ; [15 22],[62.25 48.75] ; [20.75 16.25],0
a5,1,0.028154,4.818605,[84 27] ; [21 16],[78.75 32.25] ; [26.25 10.75],0
p4,1,0.035381,4.426677,[53 58] ; [10 26],[47.57142857 63.42857143] ; [15.42857143 20.57142857],0
r3,1,0.051992,3.776016,[106   5] ; [31  5],[103.44897959   7.55102041] ; [33.55102041  2.44897959],0
p7,1,0.052808,3.75,[53 55] ; [11 25],[48. 60.] ; [16. 20.],0
v4,1,0.05866,3.574879,[106   5] ; [32  5],[103.5   7.5] ; [34.5  2.5],0
s6,1,0.059921,3.539558,[78 32] ; [20 17],[73.33333333 36.66666667] ; [24.66666667 12.33333333],0
u1,1,0.062436,3.471471,[32 79] ; [ 5 32],[27.75 83.25] ; [ 9.25 27.75],0
a3,1,0.076757,3.132275,[88 23] ; [24 13],[84. 27.] ; [28.  9.],0
n5,1,0.087223,2.924901,[90 21] ; [25 12],[86.25 24.75] ; [28.75  8.25],0
n6,1,0.088583,2.899942,[97 14] ; [28  9],[93.75 17.25] ; [31.25  5.75],0
s7,1,0.093544,2.81231,[60 47] ; [13 20],[55.79285714 51.20714286] ; [17.20714286 15.79285714],0
d5,1,0.122341,2.387097,[96 15] ; [28  9],[93. 18.] ; [31.  6.],0
s2,1,0.124514,2.359596,[59 51] ; [14 22],[55. 55.] ; [18. 18.],0
d3,1,0.130362,2.288188,[78 33] ; [21 16],[74.25 36.75] ; [24.75 12.25],0
b2,1,0.146263,2.110796,[31 41] ; [ 6 17],[28.04210526 43.95789474] ; [ 8.95789474 14.04210526],0
b3,1,0.146263,2.110796,[31 41] ; [ 6 17],[28.04210526 43.95789474] ; [ 8.95789474 14.04210526],0
r4,1,0.182186,1.779702,[97 14] ; [29  8],[94.5 16.5] ; [31.5  5.5],0
u3,1,0.220922,1.498373,[13 10] ; [10  3],[14.69444444  8.30555556] ; [8.30555556 4.69444444],0
p3,1,0.316024,1.005333,[49 61] ; [13 24],[46.39455782 63.60544218] ; [15.60544218 21.39455782],0
a2,1,0.339883,0.910873,[33 78] ; [ 8 29],[30.75 80.25] ; [10.25 26.75],0
r1,1,0.402625,0.700473,[91 20] ; [28  9],[89.25 21.75] ; [29.75  7.25],0
p5,1,0.408592,0.682895,[  5 105] ; [ 3 34],[  5.98639456 104.01360544] ; [ 2.01360544 34.98639456],0
a1,1,0.486769,0.48366,[ 10 101] ; [ 2 35],[  9. 102.] ; [ 3. 34.],0
d4,1,0.491837,0.472506,[92 19] ; [28  8],[90.6122449 20.3877551] ; [29.3877551  6.6122449],0
n1,1,0.542227,0.371429,[10 20] ; [4 5],[10.76923077 19.23076923] ; [3.23076923 5.76923077],0
b4,1,0.55418,0.349882,[69 42] ; [25 12],[70.5 40.5] ; [23.5 13.5],0
n2,1,0.574103,0.315865,[19 11] ; [8 3],[19.75609756 10.24390244] ; [7.24390244 3.75609756],0
s3,1,0.597673,0.278519,[57 52] ; [17 19],[55.62758621 53.37241379] ; [18.37241379 17.62758621],0
a7,1,0.60807,0.262995,[79 32] ; [24 12],[77.7755102 33.2244898] ; [25.2244898 10.7755102],0
v1,1,0.608694,0.262081,[63 44] ; [20 17],[61.67361111 45.32638889] ; [21.32638889 15.67361111],0
d2,1,0.676156,0.174485,[63 48] ; [19 17],[61.91836735 49.08163265] ; [20.08163265 15.91836735],0
a8,1,0.682379,0.16746,[12 85] ; [ 5 28],[12.68461538 84.31538462] ; [ 4.31538462 28.68461538],0
a4,1,0.703265,0.145098,[52 59] ; [16 21],[51. 60.] ; [17. 20.],0
s5,1,0.716211,0.132152,[27 80] ; [ 8 28],[26.18881119 80.81118881] ; [ 8.81118881 27.18881119],0
u2,1,0.884411,0.021135,[14  9] ; [7 5],[13.8  9.2] ; [7.2 4.8],0
s4,1,0.901855,0.015208,[14 96] ; [ 5 32],[14.21768707 95.78231293] ; [ 4.78231293 32.21768707],0
n3,1,0.969044,0.001506,[22  8] ; [8 3],[21.95121951  8.04878049] ; [8.04878049 2.95121951],0
b5,1,1.0,0.0,[72 39] ; [24 13],[72. 39.] ; [24. 13.],0
n4,1,1.0,0.0,[90 21] ; [30  7],[90. 21.] ; [30.  7.],0
p1,1,1.0,0.0,[  6 105] ; [ 2 35],[  6. 105.] ; [ 2. 35.],0
r2,1,1.0,0.0,[105   6] ; [35  2],[105.   6.] ; [35.  2.],0
