Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,23.407305,[18 20] ; [78 11],[28.72440945  9.27559055] ; [67.27559055 21.72440945],1
r3,1,0.00123,10.445199,[33  7] ; [91  2],[37.29323308  2.70676692] ; [86.70676692  6.29323308],0
v4,1,0.001385,10.226087,[32  8] ; [89  3],[36.66666667  3.33333333] ; [84.33333333  7.66666667],0
a5,1,0.002529,9.119461,[21 19] ; [73 20],[28.27067669 11.72932331] ; [65.72932331 27.27067669],0
d5,1,0.002542,9.110278,[25 15] ; [79 13],[31.51515152  8.48484848] ; [72.48484848 19.51515152],0
n4,1,0.002542,9.110278,[25 15] ; [79 13],[31.51515152  8.48484848] ; [72.48484848 19.51515152],0
p9,1,0.002711,8.992572,[25 14] ; [80 12],[31.25954198  7.74045802] ; [73.74045802 18.25954198],0
n1,1,0.003258,8.656812,[ 3 11] ; [17  7],[7.36842105 6.63157895] ; [12.63157895 11.36842105],0
p10,1,0.003389,8.585247,[24 15] ; [78 14],[30.36641221  8.63358779] ; [71.63358779 20.36641221],0
r2,1,0.00343,8.563186,[31  9] ; [87  5],[35.75757576  4.24242424] ; [82.24242424  9.75757576],0
s3,1,0.004288,8.157572,[29 11] ; [85  8],[34.28571429  5.71428571] ; [79.71428571 13.28571429],0
r4,1,0.00447,8.082089,[27 13] ; [82 11],[32.78195489  7.21804511] ; [76.21804511 16.78195489],0
n5,1,0.005786,7.615712,[24 15] ; [77 15],[30.06870229  8.93129771] ; [70.93129771 21.06870229],0
v3,1,0.006323,7.455837,[11 29] ; [48 42],[18.15384615 21.84615385] ; [40.84615385 49.15384615],0
b2,1,0.006407,7.432013,[ 5 21] ; [36 36],[10.87755102 15.12244898] ; [30.12244898 41.87755102],0
b3,1,0.006407,7.432013,[ 5 21] ; [36 36],[10.87755102 15.12244898] ; [30.12244898 41.87755102],0
s6,1,0.007136,7.23833,[27 10] ; [83  8],[31.796875  5.203125] ; [78.203125 12.796875],0
p3,1,0.016249,5.775682,[15 24] ; [57 36],[21.27272727 17.72727273] ; [50.72727273 42.27272727],0
p8,1,0.01762,5.633568,[13 26] ; [51 40],[19.2 19.8] ; [44.8 46.2],0
n6,1,0.021682,5.271113,[26 12] ; [79 13],[30.69230769  7.30769231] ; [74.30769231 17.69230769],0
a3,1,0.024334,5.07068,[26 14] ; [77 16],[30.97744361  9.02255639] ; [72.02255639 20.97744361],0
b1,1,0.026953,4.893833,[14 26] ; [52 41],[19.84962406 20.15037594] ; [46.15037594 46.84962406],0
d2,1,0.035822,4.40554,[14 26] ; [51 42],[19.54887218 20.45112782] ; [45.45112782 47.54887218],0
p11,1,0.036481,4.374492,[26 14] ; [76 17],[30.67669173  9.32330827] ; [71.32330827 21.67669173],0
r1,1,0.039796,4.226548,[24 16] ; [72 21],[28.87218045 11.12781955] ; [67.12781955 25.87218045],0
a4,1,0.060995,3.510119,[14 26] ; [49 44],[18.94736842 21.05263158] ; [44.05263158 48.94736842],0
a2,1,0.063927,3.432464,[ 1 39] ; [12 81],[ 3.90977444 36.09022556] ; [ 9.09022556 83.90977444],0
p6,1,0.070182,3.278757,[11 27] ; [42 49],[15.6124031 22.3875969] ; [37.3875969 53.6124031],0
d1,1,0.072133,3.233805,[16 24] ; [53 40],[20.7518797 19.2481203] ; [48.2481203 44.7518797],0
v1,1,0.095728,2.775308,[21 19] ; [61 29],[25.23076923 14.76923077] ; [56.76923077 33.23076923],0
p5,1,0.102848,2.660819,[ 2 37] ; [14 77],[ 4.8 34.2] ; [11.2 79.8],0
