Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.001549,10.019502,[15 63] ; [10  8],[20.3125 57.6875] ; [ 4.6875 13.3125],0
p3,1,0.002421,9.199017,[13 65] ; [9 9],[17.875 60.125] ; [ 4.125 13.875],0
s8,1,0.006919,7.293778,[ 5 74] ; [ 5 13],[ 8.1443299 70.8556701] ; [ 1.8556701 16.1443299],0
n3,1,0.045466,4.001277,[17 18] ; [7 1],[19.53488372 15.46511628] ; [4.46511628 3.53488372],0
s2,1,0.047278,3.935473,[ 8 71] ; [ 5 13],[10.58762887 68.41237113] ; [ 2.41237113 15.58762887],0
p8,1,0.054037,3.711553,[12 67] ; [ 6 11],[14.8125 64.1875] ; [ 3.1875 13.8125],0
s1,1,0.068911,3.308766,[ 6 72] ; [ 4 14],[ 8.125 69.875] ; [ 1.875 16.125],0
v1,1,0.073666,3.199395,[15 63] ; [ 7 11],[17.875 60.125] ; [ 4.125 13.875],0
v2,1,0.086436,2.939533,[21 54] ; [8 8],[23.9010989 51.0989011] ; [ 5.0989011 10.9010989],0
v4,1,0.096092,2.769231,[49 29] ; [15  3],[52. 26.] ; [12.  6.],0
p6,1,0.105395,2.621942,[ 2 75] ; [ 2 16],[ 3.24210526 73.75789474] ; [ 0.75789474 17.24210526],0
u2,1,0.109421,2.562562,[11 18] ; [5 2],[12.88888889 16.11111111] ; [3.11111111 3.88888889],0
p11,1,0.112268,2.522,[32 47] ; [11  7],[35.02061856 43.97938144] ; [ 7.97938144 10.02061856],0
r3,1,0.115761,2.473755,[50 28] ; [15  3],[52.8125 25.1875] ; [12.1875  5.8125],0
s3,1,0.131119,2.279202,[17 61] ; [ 7 11],[19.5 58.5] ; [ 4.5 13.5],0
p10,1,0.133505,2.251268,[32 45] ; [11  7],[34.85263158 42.14736842] ; [8.14736842 9.85263158],0
p9,1,0.142062,2.155481,[31 43] ; [11  7],[33.7826087 40.2173913] ; [8.2173913 9.7826087],0
r4,1,0.154925,2.023076,[38 41] ; [12  6],[40.72164948 38.27835052] ; [9.27835052 8.72164948],0
n5,1,0.163875,1.938101,[47 31] ; [14  4],[49.5625 28.4375] ; [11.4375  6.5625],0
p5,1,0.183898,1.765841,[ 1 78] ; [ 1 14],[ 1.68085106 77.31914894] ; [ 0.31914894 14.68085106],0
s7,1,0.302003,1.065327,[10 64] ; [ 4 13],[11.38461538 62.61538462] ; [ 2.61538462 14.38461538],0
n6,1,0.314526,1.011573,[40 38] ; [11  6],[41.87368421 36.12631579] ; [9.12631579 7.87368421],0
n2,1,0.395665,0.721461,[23 16] ; [6 2],[24.06382979 14.93617021] ; [4.93617021 3.06382979],0
a4,1,0.426269,0.632967,[31 47] ; [9 9],[32.5 45.5] ; [ 7.5 10.5],0
b1,1,0.443853,0.586301,[36 43] ; [10  8],[37.46391753 41.53608247] ; [8.53608247 9.46391753],0
p1,1,0.462373,0.540143,[ 9 70] ; [ 1 17],[ 8.1443299 70.8556701] ; [ 1.8556701 16.1443299],0
d2,1,0.482744,0.492657,[37 40] ; [ 7 11],[35.66315789 41.33684211] ; [8.33684211 9.66315789],0
n4,1,0.499574,0.45584,[50 28] ; [10  8],[48.75 29.25] ; [11.25  6.75],0
a3,1,0.499574,0.45584,[50 28] ; [10  8],[48.75 29.25] ; [11.25  6.75],0
b4,1,0.504087,0.446321,[42 37] ; [ 8 10],[40.72164948 38.27835052] ; [9.27835052 8.72164948],0
b5,1,0.504087,0.446321,[37 42] ; [10  8],[38.27835052 40.72164948] ; [8.72164948 9.27835052],0
n1,1,0.507422,0.439379,[17 22] ; [4 3],[17.80434783 21.19565217] ; [3.19565217 3.80434783],0
u3,1,0.538197,0.378892,[11 18] ; [4 4],[11.75675676 17.24324324] ; [3.24324324 4.75675676],0
a2,1,0.571411,0.320327,[13 66] ; [ 2 16],[12.21649485 66.78350515] ; [ 2.78350515 15.21649485],0
d5,1,0.573691,0.316546,[47 32] ; [12  6],[48.05154639 30.94845361] ; [10.94845361  7.05154639],0
u1,1,0.645489,0.211635,[ 7 72] ; [ 1 17],[ 6.51546392 72.48453608] ; [ 1.48453608 16.51546392],0
v3,1,0.669084,0.182675,[18 58] ; [ 3 13],[17.34782609 58.65217391] ; [ 3.65217391 12.34782609],0
