Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,3.5e-05,17.101293,[44 14] ; [10 22],[34.8 23.2] ; [19.2 12.8],1
p8,1,0.002925,8.853618,[31 26] ; [ 7 25],[24.33707865 32.66292135] ; [13.66292135 18.33707865],0
p9,1,0.007294,7.199084,[50  8] ; [19 12],[44.96629213 13.03370787] ; [24.03370787  6.96629213],0
p2,1,0.007976,7.0389,[49  9] ; [19 13],[43.82222222 14.17777778] ; [24.17777778  7.82222222],0
b1,1,0.009699,6.689407,[15 43] ; [17 15],[20.62222222 37.37777778] ; [11.37777778 20.62222222],0
r3,1,0.012827,6.192788,[54  4] ; [23  8],[50.17977528  7.82022472] ; [26.82022472  4.17977528],0
p10,1,0.026133,4.947223,[47 11] ; [19 13],[42.53333333 15.46666667] ; [23.46666667  8.53333333],0
d5,1,0.033039,4.543777,[36 22] ; [26  5],[40.40449438 17.59550562] ; [21.59550562  9.40449438],0
s3,1,0.039172,4.253402,[44 13] ; [18 14],[39.70786517 17.29213483] ; [22.29213483  9.70786517],0
d2,1,0.050541,3.823409,[22 36] ; [19 13],[26.42222222 31.57777778] ; [14.57777778 17.42222222],0
a6,1,0.051211,3.801353,[41 17] ; [16 16],[36.73333333 21.26666667] ; [20.26666667 11.73333333],0
b3,1,0.06222,3.477196,[ 3 28] ; [ 5 11],[ 5.27659574 25.72340426] ; [ 2.72340426 13.27659574],0
b2,1,0.06222,3.477196,[ 3 28] ; [ 5 11],[ 5.27659574 25.72340426] ; [ 2.72340426 13.27659574],0
n2,1,0.06225,3.47641,[13  2] ; [9 7],[10.64516129  4.35483871] ; [11.35483871  4.64516129],0
n3,1,0.083392,2.997528,[14  1] ; [11  5],[12.09677419  2.90322581] ; [12.90322581  3.09677419],0
a4,1,0.095648,2.776654,[17 41] ; [15 17],[20.62222222 37.37777778] ; [11.37777778 20.62222222],0
v4,1,0.099377,2.715517,[56  2] ; [28  4],[54.13333333  3.86666667] ; [29.86666667  2.13333333],0
s6,1,0.104664,2.632995,[49  8] ; [23  9],[46.11235955 10.88764045] ; [25.88764045  6.11235955],0
a3,1,0.119735,2.42079,[32 26] ; [23  9],[35.44444444 22.55555556] ; [19.55555556 12.44444444],0
n4,1,0.119828,2.419563,[37 21] ; [15 17],[33.51111111 24.48888889] ; [18.48888889 13.51111111],0
n6,1,0.125973,2.341441,[48 10] ; [22 10],[45.11111111 12.88888889] ; [24.88888889  7.11111111],0
d1,1,0.147084,2.102237,[27 31] ; [20 12],[30.28888889 27.71111111] ; [16.71111111 15.28888889],0
p7,1,0.154595,2.026316,[35 21] ; [15 17],[31.81818182 24.18181818] ; [18.18181818 13.81818182],0
a2,1,0.229495,1.443986,[11 47] ; [ 3 29],[ 9.02222222 48.97777778] ; [ 4.97777778 27.02222222],0
b4,1,0.248349,1.332568,[38 20] ; [17 15],[35.44444444 22.55555556] ; [19.55555556 12.44444444],0
v2,1,0.25205,1.311904,[18 37] ; [14 17],[20.46511628 34.53488372] ; [11.53488372 19.46511628],0
s8,1,0.269515,1.219212,[25 33] ; [10 22],[22.55555556 35.44444444] ; [12.44444444 19.55555556],0
s7,1,0.284654,1.144737,[35 23] ; [14 15],[32.66666667 25.33333333] ; [16.33333333 12.66666667],0
p4,1,0.29942,1.076777,[32 26] ; [14 18],[29.64444444 28.35555556] ; [16.35555556 15.64444444],0
d4,1,0.350455,0.871808,[42 16] ; [26  6],[43.82222222 14.17777778] ; [24.17777778  7.82222222],0
p1,1,0.371238,0.799516,[ 4 54] ; [ 4 28],[ 5.15555556 52.84444444] ; [ 2.84444444 29.15555556],0
u2,1,0.371776,0.797721,[16 10] ; [4 5],[14.85714286 11.14285714] ; [5.14285714 3.85714286],0
d3,1,0.397864,0.714772,[40 18] ; [24  7],[41.70786517 16.29213483] ; [22.29213483  8.70786517],0
v3,1,0.401542,0.703704,[12 45] ; [ 9 22],[13.60227273 43.39772727] ; [ 7.39772727 23.60227273],0
r4,1,0.424685,0.637315,[46 12] ; [23  9],[44.46666667 13.53333333] ; [24.53333333  7.46666667],0
r2,1,0.489198,0.47829,[53  5] ; [26  4],[52.06818182  5.93181818] ; [26.93181818  3.06818182],0
s2,1,0.491519,0.473199,[38 19] ; [19 13],[36.50561798 20.49438202] ; [20.49438202 11.50561798],0
r1,1,0.533389,0.387931,[40 18] ; [20 12],[38.66666667 19.33333333] ; [21.33333333 10.66666667],0
u1,1,0.540179,0.375208,[ 8 50] ; [ 3 29],[ 7.08888889 50.91111111] ; [ 3.91111111 28.08888889],0
s5,1,0.554989,0.348455,[22 31] ; [14 15],[23.26829268 29.73170732] ; [12.73170732 16.26829268],0
n1,1,0.609473,0.260943,[ 5 10] ; [ 4 12],[ 4.35483871 10.64516129] ; [ 4.64516129 11.35483871],0
p6,1,0.679005,0.171248,[21 37] ; [13 19],[21.91111111 36.08888889] ; [12.08888889 19.91111111],0
u3,1,0.783758,0.075309,[16 10] ; [6 3],[16.34285714  9.65714286] ; [5.65714286 3.34285714],0
