Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1e-06,23.471764,[ 3 67] ; [26 43],[14.60431655 55.39568345] ; [14.39568345 54.60431655],1
p8,1,2e-06,22.703647,[13 58] ; [41 31],[26.81118881 44.18881119] ; [27.18881119 44.81118881],1
p4,1,0.000101,15.111928,[16 55] ; [39 33],[27.30769231 43.69230769] ; [27.69230769 44.30769231],1
p2,1,0.000359,12.735565,[36 35] ; [57 15],[46.17482517 24.82517483] ; [46.82517483 25.17482517],1
p3,1,0.00111,10.634506,[14 57] ; [33 40],[23.17361111 47.82638889] ; [23.82638889 49.17361111],0
r4,1,0.006473,7.413596,[43 28] ; [60 14],[50.43448276 20.56551724] ; [52.56551724 21.43448276],0
r3,1,0.009656,6.69732,[50 21] ; [65  9],[56.31034483 14.68965517] ; [58.68965517 15.31034483],0
s5,1,0.010001,6.634734,[11 55] ; [26 46],[17.69565217 48.30434783] ; [19.30434783 52.69565217],0
d2,1,0.011893,6.326712,[22 47] ; [39 35],[29.43356643 39.56643357] ; [31.56643357 42.43356643],0
d1,1,0.015278,5.884129,[18 53] ; [33 41],[24.97241379 46.02758621] ; [26.02758621 47.97241379],0
p5,1,0.019439,5.461572,[ 2 69] ; [10 64],[ 5.87586207 65.12413793] ; [ 6.12413793 67.87586207],0
v1,1,0.021374,5.296077,[23 48] ; [37 35],[29.79020979 41.20979021] ; [30.20979021 41.79020979],0
d3,1,0.021684,5.270943,[17 54] ; [31 43],[23.50344828 47.49655172] ; [24.49655172 49.50344828],0
d5,1,0.039096,4.256693,[35 36] ; [49 25],[41.13103448 29.86896552] ; [42.86896552 31.13103448],0
v4,1,0.041388,4.160051,[53 18] ; [65  9],[57.77931034 13.22068966] ; [60.22068966 13.77931034],0
d4,1,0.05612,3.648488,[39 32] ; [52 22],[44.55862069 26.44137931] ; [46.44137931 27.55862069],0
a5,1,0.057993,3.593861,[33 38] ; [46 28],[38.68275862 32.31724138] ; [40.31724138 33.68275862],0
v2,1,0.059545,3.550014,[21 43] ; [36 38],[26.43478261 37.56521739] ; [30.56521739 43.43478261],0
b3,1,0.128836,2.306469,[17 24] ; [12 34],[13.66666667 27.33333333] ; [15.33333333 30.66666667],0
b2,1,0.128836,2.306469,[17 24] ; [12 34],[13.66666667 27.33333333] ; [15.33333333 30.66666667],0
p11,1,0.154455,2.027688,[45 26] ; [55 19],[48.96551724 22.03448276] ; [51.03448276 22.96551724],0
a6,1,0.163386,1.942609,[36 35] ; [29 45],[31.82758621 39.17241379] ; [33.17241379 40.82758621],0
p12,1,0.16707,1.909042,[ 4 67] ; [ 1 71],[ 2.48251748 68.51748252] ; [ 2.51748252 69.48251748],0
n3,1,0.17016,1.881536,[15 12] ; [15  5],[17.23404255  9.76595745] ; [12.76595745  7.23404255],0
p10,1,0.182322,1.778596,[37 33] ; [46 26],[40.91549296 29.08450704] ; [42.08450704 29.91549296],0
r1,1,0.221424,1.49512,[37 34] ; [46 28],[40.64137931 30.35862069] ; [42.35862069 31.64137931],0
u3,1,0.250613,1.319882,[10 26] ; [15 22],[12.32876712 23.67123288] ; [12.67123288 24.32876712],0
v3,1,0.251554,1.314654,[13 52] ; [21 53],[15.89928058 49.10071942] ; [18.10071942 55.89928058],0
s3,1,0.274873,1.192265,[19 50] ; [26 46],[22.0212766 46.9787234] ; [22.9787234 49.0212766],0
n6,1,0.280726,1.16357,[48 23] ; [56 18],[50.92413793 20.07586207] ; [53.07586207 20.92413793],0
s8,1,0.412233,0.672352,[10 61] ; [14 59],[11.83333333 59.16666667] ; [12.16666667 60.83333333],0
a2,1,0.430795,0.620678,[ 5 66] ; [ 3 71],[ 3.91724138 67.08275862] ; [ 4.08275862 69.91724138],0
b4,1,0.51586,0.422163,[45 26] ; [43 31],[43.08965517 27.91034483] ; [44.91034483 29.08965517],0
n1,1,0.591431,0.288115,[ 9 19] ; [ 5 15],[ 8.16666667 19.83333333] ; [ 5.83333333 14.16666667],0
