Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2e-06,22.179309,[16 28] ; [44  9],[27.21649485 16.78350515] ; [32.78350515 20.21649485],1
p2,1,0.000244,13.461538,[17 27] ; [40 13],[25.8556701 18.1443299] ; [31.1443299 21.8556701],1
p10,1,0.000283,13.182481,[17 28] ; [38 13],[25.78125 19.21875] ; [29.21875 21.78125],1
r3,1,0.000998,10.831437,[21 24] ; [41 11],[28.7628866 16.2371134] ; [33.2371134 18.7628866],1
p8,1,0.001158,10.556718,[ 6 39] ; [23 30],[13.31632653 31.68367347] ; [15.68367347 37.31632653],0
s7,1,0.001808,9.734728,[ 9 32] ; [28 24],[16.31182796 24.68817204] ; [20.68817204 31.31182796],0
p4,1,0.003248,8.662774,[10 34] ; [28 26],[17.06122449 26.93877551] ; [20.93877551 33.06122449],0
n6,1,0.005956,7.563636,[21 23] ; [39 13],[27.5 16.5] ; [32.5 19.5],0
p5,1,0.007243,7.211638,[ 1 43] ; [11 44],[ 5.33333333 38.66666667] ; [ 6.66666667 48.33333333],0
n5,1,0.007423,7.167671,[19 26] ; [36 16],[25.51546392 19.48453608] ; [29.48453608 22.51546392],0
s6,1,0.013085,6.157575,[13 32] ; [28 24],[19.02061856 25.97938144] ; [21.97938144 30.02061856],0
b1,1,0.014988,5.917923,[29 16] ; [22 33],[22.95 22.05] ; [28.05 26.95],0
p6,1,0.015495,5.859327,[ 4 40] ; [15 37],[ 8.70833333 35.29166667] ; [10.29166667 41.70833333],0
v2,1,0.018706,5.528814,[14 30] ; [29 23],[19.70833333 24.29166667] ; [23.29166667 28.70833333],0
s8,1,0.02077,5.346,[ 6 39] ; [18 36],[10.90909091 34.09090909] ; [13.09090909 40.90909091],0
s2,1,0.026398,4.929735,[11 34] ; [24 28],[16.2371134 28.7628866] ; [18.7628866 33.2371134],0
n2,1,0.036772,4.360949,[12 13] ; [15  4],[15.34090909  9.65909091] ; [11.65909091  7.34090909],0
p7,1,0.044779,4.02694,[12 31] ; [25 27],[16.74736842 26.25263158] ; [20.25263158 31.74736842],0
