Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.014306,6.0,[3 9] ; [9 3],[6. 6.] ; [6. 6.],0
s5,1,0.040524,4.195804,[4 8] ; [9 3],[6.5 5.5] ; [6.5 5.5],0
v1,1,0.042844,4.10153,[6 5] ; [11  1],[8.13043478 2.86956522] ; [8.86956522 3.13043478],0
p4,1,0.133348,2.253089,[5 7] ; [8 3],[6.7826087 5.2173913] ; [6.2173913 4.7826087],0
u2,1,0.196706,1.666667,[2 4] ; [3 1],[3. 3.] ; [2. 2.],0
p8,1,0.205903,1.6,[6 6] ; [9 3],[7.5 4.5] ; [7.5 4.5],0
b4,1,0.205903,1.6,[9 3] ; [6 6],[7.5 4.5] ; [7.5 4.5],0
d2,1,0.219064,1.51049,[7 5] ; [4 8],[5.5 6.5] ; [5.5 6.5],0
n5,1,0.273322,1.2,[11  1] ; [9 3],[10.  2.] ; [10.  2.],0
n6,1,0.273322,1.2,[9 3] ; [11  1],[10.  2.] ; [10.  2.],0
r3,1,0.273322,1.2,[9 3] ; [11  1],[10.  2.] ; [10.  2.],0
p1,1,0.273322,1.2,[ 1 11] ; [3 9],[ 2. 10.] ; [ 2. 10.],0
s6,1,0.345779,0.888889,[8 4] ; [10  2],[9. 3.] ; [9. 3.],0
a3,1,0.407626,0.685714,[6 6] ; [8 4],[7. 5.] ; [7. 5.],0
b5,1,0.407626,0.685714,[8 4] ; [6 6],[7. 5.] ; [7. 5.],0
v2,1,0.407626,0.685714,[4 8] ; [6 6],[5. 7.] ; [5. 7.],0
s8,1,0.414216,0.666667,[5 7] ; [7 5],[6. 6.] ; [6. 6.],0
b1,1,0.414216,0.666667,[5 7] ; [7 5],[6. 6.] ; [6. 6.],0
u3,1,0.429195,0.625,[3 3] ; [1 3],[2.4 3.6] ; [1.6 2.4],0
r2,1,0.537094,0.380952,[10  2] ; [11  1],[10.5  1.5] ; [10.5  1.5],0
p12,1,0.589962,0.290404,[ 1 10] ; [ 2 10],[1.43478261 9.56521739] ; [ 1.56521739 10.43478261],0
d4,1,0.615228,0.252632,[9 3] ; [10  2],[9.5 2.5] ; [9.5 2.5],0
b3,1,0.628745,0.233766,[3 6] ; [4 5],[3.5 5.5] ; [3.5 5.5],0
b2,1,0.628745,0.233766,[3 6] ; [4 5],[3.5 5.5] ; [3.5 5.5],0
r1,1,0.653368,0.201681,[8 4] ; [9 3],[8.5 3.5] ; [8.5 3.5],0
a5,1,0.653368,0.201681,[9 3] ; [8 4],[8.5 3.5] ; [8.5 3.5],0
d3,1,0.67329,0.177778,[7 5] ; [8 4],[7.5 4.5] ; [7.5 4.5],0
a4,1,0.67329,0.177778,[5 7] ; [4 8],[4.5 7.5] ; [4.5 7.5],0
d5,1,0.67329,0.177778,[8 4] ; [7 5],[7.5 4.5] ; [7.5 4.5],0
a6,1,0.682046,0.167832,[6 6] ; [5 7],[5.5 6.5] ; [5.5 6.5],0
p2,1,0.75235,0.099567,[8 3] ; [8 4],[7.65217391 3.34782609] ; [8.34782609 3.65217391],0
p6,1,0.794625,0.067761,[4 7] ; [5 7],[4.30434783 6.69565217] ; [4.69565217 7.30434783],0
n2,1,0.80915,0.058333,[3 1] ; [2 1],[2.85714286 1.14285714] ; [2.14285714 0.85714286],0
n3,1,0.80915,0.058333,[3 1] ; [2 1],[2.85714286 1.14285714] ; [2.14285714 0.85714286],0
s3,1,0.827435,0.047521,[6 6] ; [6 5],[6.26086957 5.73913043] ; [5.73913043 5.26086957],0
s7,1,0.854757,0.033508,[7 5] ; [6 5],[6.7826087 5.2173913] ; [6.2173913 4.7826087],0
a8,1,0.915605,0.01123,[2 8] ; [2 9],[1.9047619 8.0952381] ; [2.0952381 8.9047619],0
p7,1,0.936898,0.006268,[6 4] ; [7 5],[5.90909091 4.09090909] ; [7.09090909 4.90909091],0
a7,1,1.0,0.0,[8 4] ; [8 4],[8. 4.] ; [8. 4.],0
d1,1,1.0,0.0,[6 6] ; [6 6],[6. 6.] ; [6. 6.],0
s1,1,1.0,0.0,[ 1 11] ; [ 1 11],[ 1. 11.] ; [ 1. 11.],0
n4,1,1.0,0.0,[10  2] ; [10  2],[10.  2.] ; [10.  2.],0
p11,1,1.0,0.0,[9 3] ; [9 3],[9. 3.] ; [9. 3.],0
s4,1,1.0,0.0,[ 1 11] ; [ 1 11],[ 1. 11.] ; [ 1. 11.],0
