Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.368776,0.807786,[77 29] ; [25  6],[78.91970803 27.08029197] ; [23.08029197  7.91970803],0
p11,1,0.403474,0.697948,[63 43] ; [21 10],[64.99270073 41.00729927] ; [19.00729927 11.99270073],0
s4,1,0.464209,0.535728,[24 82] ; [ 9 22],[25.53284672 80.46715328] ; [ 7.46715328 23.53284672],0
a5,1,0.47478,0.51083,[47 59] ; [16 15],[48.74452555 57.25547445] ; [14.25547445 16.74452555],0
p3,1,0.584424,0.299137,[16 89] ; [ 6 25],[16.98529412 88.01470588] ; [ 5.01470588 25.98529412],0
d5,1,0.584919,0.29835,[69 36] ; [22  9],[70.25735294 34.74264706] ; [20.74264706 10.25735294],0
r3,1,0.58864,0.292473,[91 14] ; [28  3],[91.875 13.125] ; [27.125  3.875],0
u3,1,0.598913,0.276638,[27 26] ; [6 4],[27.76190476 25.23809524] ; [5.23809524 4.76190476],0
s3,1,0.607913,0.263226,[42 63] ; [14 17],[43.23529412 61.76470588] ; [12.76470588 18.23529412],0
a4,1,0.743073,0.107444,[27 79] ; [ 7 24],[26.30656934 79.69343066] ; [ 7.69343066 23.30656934],0
n2,1,0.787972,0.072331,[27 16] ; [10  5],[27.43103448 15.56896552] ; [9.56896552 5.43103448],0
u1,1,0.836583,0.042546,[ 8 98] ; [ 2 29],[ 7.73722628 98.26277372] ; [ 2.26277372 28.73722628],0
a8,1,0.844172,0.038636,[ 4 96] ; [ 1 30],[ 3.81679389 96.18320611] ; [ 1.18320611 29.81679389],0
p8,1,0.853553,0.034072,[32 72] ; [ 9 22],[31.58518519 72.41481481] ; [ 9.41481481 21.58518519],0
p2,1,0.859719,0.031234,[70 36] ; [21 10],[70.40875912 35.59124088] ; [20.59124088 10.40875912],0
d2,1,0.859719,0.031234,[36 70] ; [10 21],[35.59124088 70.40875912] ; [10.40875912 20.59124088],0
b3,1,0.868623,0.02736,[13 32] ; [ 4 11],[12.75 32.25] ; [ 4.25 10.75],0
b2,1,0.868623,0.02736,[13 32] ; [ 4 11],[12.75 32.25] ; [ 4.25 10.75],0
a1,1,0.886241,0.020467,[  4 102] ; [ 1 30],[  3.86861314 102.13138686] ; [ 1.13138686 29.86861314],0
p1,1,0.886241,0.020467,[  4 102] ; [ 1 30],[  3.86861314 102.13138686] ; [ 1.13138686 29.86861314],0
d1,1,0.891483,0.018613,[43 63] ; [13 18],[43.32846715 62.67153285] ; [12.67153285 18.32846715],0
a6,1,0.891483,0.018613,[63 43] ; [18 13],[62.67153285 43.32846715] ; [18.32846715 12.67153285],0
n3,1,0.896505,0.01692,[26 16] ; [9 6],[25.78947368 16.21052632] ; [9.21052632 5.78947368],0
a2,1,0.909894,0.012808,[11 95] ; [ 3 28],[10.83211679 95.16788321] ; [ 3.16788321 27.83211679],0
b5,1,0.92171,0.009659,[66 40] ; [19 12],[65.76642336 40.23357664] ; [19.23357664 11.76642336],0
n5,1,0.936766,0.006294,[35 71] ; [10 21],[34.81751825 71.18248175] ; [10.18248175 20.81751825],0
s2,1,0.979927,0.000633,[37 68] ; [11 20],[37.05882353 67.94117647] ; [10.94117647 20.05882353],0
