Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.000263,13.32062,[23  1] ; [63 49],[15.17647059  8.82352941] ; [70.82352941 41.17647059],1
p7,1,0.000347,12.797464,[16  7] ; [33 77],[ 8.47368421 14.52631579] ; [40.52631579 69.47368421],1
p3,1,0.003428,8.564189,[10 14] ; [17 94],[ 4.8 19.2] ; [22.2 88.8],0
s2,1,0.006959,7.283585,[14 10] ; [33 79],[ 8.29411765 15.70588235] ; [38.70588235 73.29411765],0
s7,1,0.008419,6.942025,[12 10] ; [27 77],[ 6.80952381 15.19047619] ; [32.19047619 71.80952381],0
v2,1,0.013475,6.105719,[14 10] ; [33 72],[ 8.74418605 15.25581395] ; [38.25581395 66.74418605],0
r3,1,0.017292,5.666492,[22  2] ; [75 36],[17.24444444  6.75555556] ; [79.75555556 31.24444444],0
a6,1,0.023561,5.126685,[19  5] ; [60 51],[14.04444444  9.95555556] ; [64.95555556 46.04444444],0
p10,1,0.029629,4.730683,[16  8] ; [46 63],[11.18796992 12.81203008] ; [50.81203008 58.18796992],0
v4,1,0.031204,4.641727,[23  1] ; [84 26],[19.1641791  4.8358209] ; [87.8358209 22.1641791],0
p9,1,0.040014,4.217299,[17  7] ; [50 55],[12.46511628 11.53488372] ; [54.53488372 50.46511628],0
r4,1,0.05322,3.737005,[19  5] ; [65 47],[14.82352941  9.17647059] ; [69.17647059 42.82352941],0
s8,1,0.056132,3.648142,[ 9 14] ; [23 89],[ 5.45185185 17.54814815] ; [26.54814815 85.45185185],0
n3,1,0.09543,2.780312,[7 1] ; [30 23],[4.85245902 3.14754098] ; [32.14754098 20.85245902],0
s5,1,0.11138,2.534537,[ 7 13] ; [21 89],[ 4.30769231 15.69230769] ; [23.69230769 86.30769231],0
n6,1,0.11502,2.483856,[17  7] ; [58 51],[13.53383459 10.46616541] ; [61.46616541 47.53383459],0
n2,1,0.11842,2.438095,[7 1] ; [33 23],[5. 3.] ; [35. 21.],0
u1,1,0.128641,2.308829,[ 5 19] ; [ 11 101],[ 2.82352941 21.17647059] ; [13.17647059 98.82352941],0
r2,1,0.162617,1.949721,[23  1] ; [93 16],[20.93233083  3.06766917] ; [95.06766917 13.93233083],0
s3,1,0.174868,1.840706,[13 11] ; [43 67],[10.02985075 13.97014925] ; [45.97014925 64.02985075],0
u2,1,0.186284,1.746767,[6 4] ; [14 24],[4.16666667 5.83333333] ; [15.83333333 22.16666667],0
p2,1,0.237134,1.397551,[14 10] ; [50 61],[11.37777778 12.62222222] ; [52.62222222 58.37777778],0
n4,1,0.250778,1.318964,[17  7] ; [64 46],[14.50746269  9.49253731] ; [66.49253731 43.50746269],0
p8,1,0.252082,1.311728,[ 7 17] ; [21 91],[ 4.94117647 19.05882353] ; [23.05882353 88.94117647],0
v1,1,0.283924,1.148212,[11 13] ; [38 73],[ 8.71111111 15.28888889] ; [40.28888889 70.71111111],0
b4,1,0.312037,1.022035,[11 13] ; [64 48],[13.23529412 10.76470588] ; [61.76470588 50.23529412],0
a1,1,0.322165,0.980136,[ 1 23] ; [ 12 100],[ 2.29411765 21.70588235] ; [ 10.70588235 101.29411765],0
a4,1,0.396643,0.71848,[ 8 16] ; [47 63],[ 9.85074627 14.14925373] ; [45.14925373 64.85074627],0
a7,1,0.403013,0.699319,[17  6] ; [72 39],[15.2761194  7.7238806] ; [73.7238806 37.2761194],0
b2,1,0.471288,0.518955,[5 5] ; [22 36],[3.97058824 6.02941176] ; [23.02941176 34.97058824],0
b3,1,0.471288,0.518955,[5 5] ; [22 36],[3.97058824 6.02941176] ; [23.02941176 34.97058824],0
a3,1,0.47374,0.51324,[14 10] ; [72 37],[15.51879699  8.48120301] ; [70.48120301 38.51879699],0
r1,1,0.503231,0.448117,[17  7] ; [70 40],[15.58208955  8.41791045] ; [71.41791045 38.58208955],0
d4,1,0.568846,0.324617,[17  7] ; [84 26],[18.08955224  5.91044776] ; [82.91044776 27.08955224],0
s6,1,0.572973,0.317734,[11 12] ; [46 65],[ 9.78358209 13.21641791] ; [47.21641791 63.78358209],0
p1,1,0.573888,0.31622,[ 2 22] ; [  6 106],[ 1.41176471 22.58823529] ; [  6.58823529 105.41176471],0
n5,1,0.581694,0.303505,[15  9] ; [62 48],[13.79104478 10.20895522] ; [63.20895522 46.79104478],0
n1,1,0.591409,0.28815,[4 4] ; [22 33],[3.3015873 4.6984127] ; [22.6984127 32.3015873],0
a2,1,0.600578,0.274124,[ 4 20] ; [24 88],[ 4.94117647 19.05882353] ; [23.05882353 88.94117647],0
a8,1,0.634533,0.225963,[ 3 20] ; [10 93],[ 2.37301587 20.62698413] ; [10.62698413 92.37301587],0
a5,1,0.667883,0.184089,[13 11] ; [66 46],[13.94117647 10.05882353] ; [65.05882353 46.94117647],0
v3,1,0.729081,0.119957,[ 7 17] ; [27 78],[ 6.3255814 17.6744186] ; [27.6744186 77.3255814],0
u3,1,0.768278,0.086806,[4 6] ; [14 26],[3.6 6.4] ; [14.4 25.6],0
b1,1,0.770885,0.084807,[13 11] ; [57 55],[12.35294118 11.64705882] ; [57.64705882 54.35294118],0
d5,1,0.80819,0.058933,[16  7] ; [80 31],[16.47761194  6.52238806] ; [79.52238806 31.47761194],0
s4,1,0.813792,0.055478,[ 5 19] ; [21 91],[ 4.58823529 19.41176471] ; [21.41176471 90.58823529],0
d2,1,0.83469,0.043552,[11 13] ; [53 57],[11.46268657 12.53731343] ; [52.53731343 57.46268657],0
s1,1,0.848514,0.036486,[ 2 22] ; [  8 103],[ 1.77777778 22.22222222] ; [  8.22222222 102.77777778],0
d1,1,0.894554,0.017568,[11 13] ; [53 59],[11.29411765 12.70588235] ; [52.70588235 59.29411765],0
d3,1,0.97187,0.001243,[12 10] ; [61 50],[12.07518797  9.92481203] ; [60.92481203 50.07518797],0
