Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1e-06,24.145108,[42 33] ; [79  9],[55.67484663 19.32515337] ; [65.32515337 22.67484663],1
r4,1,2.4e-05,17.839369,[34 42] ; [69 21],[47.15662651 28.84337349] ; [55.84337349 34.15662651],1
p7,1,3.6e-05,17.067903,[19 55] ; [51 37],[31.97530864 42.02469136] ; [38.02469136 49.97530864],1
p9,1,5.5e-05,16.257219,[22 49] ; [55 32],[34.60126582 36.39873418] ; [42.39873418 44.60126582],1
v4,1,7.9e-05,15.571654,[47 28] ; [79 10],[57.62195122 17.37804878] ; [68.37804878 20.62195122],1
p4,1,0.000333,12.876642,[15 59] ; [42 47],[25.87730061 48.12269939] ; [31.12269939 57.87730061],1
p10,1,0.002241,9.340614,[20 53] ; [45 43],[29.47204969 43.52795031] ; [35.52795031 52.47204969],0
p6,1,0.002254,9.329938,[ 7 67] ; [25 62],[14.70807453 59.29192547] ; [17.29192547 69.70807453],0
a1,1,0.00342,8.568509,[11 65] ; [ 2 88],[ 5.95180723 70.04819277] ; [ 7.04819277 82.95180723],0
p8,1,0.003743,8.404603,[13 62] ; [33 54],[21.2962963 53.7037037] ; [24.7037037 62.2962963],0
n6,1,0.00416,8.212552,[33 42] ; [59 30],[42.07317073 32.92682927] ; [49.92682927 39.07317073],0
r1,1,0.004829,7.942535,[36 39] ; [62 27],[44.81707317 30.18292683] ; [53.18292683 35.81707317],0
s1,1,0.005576,7.682326,[12 63] ; [ 3 85],[ 6.90184049 68.09815951] ; [ 8.09815951 79.90184049],0
p3,1,0.005638,7.662539,[15 60] ; [36 54],[23.18181818 51.81818182] ; [27.81818182 62.18181818],0
v1,1,0.005763,7.623078,[17 59] ; [38 51],[25.33333333 50.66666667] ; [29.66666667 59.33333333],0
b2,1,0.006058,7.53299,[22 25] ; [ 7 31],[16.03529412 30.96470588] ; [12.96470588 25.03529412],0
b3,1,0.006058,7.53299,[22 25] ; [ 7 31],[16.03529412 30.96470588] ; [12.96470588 25.03529412],0
n3,1,0.007711,7.099356,[14 19] ; [24  8],[19.29230769 13.70769231] ; [18.70769231 13.29230769],0
d3,1,0.015083,5.906696,[38 37] ; [61 27],[45.55214724 29.44785276] ; [53.44785276 34.55214724],0
s6,1,0.015102,5.904529,[25 51] ; [46 43],[32.7030303 43.2969697] ; [38.2969697 50.7030303],0
r2,1,0.019016,5.500028,[55 17] ; [81  9],[60.44444444 11.55555556] ; [75.55555556 14.44444444],0
p1,1,0.025069,5.019079,[ 8 68] ; [ 2 88],[ 4.57831325 71.42168675] ; [ 5.42168675 84.57831325],0
n2,1,0.052079,3.773237,[17 18] ; [23  9],[20.89552239 14.10447761] ; [19.10447761 12.89552239],0
s2,1,0.096715,2.758901,[18 58] ; [32 58],[22.89156627 53.10843373] ; [27.10843373 62.89156627],0
s5,1,0.114814,2.486679,[ 9 64] ; [19 68],[12.775 60.225] ; [15.225 71.775],0
n4,1,0.141677,2.159647,[39 36] ; [57 33],[43.63636364 31.36363636] ; [52.36363636 37.63636364],0
s7,1,0.141729,2.159084,[12 58] ; [23 62],[15.80645161 54.19354839] ; [19.19354839 65.80645161],0
