Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,5.4e-05,16.313205,[87  2] ; [6 3],[84.45918367  4.54081633] ; [8.54081633 0.45918367],1
s3,1,0.001764,9.779841,[57 31] ; [1 8],[52.6185567 35.3814433] ; [5.3814433 3.6185567],0
r1,1,0.003668,8.441053,[76 14] ; [4 5],[72.72727273 17.27272727] ; [7.27272727 1.72727273],0
r4,1,0.015276,5.884382,[83  7] ; [6 3],[80.90909091  9.09090909] ; [8.09090909 0.90909091],0
s8,1,0.015799,5.825077,[56 32] ; [2 7],[52.6185567 35.3814433] ; [5.3814433 3.6185567],0
s7,1,0.036695,4.364522,[62 23] ; [3 5],[59.40860215 25.59139785] ; [5.59139785 2.40860215],0
n4,1,0.040858,4.181897,[81  9] ; [6 3],[79.09090909 10.90909091] ; [7.90909091 1.09090909],0
p6,1,0.060455,3.524864,[58 31] ; [3 6],[55.39795918 33.60204082] ; [5.60204082 3.39795918],0
r3,1,0.065296,3.397484,[84  5] ; [7 2],[82.64285714  6.35714286] ; [8.35714286 0.64285714],0
a7,1,0.069417,3.296749,[66 24] ; [4 5],[63.63636364 26.36363636] ; [6.36363636 2.63636364],0
n2,1,0.070645,3.267974,[14  3] ; [1 2],[12.75  4.25] ; [2.25 0.75],0
s2,1,0.148262,2.09004,[52 37] ; [3 6],[49.94897959 39.05102041] ; [5.05102041 3.94897959],0
n5,1,0.265953,1.2375,[81  9] ; [7 2],[80. 10.] ; [8. 1.],0
p8,1,0.303461,1.058924,[73 17] ; [6 3],[71.81818182 18.18181818] ; [7.18181818 1.81818182],0
d5,1,0.312698,1.019245,[72 17] ; [6 3],[70.83673469 18.16326531] ; [7.16326531 1.83673469],0
p7,1,0.322229,0.979878,[71 17] ; [6 3],[69.8556701 18.1443299] ; [7.1443299 1.8556701],0
p4,1,0.33798,0.918077,[79 10] ; [7 2],[78.10204082 10.89795918] ; [7.89795918 1.10204082],0
v1,1,0.369681,0.804737,[61 26] ; [5 4],[59.8125 27.1875] ; [6.1875 2.8125],0
b2,1,0.373737,0.791201,[31 34] ; [4 2],[32.04225352 32.95774648] ; [2.95774648 3.04225352],0
b3,1,0.373737,0.791201,[31 34] ; [4 2],[32.04225352 32.95774648] ; [2.95774648 3.04225352],0
d2,1,0.390772,0.736538,[46 43] ; [6 3],[47.2244898 41.7755102] ; [4.7755102 4.2244898],0
n3,1,0.413247,0.669439,[10  7] ; [1 2],[9.35 7.65] ; [1.65 1.35],0
d3,1,0.428618,0.626565,[61 28] ; [5 4],[59.93877551 29.06122449] ; [6.06122449 2.93877551],0
v3,1,0.453284,0.562428,[50 37] ; [4 5],[48.9375 38.0625] ; [5.0625 3.9375],0
p3,1,0.463746,0.536838,[69 20] ; [6 3],[68.1122449 20.8877551] ; [6.8877551 2.1122449],0
a2,1,0.476209,0.507532,[19 71] ; [1 8],[18.18181818 71.81818182] ; [1.81818182 7.18181818],0
u1,1,0.518517,0.416842,[18 72] ; [1 8],[17.27272727 72.72727273] ; [1.72727273 7.27272727],0
a4,1,0.521397,0.41113,[40 50] ; [3 6],[39.09090909 50.90909091] ; [3.90909091 5.09090909],0
d1,1,0.597118,0.279365,[58 32] ; [5 4],[57.27272727 32.72727273] ; [5.72727273 3.27272727],0
u3,1,0.636302,0.223611,[14  7] ; [1 1],[13.69565217  7.30434783] ; [1.30434783 0.69565217],0
p1,1,0.671996,0.179276,[26 64] ; [2 7],[25.45454545 64.54545455] ; [2.54545455 6.45454545],0
b4,1,0.69634,0.152308,[54 36] ; [6 3],[54.54545455 35.45454545] ; [5.45454545 3.54545455],0
p12,1,0.740016,0.110112,[25 64] ; [3 6],[25.42857143 63.57142857] ; [2.57142857 6.42857143],0
s6,1,0.747449,0.103688,[69 15] ; [7 2],[68.64516129 15.35483871] ; [7.35483871 1.64516129],0
d4,1,0.775188,0.081565,[76 13] ; [8 1],[76.28571429 12.71428571] ; [7.71428571 1.28571429],0
a6,1,0.824227,0.049333,[56 33] ; [6 3],[56.30612245 32.69387755] ; [5.69387755 3.30612245],0
v2,1,0.85907,0.031527,[51 36] ; [5 4],[50.75 36.25] ; [5.25 3.75],0
b1,1,0.897664,0.016541,[38 52] ; [4 5],[38.18181818 51.81818182] ; [3.81818182 5.18181818],0
b5,1,0.898586,0.016243,[42 48] ; [4 5],[41.81818182 48.18181818] ; [4.18181818 4.81818182],0
s5,1,0.903515,0.014695,[53 29] ; [6 3],[53.16483516 28.83516484] ; [5.83516484 3.16483516],0
a1,1,0.922425,0.009483,[11 79] ; [1 8],[10.90909091 79.09090909] ; [1.09090909 7.90909091],0
p2,1,0.924848,0.008898,[80  9] ; [8 1],[79.91836735  9.08163265] ; [8.08163265 0.91836735],0
a5,1,0.938033,0.006044,[71 19] ; [7 2],[70.90909091 19.09090909] ; [7.09090909 1.90909091],0
a3,1,0.94001,0.005664,[69 21] ; [7 2],[69.09090909 20.90909091] ; [6.90909091 2.09090909],0
a8,1,0.942092,0.005277,[11 71] ; [1 7],[10.93333333 71.06666667] ; [1.06666667 6.93333333],0
