Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,74.915393,[ 52 113] ; [275 112],[97.74456522 67.25543478] ; [229.25543478 157.74456522],1
p3,1,0.0,41.412656,[ 58 106] ; [255 137],[92.32374101 71.67625899] ; [220.67625899 171.32374101],1
p6,1,0.0,40.473035,[ 32 131] ; [190 200],[65.4358047 97.5641953] ; [156.5641953 233.4358047],1
p4,1,0.0,27.149863,[87 78] ; [294  97],[113.06654676  51.93345324] ; [267.93345324 123.06654676],1
s8,1,6e-06,20.513541,[ 54 109] ; [211 178],[78.25181159 84.74818841] ; [186.74818841 202.25181159],1
p10,1,2.9e-05,17.479618,[126  38] ; [351  38],[141.46112116  22.53887884] ; [335.53887884  53.46112116],1
s5,1,8e-05,15.568732,[ 37 118] ; [160 221],[56.96828358 98.03171642] ; [140.03171642 240.96828358],1
s7,1,0.002548,9.10589,[67 88] ; [216 159],[82.76415094 72.23584906] ; [200.23584906 174.76415094],0
v3,1,0.003684,8.433117,[ 51 110] ; [171 208],[66.18888889 94.81111111] ; [155.81111111 223.18888889],0
r4,1,0.00525,7.791261,[145  20] ; [371  21],[152.8545781  12.1454219] ; [363.1454219  28.8545781],0
r1,1,0.0065,7.406141,[131  33] ; [344  44],[141.12318841  22.87681159] ; [333.87681159  54.12318841],0
a1,1,0.007511,7.146531,[  2 163] ; [ 26 366],[  8.29443447 156.70556553] ; [ 19.70556553 372.29443447],0
p5,1,0.007622,7.120204,[ 11 154] ; [ 58 333],[ 20.47661871 144.52338129] ; [ 48.52338129 342.47661871],0
p9,1,0.009586,6.710315,[137  26] ; [356  33],[145.57789855  17.42210145] ; [347.42210145  41.57789855],0
a3,1,0.012737,6.205311,[122  43] ; [325  66],[132.6528777  32.3471223] ; [314.3471223  76.6528777],0
a2,1,0.022691,5.191997,[ 41 124] ; [136 256],[ 52.43267504 112.56732496] ; [124.56732496 267.43267504],0
s6,1,0.041468,4.156804,[103  59] ; [275 105],[112.98154982  49.01845018] ; [265.01845018 114.98154982],0
n6,1,0.043793,4.064538,[136  28] ; [346  42],[143.20289855  20.79710145] ; [338.79710145  49.20289855],0
d3,1,0.055726,3.660233,[113  52] ; [299  93],[122.04667864  42.95332136] ; [289.95332136 102.04667864],0
n3,1,0.071849,3.240261,[31 15] ; [55 12],[35.00884956 10.99115044] ; [50.99115044 16.00884956],0
b1,1,0.073121,3.211536,[ 54 111] ; [160 232],[ 63.39317774 101.60682226] ; [150.60682226 241.39317774],0
u1,1,0.074122,3.189297,[ 29 136] ; [ 96 296],[ 37.02872531 127.97127469] ; [ 87.97127469 304.02872531],0
b3,1,0.094172,2.801576,[33 65] ; [107 139],[39.88372093 58.11627907] ; [100.11627907 145.88372093],0
b2,1,0.094172,2.801576,[33 65] ; [107 139],[39.88372093 58.11627907] ; [100.11627907 145.88372093],0
a8,1,0.100946,2.690536,[ 16 132] ; [ 58 293],[ 21.94789579 126.05210421] ; [ 52.05210421 298.94789579],0
p11,1,0.109974,2.55459,[132  33] ; [335  57],[138.33931777  26.66068223] ; [328.66068223  63.33931777],0
d1,1,0.123776,2.368873,[103  62] ; [271 121],[110.78994614  54.21005386] ; [263.21005386 128.78994614],0
r3,1,0.125949,2.341737,[155   9] ; [378  11],[158.06871609   5.93128391] ; [374.93128391  14.06871609],0
v2,1,0.171506,1.869733,[90 72] ; [235 145],[97.1402214 64.8597786] ; [227.8597786 152.1402214],0
v4,1,0.180889,1.790304,[155   9] ; [375  12],[157.74954628   6.25045372] ; [372.25045372  14.74954628],0
s3,1,0.207733,1.587157,[86 77] ; [225 159],[92.67458867 70.32541133] ; [218.32541133 165.67458867],0
b4,1,0.213942,1.544545,[102  63] ; [220 172],[95.38599641 69.61400359] ; [226.61400359 165.38599641],0
n5,1,0.22199,1.491458,[122  42] ; [307  81],[127.45652174  36.54347826] ; [301.54347826  86.45652174],0
b5,1,0.241448,1.372119,[106  59] ; [231 161],[99.82944345 65.17055655] ; [237.17055655 154.82944345],0
d5,1,0.269584,1.218863,[139  26] ; [343  48],[143.03956835  21.96043165] ; [338.96043165  52.03956835],0
v1,1,0.278514,1.174327,[87 71] ; [232 154],[92.65073529 65.34926471] ; [226.34926471 159.65073529],0
a6,1,0.348142,0.880217,[116  49] ; [290 101],[120.48561151  44.51438849] ; [285.51438849 105.48561151],0
s1,1,0.375555,0.7852,[  6 157] ; [  9 377],[  4.45355191 158.54644809] ; [ 10.54644809 375.45355191],0
p12,1,0.422655,0.64292,[ 12 151] ; [ 37 353],[ 14.44303797 148.55696203] ; [ 34.55696203 355.44303797],0
n1,1,0.472589,0.515915,[18 27] ; [22 44],[16.21621622 28.78378378] ; [23.78378378 42.21621622],0
u3,1,0.48549,0.486506,[27 16] ; [37 29],[25.24770642 17.75229358] ; [38.75229358 27.24770642],0
d4,1,0.520733,0.412442,[141  24] ; [342  49],[143.33633094  21.66366906] ; [339.66366906  51.33633094],0
s4,1,0.522527,0.408903,[ 23 140] ; [ 63 324],[ 25.48727273 137.51272727] ; [ 60.51272727 326.48727273],0
p1,1,0.528053,0.398138,[ 12 152] ; [ 35 356],[ 13.88828829 150.11171171] ; [ 33.11171171 357.88828829],0
r2,1,0.593816,0.284425,[158   6] ; [367  18],[156.83060109   7.16939891] ; [368.16939891  16.83060109],0
u4,1,0.598157,0.277784,[  3 162] ; [ 10 381],[  3.85791367 161.14208633] ; [  9.14208633 381.85791367],0
n4,1,0.629936,0.232147,[139  26] ; [322  68],[137.05405405  27.94594595] ; [323.94594595  66.05405405],0
a4,1,0.654465,0.200318,[85 80] ; [209 181],[87.40540541 77.59459459] ; [206.59459459 183.40540541],0
s2,1,0.660441,0.192989,[83 78] ; [208 180],[85.33879781 75.66120219] ; [205.66120219 182.33879781],0
u2,1,0.855957,0.032951,[24 19] ; [38 28],[24.4587156 18.5412844] ; [37.5412844 28.4587156],0
n2,1,0.859805,0.031196,[35 11] ; [50 17],[34.60176991 11.39823009] ; [50.39823009 16.60176991],0
a7,1,0.869735,0.026894,[124  41] ; [292 100],[123.23159785  41.76840215] ; [292.76840215  99.23159785],0
d2,1,0.880693,0.022527,[93 71] ; [225 167],[93.79856115 70.20143885] ; [224.20143885 167.79856115],0
