Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,8.3e-05,15.490349,[71  7] ; [1 3],[68.48780488  9.51219512] ; [3.51219512 0.48780488],1
s6,1,0.000263,13.319465,[68  8] ; [1 3],[65.55 10.45] ; [3.45 0.55],1
v4,1,0.000776,11.296671,[74  4] ; [2 2],[72.29268293  5.70731707] ; [3.70731707 0.29268293],1
s3,1,0.016703,5.727297,[60 17] ; [1 3],[57.98765432 19.01234568] ; [3.01234568 0.98765432],0
a7,1,0.130445,2.287196,[49 29] ; [1 3],[47.56097561 30.43902439] ; [2.43902439 1.56097561],0
s1,1,0.16379,1.938878,[ 5 73] ; [1 3],[ 5.70731707 72.29268293] ; [0.29268293 3.70731707],0
r1,1,0.164649,1.931001,[62 16] ; [2 2],[60.87804878 17.12195122] ; [3.12195122 0.87804878],0
p11,1,0.22136,1.495533,[60 18] ; [2 2],[58.97560976 19.02439024] ; [3.02439024 0.97560976],0
s7,1,0.22642,1.46321,[51 25] ; [1 2],[50.02531646 25.97468354] ; [1.97468354 1.02531646],0
r2,1,0.226965,1.45978,[72  6] ; [3 1],[71.34146341  6.65853659] ; [3.65853659 0.34146341],0
s5,1,0.243042,1.362865,[39 32] ; [1 3],[37.86666667 33.13333333] ; [2.13333333 1.86666667],0
a4,1,0.305212,1.051282,[38 40] ; [3 1],[39. 39.] ; [2. 2.],0
s2,1,0.39546,0.722087,[54 23] ; [2 2],[53.2345679 23.7654321] ; [2.7654321 1.2345679],0
v1,1,0.406984,0.687595,[42 36] ; [3 1],[42.80487805 35.19512195] ; [2.19512195 1.80487805],0
p8,1,0.456274,0.55502,[53 25] ; [2 2],[52.31707317 25.68292683] ; [2.68292683 1.31707317],0
v3,1,0.50566,0.443037,[26 51] ; [2 2],[26.61728395 50.38271605] ; [1.38271605 2.61728395],0
a6,1,0.606042,0.265979,[49 29] ; [2 2],[48.51219512 29.48780488] ; [2.48780488 1.51219512],0
p2,1,0.60759,0.2637,[66 12] ; [3 1],[65.63414634 12.36585366] ; [3.36585366 0.63414634],0
p4,1,0.60759,0.2637,[66 12] ; [3 1],[65.63414634 12.36585366] ; [3.36585366 0.63414634],0
p9,1,0.665741,0.186625,[65 13] ; [3 1],[64.68292683 13.31707317] ; [3.31707317 0.68292683],0
d1,1,0.692455,0.156441,[51 27] ; [3 1],[51.36585366 26.63414634] ; [2.63414634 1.36585366],0
n6,1,0.722013,0.126572,[64 14] ; [3 1],[63.73170732 14.26829268] ; [3.26829268 0.73170732],0
p10,1,0.722013,0.126572,[64 14] ; [3 1],[63.73170732 14.26829268] ; [3.26829268 0.73170732],0
p6,1,0.722345,0.126257,[46 32] ; [2 2],[45.65853659 32.34146341] ; [2.34146341 1.65853659],0
p7,1,0.776435,0.080638,[63 15] ; [3 1],[62.7804878 15.2195122] ; [3.2195122 0.7804878],0
b5,1,0.801073,0.063483,[44 34] ; [2 2],[43.75609756 34.24390244] ; [2.24390244 1.75609756],0
d2,1,0.801073,0.063483,[44 34] ; [2 2],[43.75609756 34.24390244] ; [2.24390244 1.75609756],0
v2,1,0.858772,0.031662,[35 42] ; [2 2],[35.17283951 41.82716049] ; [1.82716049 2.17283951],0
a3,1,0.889317,0.019368,[56 22] ; [3 1],[56.12195122 21.87804878] ; [2.87804878 1.12195122],0
n5,1,0.932529,0.007168,[57 21] ; [3 1],[57.07317073 20.92682927] ; [2.92682927 1.07317073],0
n4,1,0.977146,0.000821,[58 20] ; [3 1],[58.02439024 19.97560976] ; [2.97560976 1.02439024],0
