Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2.2e-05,18.016225,[103 186] ; [37 19],[117.27536232 171.72463768] ; [22.72463768 33.27536232],1
s5,1,0.000823,11.189737,[ 50 230] ; [20 32],[ 59.03614458 220.96385542] ; [10.96385542 41.03614458],1
s6,1,0.001116,10.624538,[144 147] ; [41 15],[155.14409222 135.85590778] ; [29.85590778 26.14409222],0
s3,1,0.002896,8.87202,[120 168] ; [36 21],[130.22608696 157.77391304] ; [25.77391304 31.22608696],0
d3,1,0.055256,3.674334,[174 118] ; [43 16],[180.52421652 111.47578348] ; [36.47578348 22.52421652],0
v3,1,0.073198,3.2098,[ 90 186] ; [12 46],[ 84.28742515 191.71257485] ; [17.71257485 40.28742515],0
s1,1,0.077797,3.11033,[ 10 279] ; [ 5 53],[ 12.49279539 276.50720461] ; [ 2.50720461 55.49279539],0
b5,1,0.104579,2.634289,[175 117] ; [42 17],[180.52421652 111.47578348] ; [36.47578348 22.52421652],0
p8,1,0.106687,2.602621,[ 68 223] ; [ 8 50],[ 63.36962751 227.63037249] ; [12.63037249 45.36962751],0
b3,1,0.108766,2.572062,[ 66 100] ; [ 7 22],[ 62.14358974 103.85641026] ; [10.85641026 18.14358974],0
b2,1,0.108766,2.572062,[ 66 100] ; [ 7 22],[ 62.14358974 103.85641026] ; [10.85641026 18.14358974],0
n4,1,0.133942,2.246213,[207  85] ; [36 23],[202.15384615  89.84615385] ; [40.84615385 18.15384615],0
p2,1,0.137013,2.21119,[193  99] ; [33 26],[188.01139601 103.98860399] ; [37.98860399 21.01139601],0
b1,1,0.138479,2.194775,[114 178] ; [17 42],[108.98005698 183.01994302] ; [22.01994302 36.98005698],0
s7,1,0.156297,2.009695,[ 91 185] ; [24 32],[ 95.60240964 180.39759036] ; [19.39759036 36.60240964],0
n5,1,0.183968,1.765273,[194  97] ; [34 25],[189.56571429 101.43428571] ; [38.43428571 20.56571429],0
v2,1,0.199242,1.64792,[135 141] ; [23 35],[130.56287425 145.43712575] ; [27.43712575 30.56287425],0
p11,1,0.214505,1.540761,[193  99] ; [34 25],[188.84330484 103.15669516] ; [38.15669516 20.84330484],0
a6,1,0.234469,1.413546,[192 100] ; [34 25],[188.01139601 103.98860399] ; [37.98860399 21.01139601],0
u3,1,0.276961,1.181941,[57 49] ; [14  7],[59.25984252 46.74015748] ; [11.74015748  9.25984252],0
a8,1,0.290309,1.11819,[ 28 243] ; [ 3 50],[ 25.92901235 245.07098765] ; [ 5.07098765 47.92901235],0
d5,1,0.318587,0.99474,[221  71] ; [41 18],[217.96011396  74.03988604] ; [44.03988604 14.96011396],0
p12,1,0.327121,0.960262,[ 20 271] ; [ 2 56],[ 18.34383954 272.65616046] ; [ 3.65616046 54.34383954],0
r2,1,0.332968,0.937319,[258  33] ; [53  4],[260.06034483  30.93965517] ; [50.93965517  6.06034483],0
n1,1,0.357928,0.84515,[40 58] ; [ 7 16],[38.0661157 59.9338843] ; [ 8.9338843 14.0661157],0
v1,1,0.37425,0.789503,[118 164] ; [21 38],[114.95014663 167.04985337] ; [24.04985337 34.95014663],0
r4,1,0.375595,0.785071,[222  70] ; [48 11],[224.61538462  67.38461538] ; [45.38461538 13.61538462],0
u1,1,0.378821,0.774526,[ 37 255] ; [10 49],[ 39.0997151 252.9002849] ; [ 7.9002849 51.0997151],0
v4,1,0.379772,0.77144,[249  43] ; [52  6],[251.12  40.88] ; [49.88  8.12],0
