Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,3e-06,21.635704,[66 14] ; [59 59],[50.50505051 29.49494949] ; [74.49494949 43.50505051],1
p3,1,0.000681,11.541024,[53 29] ; [47 70],[41.20603015 40.79396985] ; [58.79396985 58.20603015],1
s2,1,0.000796,11.250153,[53 30] ; [47 71],[41.29353234 41.70646766] ; [58.70646766 59.29353234],1
r4,1,0.001658,9.893858,[75  8] ; [86 33],[66.15346535 16.84653465] ; [94.84653465 24.15346535],0
p7,1,0.002268,9.318839,[62 19] ; [63 51],[51.92307692 29.07692308] ; [73.07692308 40.92307692],0
s3,1,0.002355,9.250321,[57 26] ; [55 62],[46.48 36.52] ; [65.52 51.48],0
s4,1,0.003415,8.571118,[23 59] ; [ 14 105],[15.09452736 66.90547264] ; [21.90547264 97.09452736],0
p6,1,0.005109,7.840584,[36 44] ; [29 84],[26.94300518 53.05699482] ; [38.05699482 74.94300518],0
b5,1,0.01357,6.093292,[28 55] ; [61 58],[36.56930693 46.43069307] ; [52.43069307 66.56930693],0
p5,1,0.02528,5.004588,[15 67] ; [  9 107],[ 9.93939394 72.06060606] ; [ 14.06060606 101.93939394],0
p10,1,0.028342,4.807152,[68 14] ; [81 36],[61.39698492 20.60301508] ; [87.60301508 29.39698492],0
p4,1,0.034582,4.465714,[51 31] ; [54 61],[43.70558376 38.29441624] ; [61.29441624 53.70558376],0
v1,1,0.041729,4.146154,[52 29] ; [58 59],[45. 36.] ; [65. 52.],0
d5,1,0.042023,4.13429,[74  9] ; [93 26],[68.61881188 14.38118812] ; [98.38118812 20.61881188],0
v4,1,0.04551,3.999655,[77  6] ; [99 20],[72.31683168 10.68316832] ; [103.68316832  15.31683168],0
p12,1,0.056747,3.629996,[ 7 74] ; [  3 113],[ 4.11167513 76.88832487] ; [  5.88832487 110.11167513],0
p9,1,0.065826,3.384162,[71 11] ; [89 28],[65.92964824 16.07035176] ; [94.07035176 22.92964824],0
b4,1,0.066211,3.374539,[52 31] ; [59 60],[45.60891089 37.39108911] ; [65.39108911 53.60891089],0
s8,1,0.067532,3.342,[45 38] ; [49 70],[38.62376238 44.37623762] ; [55.37623762 63.62376238],0
r1,1,0.079212,3.08099,[67 16] ; [83 36],[61.63366337 21.36633663] ; [88.36633663 30.63366337],0
n2,1,0.081984,3.025126,[17  3] ; [22 13],[14.18181818  5.81818182] ; [24.81818182 10.18181818],0
r2,1,0.101671,2.679131,[77  6] ; [98 17],[73.35858586  9.64141414] ; [101.64141414  13.35858586],0
a5,1,0.102835,2.661015,[67 16] ; [84 35],[62.04455446 20.95544554] ; [88.95544554 30.04455446],0
a2,1,0.120424,2.411794,[10 73] ; [  7 112],[ 6.98514851 76.01485149] ; [ 10.01485149 108.98514851],0
r3,1,0.123383,2.373841,[78  5] ; [104  15],[74.78217822  8.21782178] ; [107.21782178  11.78217822],0
p1,1,0.126101,2.33986,[ 9 74] ; [  6 112],[ 6.19402985 76.80597015] ; [  8.80597015 109.19402985],0
p8,1,0.134598,2.238659,[44 37] ; [50 65],[38.84693878 42.15306122] ; [55.15306122 59.84693878],0
s1,1,0.139611,2.182244,[ 1 82] ; [  6 112],[ 2.89054726 80.10945274] ; [  4.10945274 113.89054726],0
u3,1,0.148111,2.091601,[11  7] ; [11 17],[8.60869565 9.39130435] ; [13.39130435 14.60869565],0
n6,1,0.159033,1.9834,[69 12] ; [91 27],[65.12562814 15.87437186] ; [94.87437186 23.12562814],0
s7,1,0.178085,1.813531,[47 34] ; [54 58],[42.38860104 38.61139896] ; [58.61139896 53.38860104],0
