Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,35.297696,[62 44] ; [392  73],[84.28021016 21.71978984] ; [369.71978984  95.28021016],1
p7,1,0.0,34.991128,[34 69] ; [299 163],[60.70619469 42.29380531] ; [272.29380531 189.70619469],1
p8,1,0.0,34.335433,[25 84] ; [250 212],[52.49562172 56.50437828] ; [222.50437828 239.49562172],1
p4,1,0.0,30.492402,[32 75] ; [278 190],[57.68695652 49.31304348] ; [252.31304348 215.68695652],1
p10,1,0.0,27.352631,[61 47] ; [373  91],[81.94405594 26.05594406] ; [352.05594406 111.94405594],1
p11,1,0.0,27.35035,[64 45] ; [385  85],[84.52677029 24.47322971] ; [364.47322971 105.52677029],1
r3,1,1.5e-05,18.775163,[93 16] ; [451  18],[102.58823529   6.41176471] ; [441.41176471  27.58823529],1
p6,1,0.000172,14.111202,[16 91] ; [155 309],[32.04378284 74.95621716] ; [138.95621716 325.04378284],1
p3,1,0.000669,11.572154,[31 77] ; [219 250],[46.79376083 61.20623917] ; [203.20623917 265.79376083],1
v1,1,0.001368,10.247924,[36 70] ; [234 223],[50.8348135 55.1651865] ; [219.1651865 237.8348135],0
n4,1,0.004024,8.27274,[68 41] ; [356 113],[79.95847751 29.04152249] ; [344.04152249 124.95847751],0
d3,1,0.004287,8.157878,[60 48] ; [327 141],[72.5625 35.4375] ; [314.4375 153.5625],0
n6,1,0.006575,7.385593,[78 31] ; [389  80],[88.06747405 20.93252595] ; [378.93252595  90.06747405],0
r4,1,0.006784,7.329306,[88 21] ; [423  47],[96.19861831 12.80138169] ; [414.80138169  55.19861831],0
d5,1,0.014994,5.917136,[75 33] ; [376  93],[84.41594454 23.58405546] ; [366.58405546 102.41594454],0
b1,1,0.016073,5.79483,[53 56] ; [170 300],[41.98100173 67.01899827] ; [181.01899827 288.98100173],0
a7,1,0.016655,5.732372,[71 38] ; [357 111],[80.85268631 28.14731369] ; [347.14731369 120.85268631],0
s6,1,0.02498,5.0253,[50 59] ; [269 197],[60.47130435 48.52869565] ; [258.52869565 207.47130435],0
