Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,83.150394,[ 17 130] ; [103  64],[56.17834395 90.82165605] ; [ 63.82165605 103.17834395],1
s3,1,0.0,70.075631,[ 29 118] ; [111  55],[65.75079872 81.24920128] ; [74.24920128 91.75079872],1
s8,1,0.0,49.896936,[ 14 135] ; [76 92],[ 42.30283912 106.69716088] ; [ 47.69716088 120.30283912],1
s7,1,0.0,41.0448,[ 20 120] ; [79 82],[46.04651163 93.95348837] ; [ 52.95348837 108.04651163],1
r4,1,0.0,31.768627,[92 57] ; [150  19],[113.38993711  35.61006289] ; [128.61006289  40.38993711],1
s5,1,0.0,28.945906,[ 12 131] ; [ 55 107],[ 31.41311475 111.58688525] ; [ 35.58688525 126.41311475],1
p4,1,6e-06,20.459495,[ 33 116] ; [78 90],[52.17350158 96.82649842] ; [ 58.82649842 109.17350158],1
n6,1,9e-06,19.671097,[93 55] ; [143  26],[110.1829653  37.8170347] ; [125.8170347  43.1829653],1
v4,1,1.5e-05,18.684896,[113  35] ; [158  11],[126.52365931  21.47634069] ; [144.47634069  24.52365931],1
p9,1,6.3e-05,16.022919,[84 59] ; [133  34],[100.1  42.9] ; [116.9  50.1],1
r1,1,0.000152,14.347244,[91 58] ; [135  33],[106.22712934  42.77287066] ; [119.77287066  48.22712934],1
r3,1,0.000172,14.112963,[115  32] ; [157  12],[126.53164557  20.46835443] ; [145.46835443  23.53164557],1
p12,1,0.0002,13.83009,[  1 146] ; [ 18 151],[  8.83860759 138.16139241] ; [ 10.16139241 158.83860759],1
s4,1,0.00026,13.340107,[ 11 138] ; [ 37 130],[ 22.63291139 126.36708861] ; [ 25.36708861 141.63291139],1
v1,1,0.000584,11.826271,[ 44 102] ; [80 82],[58.77922078 87.22077922] ; [65.22077922 96.77922078],1
p3,1,0.000747,11.368513,[ 26 122] ; [ 58 111],[ 39.21766562 108.78233438] ; [ 44.78233438 124.21766562],1
v2,1,0.00265,9.033866,[50 94] ; [82 76],[62.94039735 81.05960265] ; [69.05960265 88.94039735],0
v3,1,0.003007,8.803266,[ 32 110] ; [61 98],[43.87375415 98.12624585] ; [ 49.12624585 109.87375415],0
b5,1,0.006113,7.5168,[79 70] ; [115  54],[90.89937107 58.10062893] ; [103.10062893  65.89937107],0
