Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1.5e-05,18.693748,[26  6] ; [17 35],[16.38095238 15.61904762] ; [26.61904762 25.38095238],1
v1,1,0.043935,4.059071,[18 13] ; [18 33],[13.6097561 17.3902439] ; [22.3902439 28.6097561],0
s4,1,0.044474,4.038462,[ 2 30] ; [12 40],[ 5.33333333 26.66666667] ; [ 8.66666667 43.33333333],0
s3,1,0.103222,2.65504,[20 10] ; [25 27],[16.46341463 13.53658537] ; [28.53658537 23.46341463],0
a3,1,0.11956,2.423077,[27  5] ; [36 16],[24.  8.] ; [39. 13.],0
p3,1,0.128937,2.305254,[ 9 22] ; [23 27],[12.24691358 18.75308642] ; [19.75308642 30.24691358],0
v3,1,0.173479,1.85262,[10 17] ; [11 38],[ 7.46052632 19.53947368] ; [13.53947368 35.46052632],0
p7,1,0.225201,1.470919,[18 12] ; [23 27],[15.375 14.625] ; [25.625 24.375],0
d3,1,0.231775,1.429936,[26  5] ; [48  4],[27.63855422  3.36144578] ; [46.36144578  5.63855422],0
n3,1,0.254891,1.296296,[4 5] ; [14  7],[5.4 3.6] ; [12.6  8.4],0
a8,1,0.274533,1.193955,[ 2 26] ; [ 1 47],[ 1.10526316 26.89473684] ; [ 1.89473684 46.10526316],0
d5,1,0.284963,1.143267,[29  2] ; [51  1],[29.87951807  1.12048193] ; [50.12048193  1.87951807],0
a1,1,0.299387,1.076923,[ 2 30] ; [ 1 51],[ 1.14285714 30.85714286] ; [ 1.85714286 50.14285714],0
s8,1,0.307771,1.040217,[14 18] ; [17 35],[11.80952381 20.19047619] ; [19.19047619 32.80952381],0
s2,1,0.319477,0.991084,[16 15] ; [21 31],[13.81927711 17.18072289] ; [23.18072289 28.81927711],0
p5,1,0.321082,0.984532,[ 3 29] ; [ 2 48],[ 1.95121951 30.04878049] ; [ 3.04878049 46.95121951],0
p11,1,0.342999,0.899191,[20 12] ; [27 25],[17.9047619 14.0952381] ; [29.0952381 22.9047619],0
n2,1,0.352724,0.863635,[7 3] ; [11 10],[5.80645161 4.19354839] ; [12.19354839  8.80645161],0
a5,1,0.480381,0.497998,[25  7] ; [37 15],[23.61904762  8.38095238] ; [38.38095238 13.61904762],0
p8,1,0.483107,0.491841,[10 21] ; [20 30],[11.48148148 19.51851852] ; [18.51851852 31.48148148],0
v2,1,0.494028,0.467741,[18 12] ; [25 23],[16.53846154 13.46153846] ; [26.46153846 21.53846154],0
b4,1,0.502944,0.448718,[22 10] ; [32 20],[20.57142857 11.42857143] ; [33.42857143 18.57142857],0
a7,1,0.532738,0.389166,[22 10] ; [39 13],[23.23809524  8.76190476] ; [37.76190476 14.23809524],0
p9,1,0.577055,0.31102,[23  9] ; [33 17],[21.85365854 10.14634146] ; [34.14634146 15.85365854],0
v4,1,0.593297,0.285226,[27  4] ; [43  9],[26.14457831  4.85542169] ; [43.85542169  8.14457831],0
a6,1,0.599445,0.275833,[22  9] ; [34 18],[20.91566265 10.08433735] ; [35.08433735 16.91566265],0
r4,1,0.603848,0.269231,[23  9] ; [40 12],[24.  8.] ; [39. 13.],0
b2,1,0.605699,0.266485,[ 6 15] ; [12 22],[ 6.87272727 14.12727273] ; [11.12727273 22.87272727],0
b3,1,0.605699,0.266485,[ 6 15] ; [12 22],[ 6.87272727 14.12727273] ; [11.12727273 22.87272727],0
p6,1,0.609475,0.26094,[ 8 21] ; [11 38],[ 7.06410256 21.93589744] ; [11.93589744 37.06410256],0
s7,1,0.621223,0.244152,[10 21] ; [17 28],[11.01315789 19.98684211] ; [15.98684211 29.01315789],0
p2,1,0.625484,0.238235,[21  9] ; [33 18],[20. 10.] ; [34. 17.],0
u3,1,0.626928,0.23625,[4 1] ; [11  5],[3.57142857 1.42857143] ; [11.42857143  4.57142857],0
s5,1,0.653134,0.201972,[ 7 24] ; [13 35],[ 7.84810127 23.15189873] ; [12.15189873 35.84810127],0
a2,1,0.66989,0.181731,[10 22] ; [14 38],[ 9.14285714 22.85714286] ; [14.85714286 37.14285714],0
r1,1,0.70778,0.140505,[25  7] ; [38 13],[24.28915663  7.71084337] ; [38.71084337 12.28915663],0
d2,1,0.728018,0.12094,[22  9] ; [35 17],[21.28915663  9.71084337] ; [35.71084337 16.28915663],0
n1,1,0.744954,0.10582,[4 5] ; [ 8 13],[3.6 5.4] ; [ 8.4 12.6],0
p4,1,0.772108,0.083879,[15 16] ; [23 28],[14.36585366 16.63414634] ; [23.63414634 27.36585366],0
a4,1,0.780818,0.077425,[17 15] ; [26 26],[16.38095238 15.61904762] ; [26.61904762 25.38095238],0
u1,1,0.783182,0.075721,[ 5 27] ; [ 7 45],[ 4.57142857 27.42857143] ; [ 7.42857143 44.57142857],0
s1,1,0.839827,0.040851,[ 2 27] ; [ 3 49],[ 1.79012346 27.20987654] ; [ 3.20987654 48.79012346],0
b5,1,0.84073,0.040385,[21 11] ; [33 19],[20.57142857 11.42857143] ; [33.42857143 18.57142857],0
