Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,23.566248,[29 20] ; [ 7 46],[17.29411765 31.70588235] ; [18.70588235 34.29411765],1
s6,1,4e-06,21.454899,[36 13] ; [15 39],[24.26213592 24.73786408] ; [26.73786408 27.26213592],1
s7,1,0.003394,8.5828,[22 25] ; [10 42],[15.19191919 31.80808081] ; [16.80808081 35.19191919],0
s8,1,0.005756,7.625153,[19 30] ; [ 8 46],[12.84466019 36.15533981] ; [14.15533981 39.84466019],0
p6,1,0.011274,6.421615,[14 34] ; [ 5 48],[ 9.02970297 38.97029703] ; [ 9.97029703 43.02970297],0
r3,1,0.01475,5.946119,[42  7] ; [35 19],[36.63106796 12.36893204] ; [40.36893204 13.63106796],0
r4,1,0.030705,4.669388,[39 10] ; [33 22],[33.92307692 15.07692308] ; [38.07692308 16.92307692],0
p4,1,0.031792,4.609689,[24 25] ; [15 38],[18.73529412 30.26470588] ; [20.26470588 32.73529412],0
p2,1,0.042305,4.122963,[32 17] ; [25 30],[26.85576923 22.14423077] ; [30.14423077 24.85576923],0
p11,1,0.04814,3.905098,[30 19] ; [23 32],[24.97115385 24.02884615] ; [28.02884615 26.97115385],0
b1,1,0.064554,3.416342,[32 17] ; [26 29],[27.32692308 21.67307692] ; [30.67307692 24.32692308],0
a3,1,0.074603,3.178726,[33 16] ; [27 27],[28.54368932 20.45631068] ; [31.45631068 22.54368932],0
n3,1,0.089687,2.879987,[11  5] ; [ 9 13],[8.42105263 7.57894737] ; [11.57894737 10.42105263],0
p10,1,0.09098,2.856944,[18 30] ; [12 42],[14.11764706 33.88235294] ; [15.88235294 38.11764706],0
v4,1,0.097314,2.749017,[42  6] ; [41 14],[38.67961165  9.32038835] ; [44.32038835 10.67961165],0
p7,1,0.098694,2.72653,[26 21] ; [21 33],[21.87128713 25.12871287] ; [25.12871287 28.87128713],0
r1,1,0.108528,2.575522,[39 10] ; [36 19],[35.33653846 13.66346154] ; [39.66346154 15.33653846],0
n1,1,0.120714,2.408027,[8 5] ; [ 8 15],[5.77777778 7.22222222] ; [10.22222222 12.77777778],0
v1,1,0.14455,2.128841,[20 29] ; [15 40],[16.49038462 32.50961538] ; [18.50961538 36.49038462],0
p5,1,0.172597,1.860245,[ 5 43] ; [ 2 53],[ 3.26213592 44.73786408] ; [ 3.73786408 51.26213592],0
p8,1,0.187581,1.736518,[18 30] ; [14 41],[14.91262136 33.08737864] ; [17.08737864 37.91262136],0
a2,1,0.197689,1.659369,[ 6 43] ; [12 43],[ 8.48076923 40.51923077] ; [ 9.51923077 45.48076923],0
n2,1,0.231323,1.432708,[11  4] ; [13 11],[9.23076923 5.76923077] ; [14.76923077  9.23076923],0
a1,1,0.25408,1.300729,[ 3 46] ; [ 7 48],[ 4.71153846 44.28846154] ; [ 5.28846154 49.71153846],0
u3,1,0.276981,1.181845,[9 7] ; [11 17],[7.27272727 8.72727273] ; [12.72727273 15.27272727],0
