Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,94.927803,[270 133] ; [ 38 131],[217. 186.] ; [91. 78.],1
s3,1,0.0,82.090285,[283 115] ; [ 51 118],[234.44797178 163.55202822] ; [99.55202822 69.44797178],1
s7,1,0.0,70.856121,[262 129] ; [ 44 115],[217.53818182 173.46181818] ; [88.46181818 70.53818182],1
s8,1,0.0,60.028421,[242 162] ; [ 42 129],[199.54086957 204.45913043] ; [84.45913043 86.54086957],1
s5,1,0.0,40.357553,[175 220] ; [ 27 140],[141.97508897 253.02491103] ; [ 60.02491103 106.97508897],1
p9,1,8e-06,20.048728,[355  46] ; [125  45],[337.09281961  63.90718039] ; [142.90718039  27.09281961],1
p4,1,1.3e-05,19.083333,[279 124] ; [85 85],[256.0069808 146.9930192] ; [107.9930192  62.0069808],1
n5,1,7.3e-05,15.732458,[364  42] ; [131  39],[348.90625  57.09375] ; [146.09375  23.90625],1
n6,1,0.000131,14.627759,[370  35] ; [136  34],[356.4  48.6] ; [149.6  20.4],1
p5,1,0.000245,13.446652,[ 64 339] ; [  8 161],[ 50.72727273 352.27272727] ; [ 21.27272727 147.72727273],1
s4,1,0.000397,12.545839,[ 71 328] ; [ 11 160],[ 57.4 341.6] ; [ 24.6 146.4],1
p6,1,0.000418,12.448928,[179 222] ; [ 49 121],[160.11908932 240.88091068] ; [ 67.88091068 102.11908932],1
u1,1,0.000904,11.015523,[106 301] ; [ 23 148],[ 90.83564014 316.16435986] ; [ 38.16435986 132.83564014],1
p12,1,0.001708,9.839339,[ 48 355] ; [  6 164],[ 37.97905759 365.02094241] ; [ 16.02094241 153.97905759],0
p10,1,0.006459,7.417498,[345  57] ; [130  40],[333.82867133  68.17132867] ; [141.17132867  28.82867133],0
r4,1,0.012059,6.302227,[395  12] ; [158  13],[389.39619377  17.60380623] ; [163.60380623   7.39619377],0
d5,1,0.016442,5.754998,[349  55] ; [134  37],[339.36  64.64] ; [143.64  27.36],0
b5,1,0.03189,4.604386,[251 156] ; [89 82],[239.41176471 167.58823529] ; [100.58823529  70.41176471],0
u3,1,0.055892,3.655277,[63 32] ; [25 25],[57.65517241 37.34482759] ; [30.34482759 19.65517241],0
v4,1,0.06386,3.434183,[395  11] ; [160  10],[391.19791667  14.80208333] ; [163.80208333   6.19791667],0
p7,1,0.07238,3.228215,[268 125] ; [102  67],[258.7366548 134.2633452] ; [111.2633452  57.7366548],0
s1,1,0.073532,3.202373,[ 20 379] ; [  3 166],[ 16.15669014 382.84330986] ; [  6.84330986 162.15669014],0
a2,1,0.085047,2.965714,[124 283] ; [ 40 131],[115.48096886 291.51903114] ; [ 48.51903114 122.48096886],0
a8,1,0.097479,2.746312,[ 68 298] ; [ 19 132],[ 61.58994197 304.41005803] ; [ 25.41005803 125.58994197],0
a6,1,0.106834,2.600444,[272 131] ; [127  44],[280.13414634 122.86585366] ; [118.86585366  52.13414634],0
p3,1,0.11391,2.499117,[224 180] ; [82 88],[215.3728223 188.6271777] ; [90.6271777 79.3728223],0
u4,1,0.128904,2.30566,[ 14 393] ; [  2 169],[ 11.26643599 395.73356401] ; [  4.73356401 166.26643599],0
u2,1,0.14431,2.131394,[58 36] ; [24 25],[53.9020979 40.0979021] ; [28.0979021 20.9020979],0
p8,1,0.150399,2.068202,[224 174] ; [84 85],[216.19753086 181.80246914] ; [91.80246914 77.19753086],0
a3,1,0.152639,2.045678,[312  92] ; [121  48],[305.29144852  98.70855148] ; [127.70855148  41.29144852],0
v1,1,0.172935,1.857311,[237 160] ; [91 79],[229.65784832 167.34215168] ; [98.34215168 71.65784832],0
p2,1,0.18872,1.727584,[346  58] ; [139  32],[340.76521739  63.23478261] ; [144.23478261  26.76521739],0
n2,1,0.202101,1.627124,[55 17] ; [24 13],[52.18348624 19.81651376] ; [26.81651376 10.18348624],0
d1,1,0.242049,1.368623,[266 141] ; [103  68],[259.83217993 147.16782007] ; [109.16782007  61.83217993],0
d4,1,0.316686,1.002583,[343  60] ; [139  31],[338.9982548  64.0017452] ; [143.0017452  26.9982548],0
r3,1,0.382838,0.761569,[392  13] ; [162   8],[390.20869565  14.79130435] ; [163.79130435   6.20869565],0
r2,1,0.47629,0.507345,[394  10] ; [163   6],[392.71902269  11.28097731] ; [164.28097731   4.71902269],0
d2,1,0.484423,0.488889,[222 182] ; [88 82],[218.18815331 185.81184669] ; [91.81184669 78.18815331],0
b4,1,0.493975,0.467856,[241 166] ; [96 75],[237.29930796 169.70069204] ; [99.70069204 71.29930796],0
a5,1,0.505387,0.443607,[328  78] ; [134  37],[325.08145581  80.91854419] ; [136.91854419  34.08145581],0
v2,1,0.553343,0.351363,[232 162] ; [101  63],[235.12903226 158.87096774] ; [97.87096774 66.12903226],0
p1,1,0.592062,0.287135,[ 39 365] ; [ 14 156],[ 37.30313589 366.69686411] ; [ 15.69686411 154.30313589],0
n1,1,0.636284,0.223635,[33 38] ; [15 21],[31.85046729 39.14953271] ; [16.14953271 19.85046729],0
