Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,9e-06,19.657185,[17  9] ; [26 94],[ 7.65753425 18.34246575] ; [35.34246575 84.65753425],1
s6,1,2e-05,18.220652,[21  6] ; [40 81],[11.12837838 15.87162162] ; [49.87162162 71.12837838],1
s7,1,2.3e-05,17.944748,[15 11] ; [20 93],[ 6.54676259 19.45323741] ; [28.45323741 84.54676259],1
r4,1,0.004752,7.971388,[24  3] ; [73 48],[17.69594595  9.30405405] ; [79.30405405 41.69594595],0
p10,1,0.007615,7.121922,[12 15] ; [24 96],[ 6.6122449 20.3877551] ; [29.3877551 90.6122449],0
r3,1,0.009305,6.763357,[26  1] ; [87 32],[20.89726027  6.10273973] ; [92.10273973 26.89726027],0
s3,1,0.012172,6.285622,[16 10] ; [42 78],[10.32876712 15.67123288] ; [47.67123288 72.32876712],0
r1,1,0.026229,4.940833,[24  3] ; [81 39],[19.28571429  7.71428571] ; [85.71428571 34.28571429],0
b1,1,0.034857,4.452167,[19  8] ; [58 63],[14.0472973 12.9527027] ; [62.9527027 58.0472973],0
v4,1,0.041712,4.146843,[25  2] ; [88 30],[21.04137931  5.95862069] ; [91.95862069 26.04137931],0
u3,1,0.04196,4.136826,[7 1] ; [26 27],[4.32786885 3.67213115] ; [28.67213115 24.32786885],0
r2,1,0.065566,3.390682,[26  1] ; [97 21],[22.90344828  4.09655172] ; [100.09655172  17.90344828],0
n6,1,0.066506,3.367229,[21  6] ; [70 49],[16.82876712 10.17123288] ; [74.17123288 44.82876712],0
u2,1,0.074208,3.187398,[6 2] ; [21 30],[3.66101695 4.33898305] ; [23.33898305 27.66101695],0
d5,1,0.083821,2.989207,[23  4] ; [83 38],[19.33783784  7.66216216] ; [86.66216216 34.33783784],0
b4,1,0.088601,2.899617,[21  6] ; [73 48],[17.14864865  9.85135135] ; [76.85135135 44.14864865],0
v3,1,0.091445,2.848747,[12 14] ; [34 83],[ 8.36363636 17.63636364] ; [37.63636364 79.36363636],0
n2,1,0.104867,2.629919,[8 2] ; [25 23],[5.68965517 4.31034483] ; [27.31034483 20.68965517],0
n5,1,0.106695,2.60251,[19  8] ; [64 56],[15.24489796 11.75510204] ; [67.75510204 52.24489796],0
p2,1,0.116953,2.457658,[17 10] ; [56 65],[13.31756757 13.68243243] ; [59.68243243 61.31756757],0
v2,1,0.154733,2.024957,[13 13] ; [41 76],[ 9.81818182 16.18181818] ; [44.18181818 72.81818182],0
a3,1,0.19054,1.713436,[19  8] ; [68 52],[15.97959184 11.02040816] ; [71.02040816 48.97959184],0
s5,1,0.206868,1.593207,[ 7 20] ; [ 19 102],[ 4.74324324 22.25675676] ; [21.25675676 99.74324324],0
a4,1,0.225077,1.471705,[ 7 20] ; [46 74],[ 9.73469388 17.26530612] ; [43.26530612 76.73469388],0
a1,1,0.420262,0.649582,[ 3 24] ; [  8 113],[ 2.00675676 24.99324324] ; [  8.99324324 112.00675676],0
p4,1,0.430894,0.620413,[11 16] ; [39 80],[ 9.24657534 17.75342466] ; [40.75342466 78.24657534],0
n1,1,0.440973,0.59375,[4 5] ; [15 33],[3. 6.] ; [16. 32.],0
d1,1,0.44734,0.577383,[14 13] ; [53 68],[12.22297297 14.77702703] ; [54.77702703 66.22297297],0
n4,1,0.489586,0.477436,[19  8] ; [76 44],[17.44897959  9.55102041] ; [77.55102041 42.44897959],0
p11,1,0.49585,0.463807,[14 13] ; [54 67],[12.40540541 14.59459459] ; [55.59459459 65.40540541],0
d3,1,0.49585,0.463807,[13 14] ; [67 54],[14.59459459 12.40540541] ; [65.40540541 55.59459459],0
a8,1,0.497657,0.459929,[ 1 23] ; [  9 101],[ 1.79104478 22.20895522] ; [  8.20895522 101.79104478],0
