Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,9.6e-05,15.21794,[ 9 59] ; [28 36],[19.06060606 48.93939394] ; [17.93939394 46.06060606],1
d5,1,0.003526,8.512952,[47 25] ; [58  9],[54.38848921 17.61151079] ; [50.61151079 16.38848921],0
v1,1,0.005217,7.802535,[24 47] ; [38 28],[32.13138686 38.86861314] ; [29.86861314 36.13138686],0
a3,1,0.012961,6.174488,[41 32] ; [51 16],[47.97142857 25.02857143] ; [44.02857143 22.97142857],0
r3,1,0.024027,5.092656,[61 12] ; [63  3],[65.12230216  7.87769784] ; [58.87769784  7.12230216],0
a5,1,0.026421,4.928226,[39 34] ; [48 19],[45.36428571 27.63571429] ; [41.63571429 25.36428571],0
d1,1,0.045599,3.996351,[28 45] ; [37 30],[33.89285714 39.10714286] ; [31.10714286 35.89285714],0
n5,1,0.068238,3.324903,[26 46] ; [34 32],[31.30434783 40.69565217] ; [28.69565217 37.30434783],0
p10,1,0.100417,2.698906,[41 32] ; [44 19],[45.625 27.375] ; [39.375 23.625],0
p7,1,0.152473,2.047335,[33 35] ; [39 25],[37.09090909 30.90909091] ; [34.90909091 29.09090909],0
u2,1,0.157299,2.0,[22 10] ; [14  2],[24.  8.] ; [12.  4.],0
d3,1,0.169906,1.88377,[43 28] ; [48 19],[46.81884058 24.18115942] ; [44.18115942 22.81884058],0
r1,1,0.17026,1.880656,[50 23] ; [52 14],[53.56834532 19.43165468] ; [48.43165468 17.56834532],0
p8,1,0.186034,1.748747,[25 48] ; [29 35],[28.77372263 44.22627737] ; [25.22627737 38.77372263],0
p5,1,0.192934,1.695071,[ 2 71] ; [ 5 61],[ 3.67625899 69.32374101] ; [ 3.32374101 62.67625899],0
n3,1,0.195431,1.67619,[13  9] ; [17  5],[15.  7.] ; [15.  7.],0
p4,1,0.223102,1.484306,[28 44] ; [32 33],[31.53284672 40.46715328] ; [28.46715328 36.53284672],0
s3,1,0.24129,1.373039,[41 31] ; [31 35],[37.56521739 34.43478261] ; [34.43478261 31.56521739],0
s7,1,0.263138,1.252171,[20 48] ; [24 38],[23.01538462 44.98461538] ; [20.98461538 41.01538462],0
s4,1,0.264482,1.245144,[15 58] ; [ 9 58],[12.51428571 60.48571429] ; [11.48571429 55.51428571],0
a4,1,0.289546,1.121729,[28 45] ; [20 47],[25.02857143 47.97142857] ; [22.97142857 44.02857143],0
s1,1,0.314322,1.012428,[ 5 67] ; [ 2 62],[ 3.70588235 68.29411765] ; [ 3.29411765 60.70588235],0
a2,1,0.331387,0.94347,[13 60] ; [ 8 59],[10.95 62.05] ; [10.05 56.95],0
p11,1,0.409542,0.680129,[43 30] ; [44 23],[45.36428571 27.63571429] ; [41.63571429 25.36428571],0
b2,1,0.433357,0.613811,[10 36] ; [10 24],[11.5 34.5] ; [ 8.5 25.5],0
b3,1,0.433357,0.613811,[10 36] ; [10 24],[11.5 34.5] ; [ 8.5 25.5],0
p3,1,0.440984,0.59372,[25 48] ; [26 38],[27.17518248 45.82481752] ; [23.82481752 40.17518248],0
p9,1,0.441104,0.593408,[48 25] ; [46 18],[50.08759124 22.91240876] ; [43.91240876 20.08759124],0
p6,1,0.452497,0.564389,[16 56] ; [17 44],[17.86466165 54.13533835] ; [15.13533835 45.86466165],0
b5,1,0.453395,0.56215,[47 26] ; [39 28],[44.84285714 28.15714286] ; [41.15714286 25.84285714],0
a1,1,0.466649,0.5299,[ 4 69] ; [ 2 65],[ 3.12857143 69.87142857] ; [ 2.87142857 64.12857143],0
s2,1,0.481844,0.494688,[28 44] ; [30 37],[30.04316547 41.95683453] ; [27.95683453 39.04316547],0
n4,1,0.493934,0.467946,[35 38] ; [36 31],[37.02142857 35.97857143] ; [33.97857143 33.02142857],0
b4,1,0.529255,0.395821,[42 31] ; [35 32],[40.15 32.85] ; [36.85 30.15],0
d4,1,0.546778,0.363121,[55 17] ; [54 13],[56.46043165 15.53956835] ; [52.53956835 14.46043165],0
r2,1,0.630885,0.230863,[66  7] ; [58  8],[65.12230216  7.87769784] ; [58.87769784  7.12230216],0
p1,1,0.647987,0.208448,[ 4 68] ; [ 5 62],[ 4.6618705 67.3381295] ; [ 4.3381295 62.6618705],0
s6,1,0.649002,0.207161,[37 36] ; [36 30],[38.3381295 34.6618705] ; [34.6618705 31.3381295],0
n2,1,0.655421,0.199134,[16  8] ; [16  6],[16.69565217  7.30434783] ; [15.30434783  6.69565217],0
p2,1,0.710275,0.138003,[53 20] ; [49 16],[53.95652174 19.04347826] ; [48.04347826 16.95652174],0
a7,1,0.714849,0.133482,[48 25] ; [46 21],[49.01428571 23.98571429] ; [44.98571429 22.01428571],0
d2,1,0.720127,0.128371,[29 43] ; [25 42],[27.97122302 44.02877698] ; [26.02877698 40.97122302],0
s8,1,0.722545,0.126067,[23 50] ; [23 44],[23.98571429 49.01428571] ; [22.01428571 44.98571429],0
a8,1,0.785986,0.073727,[ 7 64] ; [ 5 54],[ 6.55384615 64.44615385] ; [ 5.44615385 53.55384615],0
a6,1,0.802157,0.062778,[48 24] ; [46 21],[48.69064748 23.30935252] ; [45.30935252 21.69064748],0
u3,1,0.808134,0.058968,[25  7] ; [12  4],[24.66666667  7.33333333] ; [12.33333333  3.66666667],0
u1,1,0.8765,0.024152,[ 6 67] ; [ 6 61],[ 6.25714286 66.74285714] ; [ 5.74285714 61.25714286],0
r4,1,0.882929,0.021685,[57 16] ; [53 14],[57.35714286 15.64285714] ; [52.64285714 14.35714286],0
n1,1,0.907548,0.013487,[ 8 16] ; [ 7 13],[ 8.18181818 15.81818182] ; [ 6.81818182 13.18181818],0
s5,1,0.930294,0.007652,[16 54] ; [14 49],[15.78947368 54.21052632] ; [14.21052632 48.78947368],0
b1,1,0.982629,0.000474,[38 35] ; [35 32],[38.06428571 34.93571429] ; [34.93571429 32.06428571],0
