Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,44.008394,[ 8 22] ; [79 10],[21.93277311  8.06722689] ; [65.06722689 23.93277311],1
r3,1,5.8e-05,16.164424,[19 11] ; [82  6],[25.6779661  4.3220339] ; [75.3220339 12.6779661],1
r2,1,0.000151,14.361503,[19 10] ; [83  6],[25.06779661  3.93220339] ; [76.93220339 12.06779661],1
v4,1,0.001289,10.357824,[20 10] ; [81  8],[25.46218487  4.53781513] ; [75.53781513 13.46218487],0
a1,1,0.016399,5.759562,[ 4 26] ; [ 2 87],[ 1.51260504 28.48739496] ; [ 4.48739496 84.51260504],0
p1,1,0.030772,4.665616,[ 5 25] ; [ 4 84],[ 2.28813559 27.71186441] ; [ 6.71186441 81.28813559],0
v2,1,0.040209,4.209052,[ 9 21] ; [42 39],[13.78378378 16.21621622] ; [37.21621622 43.78378378],0
p4,1,0.053252,3.735986,[ 7 23] ; [38 50],[11.44067797 18.55932203] ; [33.55932203 54.44067797],0
a5,1,0.06084,3.514346,[16 14] ; [64 25],[20.16806723  9.83193277] ; [59.83193277 29.16806723],0
d5,1,0.064408,3.42008,[21  9] ; [75 13],[24.40677966  5.59322034] ; [71.59322034 16.40677966],0
s4,1,0.066394,3.369985,[ 7 23] ; [ 9 80],[ 4.03361345 25.96638655] ; [11.96638655 77.03361345],0
p8,1,0.071232,3.254398,[ 7 21] ; [38 48],[11.05263158 16.94736842] ; [33.94736842 52.05263158],0
p3,1,0.095824,2.773707,[ 6 23] ; [33 55],[ 9.66666667 19.33333333] ; [29.33333333 58.66666667],0
p2,1,0.117211,2.454202,[18 12] ; [66 22],[21.3559322  8.6440678] ; [62.6440678 25.3559322],0
s6,1,0.126082,2.340089,[11 19] ; [47 42],[14.62184874 15.37815126] ; [43.37815126 45.62184874],0
a6,1,0.127938,2.317348,[21  9] ; [73 15],[23.89830508  6.10169492] ; [70.10169492 17.89830508],0
d1,1,0.18685,1.742281,[12 18] ; [48 41],[15.12605042 14.87394958] ; [44.87394958 44.12605042],0
p7,1,0.19043,1.714286,[11 17] ; [45 39],[14. 14.] ; [42. 42.],0
d4,1,0.191382,1.70695,[22  8] ; [74 14],[24.40677966  5.59322034] ; [71.59322034 16.40677966],0
a2,1,0.191839,1.703439,[ 4 26] ; [22 67],[ 6.55462185 23.44537815] ; [19.44537815 69.55462185],0
u2,1,0.220165,1.503297,[5 5] ; [20  8],[6.57894737 3.42105263] ; [18.42105263  9.57894737],0
n4,1,0.224936,1.4726,[12 18] ; [47 42],[14.87394958 15.12605042] ; [44.12605042 44.87394958],0
s1,1,0.260344,1.266929,[ 3 26] ; [ 4 83],[ 1.75 27.25] ; [ 5.25 81.75],0
v3,1,0.271945,1.206912,[ 6 24] ; [25 57],[ 8.30357143 21.69642857] ; [22.69642857 59.30357143],0
s2,1,0.339118,0.913762,[ 9 21] ; [35 53],[11.18644068 18.81355932] ; [32.81355932 55.18644068],0
d3,1,0.368886,0.807414,[20  9] ; [68 20],[21.81196581  7.18803419] ; [66.18803419 21.81196581],0
v1,1,0.383733,0.758709,[ 9 19] ; [36 51],[10.95652174 17.04347826] ; [34.04347826 52.95652174],0
u1,1,0.387344,0.747263,[ 2 28] ; [11 78],[ 3.27731092 26.72268908] ; [ 9.72268908 79.27731092],0
s8,1,0.398168,0.713851,[ 7 23] ; [28 61],[ 8.82352941 21.17647059] ; [26.17647059 62.82352941],0
p12,1,0.431637,0.618414,[ 1 29] ; [ 1 85],[ 0.51724138 29.48275862] ; [ 1.48275862 84.51724138],0
d2,1,0.497317,0.460658,[13 17] ; [32 56],[11.44067797 18.55932203] ; [33.55932203 54.44067797],0
u3,1,0.504517,0.445421,[6 4] ; [20  8],[6.84210526 3.15789474] ; [19.15789474  8.84210526],0
n2,1,0.555818,0.346997,[5 5] ; [17 11],[5.78947368 4.21052632] ; [16.21052632 11.78947368],0
p11,1,0.556559,0.345698,[15 15] ; [50 39],[16.38655462 13.61344538] ; [48.61344538 40.38655462],0
n5,1,0.603293,0.270057,[12 18] ; [40 48],[13.22033898 16.77966102] ; [38.77966102 49.22033898],0
p6,1,0.616482,0.250843,[ 7 22] ; [17 69],[ 6.05217391 22.94782609] ; [17.94782609 68.05217391],0
p10,1,0.632436,0.228772,[17 13] ; [53 33],[18.10344828 11.89655172] ; [51.89655172 34.10344828],0
a8,1,0.653713,0.201251,[ 3 26] ; [11 70],[ 3.69090909 25.30909091] ; [10.30909091 70.69090909],0
b2,1,0.681504,0.168438,[ 5 13] ; [11 37],[ 4.36363636 13.63636364] ; [11.63636364 36.36363636],0
b3,1,0.681504,0.168438,[ 5 13] ; [11 37],[ 4.36363636 13.63636364] ; [11.63636364 36.36363636],0
n3,1,0.690487,0.158559,[7 3] ; [17 10],[6.48648649 3.51351351] ; [17.51351351  9.48648649],0
b4,1,0.704594,0.143737,[16 14] ; [51 38],[16.8907563 13.1092437] ; [50.1092437 38.8907563],0
b1,1,0.708999,0.139279,[15 15] ; [41 48],[14.11764706 15.88235294] ; [41.88235294 47.11764706],0
a4,1,0.71396,0.134353,[11 19] ; [36 53],[11.8487395 18.1512605] ; [35.1512605 53.8487395],0
s3,1,0.719319,0.129146,[13 17] ; [41 46],[13.84615385 16.15384615] ; [40.15384615 46.84615385],0
n1,1,0.785704,0.073926,[3 6] ; [ 8 20],[2.67567568 6.32432432] ; [ 8.32432432 19.67567568],0
b5,1,0.855658,0.033089,[19 11] ; [58 31],[19.41176471 10.58823529] ; [57.58823529 31.41176471],0
s5,1,0.864895,0.02895,[ 5 23] ; [14 71],[ 4.7079646 23.2920354] ; [14.2920354 70.7079646],0
a3,1,0.8781,0.023525,[20 10] ; [60 28],[20.33898305  9.66101695] ; [59.66101695 28.33898305],0
p9,1,0.886889,0.020233,[21  9] ; [59 27],[20.68965517  9.31034483] ; [59.31034483 26.68965517],0
s7,1,0.946562,0.004492,[ 9 20] ; [26 56],[ 9.14414414 19.85585586] ; [25.85585586 56.14414414],0
