Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,4e-06,21.443324,[3 6] ; [72  7],[7.67045455 1.32954545] ; [67.32954545 11.67045455],1
s2,1,0.000198,13.849003,[2 7] ; [63 16],[6.64772727 2.35227273] ; [58.35227273 20.64772727],1
s6,1,0.000596,11.789975,[2 7] ; [60 18],[6.4137931 2.5862069] ; [55.5862069 22.4137931],1
p11,1,0.002003,9.547165,[1 8] ; [51 28],[5.31818182 3.68181818] ; [46.68181818 32.31818182],0
n6,1,0.003902,8.328857,[2 7] ; [55 23],[5.89655172 3.10344828] ; [51.10344828 26.89655172],0
r2,1,0.016773,5.719921,[6 3] ; [72  6],[8.06896552 0.93103448] ; [69.93103448  8.06896552],0
p9,1,0.021012,5.325827,[3 6] ; [55 22],[6.06976744 2.93023256] ; [51.93023256 25.06976744],0
s1,1,0.030052,4.706344,[3 6] ; [ 7 71],[1.03448276 7.96551724] ; [ 8.96551724 69.03448276],0
p10,1,0.031927,4.602429,[3 6] ; [54 24],[5.89655172 3.10344828] ; [51.10344828 26.89655172],0
b5,1,0.04609,3.9783,[3 6] ; [53 26],[5.72727273 3.27272727] ; [50.27272727 28.72727273],0
a1,1,0.052989,3.744274,[2 7] ; [ 4 75],[0.61363636 8.38636364] ; [ 5.38636364 73.61363636],0
v1,1,0.056016,3.651579,[2 7] ; [43 34],[4.70930233 4.29069767] ; [40.29069767 36.70930233],0
p5,1,0.076099,3.146303,[2 6] ; [ 5 70],[0.6746988 7.3253012] ; [ 6.3253012 68.6746988],0
s8,1,0.09855,2.728856,[2 7] ; [40 38],[4.34482759 4.65517241] ; [37.65517241 40.34482759],0
p4,1,0.113783,2.500873,[1 8] ; [29 48],[3.13953488 5.86046512] ; [26.86046512 50.13953488],0
b1,1,0.121921,2.392467,[7 2] ; [40 39],[4.80681818 4.19318182] ; [42.19318182 36.80681818],0
d2,1,0.122602,2.383763,[7 2] ; [39 38],[4.81395349 4.18604651] ; [41.18604651 35.81395349],0
v3,1,0.145884,2.114772,[1 8] ; [25 46],[2.925 6.075] ; [23.075 47.925],0
s5,1,0.146335,2.110047,[1 8] ; [26 48],[2.92771084 6.07228916] ; [24.07228916 49.92771084],0
n2,1,0.149987,2.072381,[3 3] ; [22  6],[4.41176471 1.58823529] ; [20.58823529  7.41176471],0
r1,1,0.155079,2.021566,[5 4] ; [61 18],[6.75 2.25] ; [59.25 19.75],0
n5,1,0.172425,1.861728,[8 1] ; [52 26],[6.20689655 2.79310345] ; [53.79310345 24.20689655],0
n1,1,0.207821,1.586538,[5 1] ; [15 12],[3.63636364 2.36363636] ; [16.36363636 10.63636364],0
p1,1,0.210054,1.571052,[2 7] ; [ 7 72],[0.92045455 8.07954545] ; [ 8.07954545 70.92045455],0
s7,1,0.220568,1.50067,[3 5] ; [45 30],[4.62650602 3.37349398] ; [43.37349398 31.62650602],0
b2,1,0.266769,1.233287,[1 6] ; [18 33],[2.29310345 4.70689655] ; [16.70689655 34.29310345],0
b3,1,0.266769,1.233287,[1 6] ; [18 33],[2.29310345 4.70689655] ; [16.70689655 34.29310345],0
p7,1,0.269975,1.216875,[2 6] ; [34 41],[3.46987952 4.53012048] ; [32.53012048 42.46987952],0
a4,1,0.291231,1.113924,[6 3] ; [38 41],[4.5 4.5] ; [39.5 39.5],0
n4,1,0.427898,0.628521,[7 2] ; [51 28],[5.93181818 3.06818182] ; [52.06818182 26.93181818],0
b4,1,0.428966,0.625621,[4 5] ; [46 33],[5.11363636 3.88636364] ; [44.88636364 34.11363636],0
a5,1,0.469719,0.522638,[7 2] ; [52 27],[6.03409091 2.96590909] ; [52.96590909 26.03409091],0
n3,1,0.4829,0.492308,[3 3] ; [17  9],[3.75 2.25] ; [16.25  9.75],0
a3,1,0.51419,0.425531,[7 2] ; [53 26],[6.13636364 2.86363636] ; [53.86363636 25.13636364],0
a2,1,0.561608,0.336928,[1 8] ; [15 64],[1.63636364 7.36363636] ; [14.36363636 64.63636364],0
p8,1,0.651751,0.2037,[1 7] ; [15 64],[1.47126437 6.52873563] ; [14.52873563 64.47126437],0
d5,1,0.701306,0.147116,[6 3] ; [56 21],[6.48837209 2.51162791] ; [55.51162791 21.48837209],0
a7,1,0.705666,0.142645,[5 4] ; [49 30],[5.52272727 3.47727273] ; [48.47727273 30.52272727],0
a8,1,0.805351,0.060726,[1 8] ; [11 67],[1.24137931 7.75862069] ; [10.75862069 67.24137931],0
p3,1,0.857813,0.032098,[3 6] ; [28 49],[3.24418605 5.75581395] ; [27.75581395 49.24418605],0
d3,1,0.868106,0.027577,[5 4] ; [45 32],[5.23255814 3.76744186] ; [44.76744186 32.23255814],0
s4,1,0.902956,0.014866,[2 7] ; [19 60],[2.14772727 6.85227273] ; [18.85227273 60.14772727],0
a6,1,0.986838,0.000272,[5 4] ; [43 34],[5.02325581 3.97674419] ; [42.97674419 34.02325581],0
d4,1,0.992122,9.7e-05,[7 2] ; [60 17],[7.01162791 1.98837209] ; [59.98837209 17.01162791],0
d1,1,0.993579,6.5e-05,[5 4] ; [44 35],[5.01136364 3.98863636] ; [43.98863636 35.01136364],0
