Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000718,11.441731,[10 34] ; [34 27],[18.43809524 25.56190476] ; [25.56190476 35.43809524],1
v1,1,0.007438,7.163926,[13 33] ; [34 29],[19.83486239 26.16513761] ; [27.16513761 35.83486239],0
p4,1,0.009773,6.675755,[23 24] ; [46 17],[29.48181818 17.51818182] ; [39.51818182 23.48181818],0
v3,1,0.015178,5.895726,[ 9 39] ; [25 37],[14.83636364 33.16363636] ; [19.16363636 42.83636364],0
n6,1,0.019515,5.454775,[32 16] ; [53  9],[37.09090909 10.90909091] ; [47.90909091 14.09090909],0
s8,1,0.022936,5.17337,[12 36] ; [29 34],[17.72972973 30.27027027] ; [23.27027027 39.72972973],0
a5,1,0.034271,4.481142,[20 28] ; [39 24],[25.51351351 22.48648649] ; [33.48648649 29.51351351],0
d4,1,0.042143,4.129464,[27 21] ; [47 16],[32. 16.] ; [42. 21.],0
p1,1,0.042376,4.120108,[ 1 47] ; [ 8 55],[ 3.89189189 44.10810811] ; [ 5.10810811 57.89189189],0
s3,1,0.046416,3.966421,[19 28] ; [37 25],[24.14678899 22.85321101] ; [31.85321101 30.14678899],0
s6,1,0.072189,3.232525,[23 23] ; [41 20],[27.51401869 18.48598131] ; [36.48598131 24.51401869],0
n4,1,0.097009,2.754035,[27 21] ; [45 18],[31.13513514 16.86486486] ; [40.86486486 22.13513514],0
p8,1,0.11428,2.494012,[23 23] ; [41 22],[27.00917431 18.99082569] ; [36.99082569 26.00917431],0
a7,1,0.126852,2.330614,[23 24] ; [40 23],[26.91818182 20.08181818] ; [36.08181818 26.91818182],0
p5,1,0.176038,1.830759,[ 4 43] ; [11 52],[ 6.40909091 40.59090909] ; [ 8.59090909 54.40909091],0
p9,1,0.212367,1.55522,[34 14] ; [51 12],[36.75675676 11.24324324] ; [48.24324324 14.75675676],0
v4,1,0.251741,1.313615,[43  4] ; [53 10],[41.01818182  5.98181818] ; [54.98181818  8.01818182],0
p6,1,0.273576,1.19873,[17 29] ; [29 32],[19.77570093 26.22429907] ; [26.22429907 34.77570093],0
r4,1,0.280797,1.163229,[28 20] ; [43 20],[30.7027027 17.2972973] ; [40.2972973 22.7027027],0
s2,1,0.312727,1.019125,[19 29] ; [31 32],[21.62162162 26.37837838] ; [28.37837838 34.62162162],0
p2,1,0.320122,0.98845,[36 11] ; [53 10],[38.02727273  8.97272727] ; [50.97272727 12.02727273],0
d5,1,0.397309,0.716457,[30 17] ; [45 18],[32.04545455 14.95454545] ; [42.95454545 20.04545455],0
p12,1,0.418235,0.655269,[ 2 46] ; [ 5 58],[ 3.02702703 44.97297297] ; [ 3.97297297 59.02702703],0
d2,1,0.441921,0.59129,[17 31] ; [18 45],[15.13513514 32.86486486] ; [19.86486486 43.13513514],0
a2,1,0.463113,0.53836,[ 4 44] ; [ 8 55],[ 5.18918919 42.81081081] ; [ 6.81081081 56.18918919],0
v2,1,0.488811,0.479142,[20 27] ; [31 32],[21.79090909 25.20909091] ; [29.20909091 33.79090909],0
d1,1,0.492308,0.471478,[16 32] ; [25 38],[17.72972973 30.27027027] ; [23.27027027 39.72972973],0
p11,1,0.4959,0.463699,[33 15] ; [47 16],[34.59459459 13.40540541] ; [45.40540541 17.59459459],0
s4,1,0.521198,0.411522,[ 9 39] ; [15 48],[10.37837838 37.62162162] ; [13.62162162 49.37837838],0
n5,1,0.526769,0.400621,[30 18] ; [43 20],[31.56756757 16.43243243] ; [41.43243243 21.56756757],0
a6,1,0.547735,0.361391,[27 21] ; [39 24],[28.54054054 19.45945946] ; [37.45945946 25.54054054],0
r3,1,0.555393,0.347744,[40  8] ; [55  8],[41.08108108  6.91891892] ; [53.91891892  9.08108108],0
s5,1,0.582837,0.30167,[11 37] ; [16 42],[12.22641509 35.77358491] ; [14.77358491 43.22641509],0
b3,1,0.612217,0.256959,[ 7 22] ; [13 31],[ 7.94520548 21.05479452] ; [12.05479452 31.94520548],0
b2,1,0.612217,0.256959,[ 7 22] ; [13 31],[ 7.94520548 21.05479452] ; [12.05479452 31.94520548],0
s1,1,0.614413,0.253798,[ 2 46] ; [ 4 59],[ 2.59459459 45.40540541] ; [ 3.40540541 59.59459459],0
n3,1,0.635454,0.224737,[17  5] ; [12  5],[16.35897436  5.64102564] ; [12.64102564  4.35897436],0
d3,1,0.648195,0.208183,[25 21] ; [37 26],[26.16513761 19.83486239] ; [35.83486239 27.16513761],0
u3,1,0.68894,0.160235,[ 7 13] ; [11 16],[ 7.65957447 12.34042553] ; [10.34042553 16.65957447],0
b5,1,0.703134,0.145232,[28 20] ; [39 24],[28.97297297 19.02702703] ; [38.02702703 24.97297297],0
u1,1,0.725403,0.123374,[ 1 47] ; [ 2 61],[ 1.2972973 46.7027027] ; [ 1.7027027 61.2972973],0
a3,1,0.798132,0.065416,[28 19] ; [36 27],[27.34545455 19.65454545] ; [36.65454545 26.34545455],0
b1,1,0.810819,0.057298,[21 27] ; [29 34],[21.62162162 26.37837838] ; [28.37837838 34.62162162],0
a4,1,0.813642,0.055569,[12 36] ; [17 46],[12.54054054 35.45945946] ; [16.45945946 46.54054054],0
n1,1,0.846791,0.037332,[ 8 13] ; [ 7 10],[ 8.28947368 12.71052632] ; [ 6.71052632 10.28947368],0
n2,1,0.882973,0.021668,[16  6] ; [12  5],[15.79487179  6.20512821] ; [12.20512821  4.79487179],0
b4,1,0.884155,0.02123,[26 22] ; [35 28],[26.37837838 21.62162162] ; [34.62162162 28.37837838],0
a8,1,0.926655,0.008474,[ 4 42] ; [ 5 56],[ 3.86915888 42.13084112] ; [ 5.13084112 55.86915888],0
r2,1,0.933893,0.00688,[36  9] ; [50 12],[36.1682243  8.8317757] ; [49.8317757 12.1682243],0
u2,1,0.93792,0.006066,[11  9] ; [14 12],[10.86956522  9.13043478] ; [14.13043478 11.86956522],0
a1,1,0.939514,0.005758,[ 4 44] ; [ 5 58],[ 3.89189189 44.10810811] ; [ 5.10810811 57.89189189],0
p10,1,0.968696,0.00154,[35 13] ; [45 17],[34.90909091 13.09090909] ; [45.09090909 16.90909091],0
