Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,74.764018,[ 67 111] ; [306 102],[113.3003413  64.6996587] ; [259.6996587 148.3003413],1
a6,1,0.0,55.622293,[80 98] ; [312  96],[119.07167235  58.92832765] ; [272.92832765 135.07167235],1
d5,1,0.0,35.343447,[108  70] ; [340  68],[136.08191126  41.91808874] ; [311.91808874  96.08191126],1
r4,1,0.0,28.885849,[124  54] ; [360  49],[146.76660988  31.23339012] ; [337.23339012  71.76660988],1
r3,1,0.0,28.258275,[144  34] ; [386  21],[161.26495726  16.73504274] ; [368.73504274  38.26495726],1
d1,1,0.0,26.515274,[ 62 116] ; [237 172],[90.66780239 87.33219761] ; [208.33219761 200.66780239],1
a2,1,2e-06,22.580348,[ 16 162] ; [108 301],[ 37.60136286 140.39863714] ; [ 86.39863714 322.60136286],1
r1,1,1.2e-05,19.213942,[114  64] ; [327  77],[134.87628866  43.12371134] ; [306.12371134  97.87628866],1
u1,1,1.3e-05,19.083584,[  8 170] ; [ 74 335],[ 24.86541738 153.13458262] ; [ 57.13458262 351.86541738],1
b5,1,1.4e-05,18.927716,[83 95] ; [269 140],[106.73935264  71.26064736] ; [245.26064736 163.73935264],1
v4,1,5.7e-05,16.192496,[145  30] ; [380  26],[158.13253012  16.86746988] ; [366.86746988  39.13253012],1
d4,1,7.3e-05,15.719779,[119  58] ; [335  73],[137.36410256  39.63589744] ; [316.63589744  91.36410256],1
r2,1,0.000324,12.928584,[147  27] ; [379  25],[158.34602076  15.65397924] ; [367.65397924  36.34602076],1
p10,1,0.001427,10.171077,[112  64] ; [309  95],[127.75172414  48.24827586] ; [293.24827586 110.75172414],0
p2,1,0.001486,10.096082,[117  61] ; [319  89],[132.43686007  45.56313993] ; [303.56313993 104.43686007],0
s6,1,0.001568,9.996974,[84 91] ; [251 153],[101.25215889  73.74784111] ; [233.74784111 170.25215889],0
u3,1,0.001952,9.594574,[23 41] ; [78 53],[33.14871795 30.85128205] ; [67.85128205 63.14871795],0
p9,1,0.002631,9.047464,[117  57] ; [316  84],[131.25783972  42.74216028] ; [301.74216028  98.25783972],0
b1,1,0.008266,6.974938,[80 98] ; [137 272],[ 65.80238501 112.19761499] ; [151.19761499 257.80238501],0
v2,1,0.011916,6.323326,[73 97] ; [212 177],[86.6726297 83.3273703] ; [198.3273703 190.6726297],0
s1,1,0.016075,5.79466,[ 11 166] ; [  9 392],[  6.12456747 170.87543253] ; [ 13.87543253 387.12456747],0
p8,1,0.01956,5.450715,[ 56 122] ; [168 235],[ 68.62650602 109.37349398] ; [155.37349398 247.62650602],0
a5,1,0.021433,5.2912,[110  68] ; [292 117],[121.9011925  56.0988075] ; [280.0988075 128.9011925],0
p4,1,0.047355,3.932741,[ 64 112] ; [184 223],[ 74.86792453 101.13207547] ; [173.13207547 233.86792453],0
a8,1,0.072,3.236826,[ 15 152] ; [ 54 316],[ 21.45810056 145.54189944] ; [ 47.54189944 322.45810056],0
b3,1,0.080098,3.062909,[41 71] ; [ 62 165],[34.02949853 77.97050147] ; [ 68.97050147 158.02949853],0
b2,1,0.080098,3.062909,[41 71] ; [ 62 165],[34.02949853 77.97050147] ; [ 68.97050147 158.02949853],0
p11,1,0.097958,2.738483,[120  58] ; [303 106],[128.26916525  49.73083475] ; [294.73083475 114.26916525],0
v3,1,0.101595,2.680318,[ 50 120] ; [144 250],[ 58.4751773 111.5248227] ; [135.5248227 258.4751773],0
n6,1,0.160357,1.970855,[129  47] ; [320  87],[135.54716981  40.45283019] ; [313.45283019  93.54716981],0
p7,1,0.166684,1.912512,[77 99] ; [200 200],[84.63888889 91.36111111] ; [192.36111111 207.63888889],0
