Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.1e-05,19.300135,[ 3 11] ; [48 11],[9.78082192 4.21917808] ; [41.21917808 17.78082192],1
r2,1,0.012307,6.266045,[8 6] ; [51  8],[11.31506849  2.68493151] ; [47.68493151 11.31506849],0
u3,1,0.012691,6.211635,[1 5] ; [16  6],[3.64285714 2.35714286] ; [13.35714286  8.64285714],0
d5,1,0.014304,6.000233,[6 8] ; [45 14],[9.78082192 4.21917808] ; [41.21917808 17.78082192],0
p9,1,0.01958,5.448989,[ 3 11] ; [31 24],[6.89855072 7.10144928] ; [27.10144928 27.89855072],0
p10,1,0.019929,5.418068,[ 3 11] ; [32 25],[6.90140845 7.09859155] ; [28.09859155 28.90140845],0
r3,1,0.030417,4.685589,[9 5] ; [52  7],[11.69863014  2.30136986] ; [49.30136986  9.69863014],0
p1,1,0.04532,4.006677,[ 3 11] ; [ 3 56],[ 1.15068493 12.84931507] ; [ 4.84931507 54.15068493],0
r1,1,0.066171,3.375527,[5 9] ; [37 22],[8.05479452 5.94520548] ; [33.94520548 25.05479452],0
d2,1,0.110582,2.545881,[9 5] ; [24 35],[6.32876712 7.67123288] ; [26.67123288 32.32876712],0
s2,1,0.147371,2.099252,[ 3 11] ; [25 34],[5.36986301 8.63013699] ; [22.63013699 36.36986301],0
n2,1,0.162111,1.954422,[2 4] ; [18 10],[3.52941176 2.47058824] ; [16.47058824 11.52941176],0
s1,1,0.163036,1.94584,[ 3 11] ; [ 5 54],[ 1.53424658 12.46575342] ; [ 6.46575342 52.53424658],0
b5,1,0.167071,1.909032,[7 7] ; [41 18],[9.20547945 4.79452055] ; [38.79452055 20.20547945],0
n6,1,0.173411,1.853208,[5 9] ; [33 26],[7.28767123 6.71232877] ; [30.71232877 28.28767123],0
b4,1,0.200422,1.639299,[10  4] ; [31 28],[7.8630137 6.1369863] ; [33.1369863 25.8630137],0
v1,1,0.217533,1.520574,[ 3 11] ; [23 36],[4.98630137 9.01369863] ; [21.01369863 37.98630137],0
u2,1,0.262125,1.257498,[2 4] ; [13  9],[3.21428571 2.78571429] ; [11.78571429 10.21428571],0
n5,1,0.292436,1.108374,[ 3 11] ; [21 37],[4.66666667 9.33333333] ; [19.33333333 38.66666667],0
n1,1,0.338352,0.916667,[3 3] ; [ 8 19],[2. 4.] ; [ 9. 18.],0
a6,1,0.364832,0.821193,[5 9] ; [29 30],[6.52054795 7.47945205] ; [27.47945205 31.52054795],0
s4,1,0.442584,0.589572,[ 2 12] ; [14 45],[ 3.06849315 10.93150685] ; [12.93150685 46.06849315],0
v2,1,0.556142,0.346428,[5 9] ; [24 30],[5.97058824 8.02941176] ; [23.02941176 30.97058824],0
v3,1,0.569015,0.324333,[4 9] ; [13 43],[3.20289855 9.79710145] ; [13.79710145 42.20289855],0
p11,1,0.569709,0.323169,[5 9] ; [26 33],[5.94520548 8.05479452] ; [25.05479452 33.94520548],0
s7,1,0.644717,0.212626,[4 9] ; [13 40],[3.34848485 9.65151515] ; [13.65151515 39.34848485],0
s3,1,0.648937,0.207242,[5 9] ; [25 34],[5.75342466 8.24657534] ; [24.24657534 34.75342466],0
d4,1,0.662684,0.190279,[11  3] ; [43 16],[10.35616438  3.64383562] ; [43.64383562 15.35616438],0
d3,1,0.671649,0.179679,[6 8] ; [29 30],[6.71232877 7.28767123] ; [28.28767123 30.71232877],0
s6,1,0.674126,0.176813,[6 8] ; [28 29],[6.70422535 7.29577465] ; [27.29577465 29.70422535],0
p6,1,0.68285,0.166935,[ 2 12] ; [11 47],[ 2.52777778 11.47222222] ; [10.47222222 47.52777778],0
p8,1,0.692211,0.156702,[4 9] ; [15 44],[3.43055556 9.56944444] ; [15.56944444 43.43055556],0
a3,1,0.700051,0.148418,[8 6] ; [37 22],[8.63013699 5.36986301] ; [36.36986301 22.63013699],0
b1,1,0.756386,0.096242,[6 8] ; [28 31],[6.52054795 7.47945205] ; [27.47945205 31.52054795],0
a4,1,0.789996,0.070924,[6 8] ; [23 36],[5.56164384 8.43835616] ; [23.43835616 35.56164384],0
n3,1,0.7903,0.070714,[3 2] ; [15 13],[2.72727273 2.27272727] ; [15.27272727 12.72727273],0
s5,1,0.812563,0.056226,[ 4 10] ; [14 41],[ 3.65217391 10.34782609] ; [14.34782609 40.65217391],0
p4,1,0.833232,0.044335,[5 9] ; [19 39],[4.66666667 9.33333333] ; [19.33333333 38.66666667],0
b3,1,0.849286,0.036111,[3 6] ; [ 9 21],[2.76923077 6.23076923] ; [ 9.23076923 20.76923077],0
b2,1,0.849286,0.036111,[3 6] ; [ 9 21],[2.76923077 6.23076923] ; [ 9.23076923 20.76923077],0
p7,1,0.857494,0.032244,[ 4 10] ; [18 40],[4.27777778 9.72222222] ; [17.72222222 40.27777778],0
a7,1,0.864079,0.029304,[7 7] ; [31 28],[7.28767123 6.71232877] ; [30.71232877 28.28767123],0
d1,1,0.881564,0.022197,[6 8] ; [24 35],[5.75342466 8.24657534] ; [24.24657534 34.75342466],0
a5,1,0.934588,0.006736,[8 6] ; [33 26],[7.8630137 6.1369863] ; [33.1369863 25.8630137],0
a2,1,0.943346,0.00505,[ 2 12] ; [ 8 51],[ 1.91780822 12.08219178] ; [ 8.08219178 50.91780822],0
p3,1,0.951278,0.003733,[ 3 11] ; [12 46],[ 2.91666667 11.08333333] ; [12.08333333 45.91666667],0
