Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,4.1e-05,16.82423,[ 4 30] ; [11  5],[10.2 23.8] ; [ 4.8 11.2],1
p8,1,0.000123,14.740898,[ 3 31] ; [9 6],[ 8.32653061 25.67346939] ; [ 3.67346939 11.32653061],1
p2,1,0.000218,13.672226,[ 7 27] ; [12  4],[12.92 21.08] ; [6.08 9.92],1
p11,1,0.000249,13.416699,[ 3 31] ; [9 7],[ 8.16 25.84] ; [ 3.84 12.16],1
p3,1,0.000822,11.190687,[ 4 30] ; [9 7],[ 8.84 25.16] ; [ 4.16 11.84],1
p6,1,0.001223,10.455808,[ 1 32] ; [ 6 10],[ 4.71428571 28.28571429] ; [ 2.28571429 13.71428571],0
u2,1,0.014524,5.973333,[ 2 13] ; [4 2],[ 4.28571429 10.71428571] ; [1.71428571 4.28571429],0
b5,1,0.015581,5.849527,[11 23] ; [11  5],[14.96 19.04] ; [7.04 8.96],0
n3,1,0.030522,4.67963,[ 5 13] ; [7 3],[ 7.71428571 10.28571429] ; [4.28571429 5.71428571],0
p5,1,0.044431,4.040098,[ 1 33] ; [ 3 12],[ 2.7755102 31.2244898] ; [ 1.2244898 13.7755102],0
p10,1,0.048481,3.893237,[ 9 24] ; [9 7],[12.12244898 20.87755102] ; [ 5.87755102 10.12244898],0
v2,1,0.049065,3.873112,[ 3 30] ; [ 5 11],[ 5.3877551 27.6122449] ; [ 2.6122449 13.3877551],0
b2,1,0.057015,3.622159,[13  9] ; [3 9],[10.35294118 11.64705882] ; [5.64705882 6.35294118],0
b3,1,0.057015,3.622159,[13  9] ; [3 9],[10.35294118 11.64705882] ; [5.64705882 6.35294118],0
v1,1,0.125202,2.351006,[ 6 28] ; [ 6 10],[ 8.16 25.84] ; [ 3.84 12.16],0
r2,1,0.135223,2.231499,[23  9] ; [8 8],[20.66666667 11.33333333] ; [10.33333333  5.66666667],0
s7,1,0.146259,2.110837,[ 4 28] ; [4 9],[ 5.68888889 26.31111111] ; [ 2.31111111 10.68888889],0
n4,1,0.161365,1.961388,[22 12] ; [7 9],[19.72 14.28] ; [9.28 6.72],0
r4,1,0.184298,1.76262,[ 1 33] ; [ 2 14],[ 2.04 31.96] ; [ 0.96 15.04],0
d2,1,0.235442,1.407679,[14 19] ; [ 4 12],[12.12244898 20.87755102] ; [ 5.87755102 10.12244898],0
p9,1,0.235762,1.405759,[10 21] ; [8 8],[11.87234043 19.12765957] ; [6.12765957 9.87234043],0
n6,1,0.236375,1.402082,[12 22] ; [8 7],[13.87755102 20.12244898] ; [6.12244898 8.87755102],0
b1,1,0.266301,1.235703,[20 14] ; [12  4],[21.76 12.24] ; [10.24  5.76],0
s2,1,0.313659,1.015207,[ 3 31] ; [ 3 13],[ 4.08 29.92] ; [ 1.92 14.08],0
s3,1,0.368688,0.808081,[ 7 26] ; [ 5 10],[ 8.25 24.75] ; [ 3.75 11.25],0
a2,1,0.390724,0.736687,[ 5 29] ; [ 1 15],[ 4.08 29.92] ; [ 1.92 14.08],0
