Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,29.462916,[29 11] ; [ 5 35],[17. 23.] ; [17. 23.],1
p2,1,3e-06,22.06379,[30 10] ; [ 9 31],[19.5 20.5] ; [19.5 20.5],1
p11,1,0.001544,10.025575,[24 16] ; [10 30],[17. 23.] ; [17. 23.],0
s8,1,0.003479,8.537549,[10 30] ; [ 1 39],[ 5.5 34.5] ; [ 5.5 34.5],0
r3,1,0.012621,6.22149,[26 13] ; [15 24],[20.5 18.5] ; [20.5 18.5],0
p4,1,0.0322,4.587814,[13 27] ; [ 5 35],[ 9. 31.] ; [ 9. 31.],0
s2,1,0.0322,4.587814,[13 27] ; [ 5 35],[ 9. 31.] ; [ 9. 31.],0
p8,1,0.038153,4.298175,[ 8 31] ; [ 2 38],[ 4.93670886 34.06329114] ; [ 5.06329114 34.93670886],0
v4,1,0.042522,4.114286,[27 13] ; [18 22],[22.5 17.5] ; [22.5 17.5],0
n6,1,0.047313,3.934209,[28 11] ; [20 20],[23.69620253 15.30379747] ; [24.30379747 15.69620253],0
p6,1,0.056093,3.649306,[ 6 34] ; [ 1 37],[ 3.58974359 36.41025641] ; [ 3.41025641 34.58974359],0
v1,1,0.059394,3.554217,[15 23] ; [ 8 32],[11.20512821 26.79487179] ; [11.79487179 28.20512821],0
s4,1,0.104529,2.635046,[ 3 37] ; [ 8 32],[ 5.5 34.5] ; [ 5.5 34.5],0
s6,1,0.133007,2.257053,[14 26] ; [ 8 32],[11. 29.] ; [11. 29.],0
n3,1,0.137618,2.204397,[9 5] ; [ 9 14],[6.81081081 7.18918919] ; [11.18918919 11.81081081],0
r1,1,0.143235,2.142857,[ 9 31] ; [15 25],[12. 28.] ; [12. 28.],0
s7,1,0.153766,2.034492,[13 26] ; [ 7 30],[10.26315789 28.73684211] ; [ 9.73684211 27.26315789],0
b4,1,0.159599,1.978022,[29 11] ; [23 17],[26. 14.] ; [26. 14.],0
p3,1,0.167596,1.904314,[10 30] ; [ 5 34],[ 7.59493671 32.40506329] ; [ 7.40506329 31.59493671],0
n5,1,0.251193,1.316656,[27 13] ; [22 18],[24.5 15.5] ; [24.5 15.5],0
d3,1,0.262206,1.257071,[24 16] ; [19 21],[21.5 18.5] ; [21.5 18.5],0
v3,1,0.284188,1.146953,[11 29] ; [ 7 33],[ 9. 31.] ; [ 9. 31.],0
a4,1,0.312657,1.01942,[14 26] ; [18 21],[16.20253165 23.79746835] ; [15.79746835 23.20253165],0
u3,1,0.327929,0.957058,[ 7 11] ; [ 4 13],[ 5.65714286 12.34285714] ; [ 5.34285714 11.65714286],0
a2,1,0.330072,0.948617,[ 4 36] ; [ 7 33],[ 5.5 34.5] ; [ 5.5 34.5],0
n2,1,0.356702,0.849471,[8 6] ; [10 14],[6.63157895 7.36842105] ; [11.36842105 12.63157895],0
r2,1,0.357168,0.847826,[25 14] ; [21 18],[23. 16.] ; [23. 16.],0
s3,1,0.365831,0.817776,[14 26] ; [10 29],[12.15189873 27.84810127] ; [11.84810127 27.15189873],0
d2,1,0.374774,0.787774,[16 24] ; [19 19],[17.94871795 22.05128205] ; [17.05128205 20.94871795],0
s1,1,0.395908,0.720721,[ 2 38] ; [ 4 36],[ 3. 37.] ; [ 3. 37.],0
a8,1,0.555798,0.347032,[ 2 36] ; [ 1 37],[ 1.5 36.5] ; [ 1.5 36.5],0
a7,1,0.572714,0.318162,[21 19] ; [18 21],[19.74683544 20.25316456] ; [19.25316456 19.74683544],0
d4,1,0.572996,0.317696,[29 11] ; [26 13],[27.84810127 12.15189873] ; [27.15189873 11.84810127],0
u1,1,0.644167,0.213333,[ 3 37] ; [ 2 38],[ 2.5 37.5] ; [ 2.5 37.5],0
a6,1,0.653095,0.20202,[17 23] ; [19 21],[18. 22.] ; [18. 22.],0
a5,1,0.654317,0.200501,[22 18] ; [20 20],[21. 19.] ; [21. 19.],0
d1,1,0.654317,0.200501,[18 22] ; [20 20],[19. 21.] ; [19. 21.],0
b1,1,0.654721,0.2,[19 21] ; [21 19],[20. 20.] ; [20. 20.],0
b2,1,0.676405,0.174201,[ 8 12] ; [12 14],[ 8.69565217 11.30434783] ; [11.30434783 14.69565217],0
b3,1,0.676405,0.174201,[ 8 12] ; [12 14],[ 8.69565217 11.30434783] ; [11.30434783 14.69565217],0
a3,1,0.72132,0.127231,[22 18] ; [23 16],[22.78481013 17.21518987] ; [22.21518987 16.78481013],0
s5,1,0.723789,0.124891,[ 7 32] ; [ 6 34],[ 6.41772152 32.58227848] ; [ 6.58227848 33.41772152],0
p1,1,0.745441,0.105402,[ 5 35] ; [ 6 34],[ 5.5 34.5] ; [ 5.5 34.5],0
a1,1,0.745441,0.105402,[ 5 35] ; [ 6 34],[ 5.5 34.5] ; [ 5.5 34.5],0
v2,1,0.748694,0.102632,[12 26] ; [14 26],[12.66666667 25.33333333] ; [13.33333333 26.66666667],0
u2,1,0.80276,0.062389,[ 6 12] ; [ 5 12],[ 5.65714286 12.34285714] ; [ 5.34285714 11.65714286],0
d5,1,0.813089,0.055905,[26 14] ; [27 13],[26.5 13.5] ; [26.5 13.5],0
b5,1,0.823009,0.050031,[20 20] ; [19 21],[19.5 20.5] ; [19.5 20.5],0
n1,1,0.881368,0.022271,[5 9] ; [ 8 16],[4.78947368 9.21052632] ; [ 8.21052632 15.78947368],0
n4,1,1.0,0.0,[24 16] ; [24 16],[24. 16.] ; [24. 16.],0
