Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.001154,10.563167,[24  5] ; [13 18],[17.88333333 11.11666667] ; [19.11666667 11.88333333],0
a6,1,0.004617,8.023697,[18 11] ; [ 8 23],[12.56666667 16.43333333] ; [13.43333333 17.56666667],0
b4,1,0.00528,7.780807,[24  5] ; [15 16],[18.85 10.15] ; [20.15 10.85],0
r3,1,0.025165,5.012491,[19  9] ; [12 19],[14.71186441 13.28813559] ; [16.28813559 14.71186441],0
a5,1,0.035456,4.423096,[20  9] ; [13 18],[15.95 13.05] ; [17.05 13.95],0
a3,1,0.063593,3.441121,[21  7] ; [16 15],[17.55932203 10.44067797] ; [19.44067797 11.55932203],0
s4,1,0.089087,2.890794,[ 2 27] ; [ 7 24],[ 4.35 24.65] ; [ 4.65 26.35],0
r4,1,0.100861,2.69188,[10 19] ; [ 5 26],[ 7.25 21.75] ; [ 7.75 23.25],0
p3,1,0.152188,2.050178,[ 4 25] ; [ 9 22],[ 6.28333333 22.71666667] ; [ 6.71666667 24.28333333],0
s8,1,0.193255,1.692626,[ 5 24] ; [ 2 29],[ 3.38333333 25.61666667] ; [ 3.61666667 27.38333333],0
d3,1,0.196457,1.668521,[17 12] ; [13 18],[14.5 14.5] ; [15.5 15.5],0
b2,1,0.204545,1.609618,[ 5 14] ; [10 12],[ 6.95121951 12.04878049] ; [ 8.04878049 13.95121951],0
b3,1,0.204545,1.609618,[ 5 14] ; [10 12],[ 6.95121951 12.04878049] ; [ 8.04878049 13.95121951],0
p8,1,0.206977,1.592447,[ 7 20] ; [ 4 27],[ 5.12068966 21.87931034] ; [ 5.87931034 25.12068966],0
p9,1,0.248664,1.330792,[14 13] ; [11 19],[11.84210526 15.15789474] ; [13.15789474 16.84210526],0
s2,1,0.272288,1.205184,[ 4 24] ; [ 8 23],[ 5.69491525 22.30508475] ; [ 6.30508475 24.69491525],0
b5,1,0.315205,1.00874,[14 15] ; [11 20],[12.08333333 16.91666667] ; [12.91666667 18.08333333],0
n2,1,0.381133,0.767045,[6 5] ; [ 6 10],[4.88888889 6.11111111] ; [7.11111111 8.88888889],0
s5,1,0.416662,0.659711,[ 5 24] ; [ 3 27],[ 3.93220339 25.06779661] ; [ 4.06779661 25.93220339],0
v3,1,0.438323,0.600667,[ 7 22] ; [ 5 26],[ 5.8 23.2] ; [ 6.2 24.8],0
p4,1,0.455806,0.556174,[ 6 23] ; [ 9 22],[ 7.25 21.75] ; [ 7.75 23.25],0
r2,1,0.483433,0.491108,[16 11] ; [15 15],[14.68421053 12.31578947] ; [16.31578947 13.68421053],0
p5,1,0.49404,0.467715,[ 2 26] ; [ 1 30],[ 1.42372881 26.57627119] ; [ 1.57627119 29.42372881],0
p1,1,0.510123,0.433815,[ 3 26] ; [ 5 26],[ 3.86666667 25.13333333] ; [ 4.13333333 26.86666667],0
v2,1,0.514498,0.424907,[10 19] ; [ 8 22],[ 8.84745763 20.15254237] ; [ 9.15254237 20.84745763],0
n6,1,0.599209,0.27619,[13 15] ; [16 14],[14. 14.] ; [15. 15.],0
a1,1,0.61971,0.246275,[ 4 25] ; [ 3 28],[ 3.38333333 25.61666667] ; [ 3.61666667 27.38333333],0
